Player,UID,Acc,Agi,Pac,Wor,Jum,Fir,Dri,Cmp,Sta,Pos,Cnt,Fre,Cor,Fin,Ldr,OtB,Pas,Tec,Ant,Dec,Lon,Fla,Tck,Hea,Agg,Bra,Bal,Str,Det,Mar,Vis,Tea,Cro,Age
Sergi Pascual,2000196434,13,13,14,14,14,13,11,19,15,14,13,7,8,9,8,14,14,17,15,18,15,9,13,14,9,13,17,16,8,13,17,12,8,23
António Silva,83320135,17,16,17,10,13,9,4,15,12,17,14,4,6,3,13,8,13,9,13,16,6,7,14,14,12,10,13,15,13,15,14,9,6,24
David Carmo,83111598,11,11,15,13,17,12,9,15,13,14,15,6,5,8,13,10,13,13,14,11,9,9,12,12,11,16,14,17,14,14,13,13,9,29
Mikel Oyarzábal,67220143,13,14,14,17,11,15,14,15,14,12,14,13,14,16,18,16,16,17,15,15,11,15,12,12,13,13,15,13,16,12,17,13,12,31
Gaetano Oristanio,43425611,15,16,14,11,10,14,14,15,12,8,11,13,11,11,9,15,15,16,14,15,15,14,7,10,7,8,15,13,14,7,16,12,11,26
Adam Hlozek,31041522,16,15,16,11,14,14,13,15,13,5,12,9,8,13,8,12,11,13,13,12,9,18,6,10,13,11,15,14,12,8,9,9,9,26
Scott Diaz,2000706461,14,13,13,10,8,12,8,14,12,11,9,12,8,8,9,11,15,16,15,15,8,7,9,14,14,16,11,8,17,8,13,12,9,18
John Bueno,2000419425,14,19,14,16,5,18,15,14,17,10,9,15,12,13,8,17,15,16,14,17,13,16,9,8,9,8,19,15,14,8,15,13,13,22
Luka Bransteter,2000054638,16,16,14,12,14,14,13,14,14,7,13,8,6,15,12,16,9,14,13,13,12,16,6,12,12,17,14,13,16,6,14,10,9,26
William Saliba,49039004,15,15,15,14,16,12,9,14,15,14,15,6,6,7,12,10,12,13,14,13,13,10,13,15,13,15,16,16,12,14,12,15,10,27
Tibo De Vos,2000663034,15,17,17,10,11,16,10,13,16,7,9,9,7,12,9,13,12,16,16,13,9,16,9,9,7,11,12,9,13,5,10,9,10,18
Özgün Karatepe,2000631119,13,14,15,13,12,11,11,13,15,14,15,6,7,6,6,8,10,9,14,15,7,4,11,9,11,18,10,12,12,13,8,11,10,19
Ignacio Vallina,2000570634,14,13,15,18,17,15,10,13,15,13,13,14,9,8,16,11,16,17,15,17,11,11,12,10,16,15,17,13,16,15,16,18,8,20
Alen Bartolović,2000506471,15,14,13,14,14,11,13,13,15,5,6,3,6,11,9,13,8,15,9,11,8,14,5,11,6,5,16,9,14,4,10,9,5,21
Paweł Brzyski,2000433744,15,16,14,14,11,11,12,13,13,11,11,7,8,8,15,14,15,14,16,15,13,11,12,17,8,17,13,13,16,7,16,12,6,22
Ayrton Tallura,2000274550,13,16,14,17,8,16,16,13,15,7,8,16,11,6,7,14,17,20,14,13,8,17,7,9,17,10,12,11,15,7,17,14,7,22
Renato Pereira,2000190646,12,15,14,16,13,11,8,13,14,14,12,10,9,6,10,10,14,15,14,15,12,11,11,9,10,14,18,13,16,11,13,12,6,22
José Gragera,67263880,12,12,12,14,15,14,10,13,14,13,14,7,7,8,9,9,14,15,14,13,11,9,12,15,13,13,9,13,15,12,14,13,9,28
Álex Remiro,67183918,12,12,11,12,16,11,1,13,10,14,13,8,5,3,12,2,14,15,13,14,3,5,1,2,7,12,12,11,12,3,9,12,3,33
Gabriel Martinelli,19351309,16,16,16,16,13,14,15,13,13,8,13,12,6,13,9,15,13,15,17,13,9,16,4,13,12,13,13,11,16,6,14,14,10,27
Piotr Jabłoński,2000623979,15,17,15,19,3,12,12,12,18,12,13,4,6,8,7,10,12,12,13,13,9,6,11,8,7,7,13,9,18,13,8,17,10,19
Pablo,2000572050,16,17,16,14,10,14,15,12,14,8,11,8,9,8,12,16,12,15,13,12,9,14,9,10,9,1,16,13,11,9,12,11,10,20
Vicente,2000571659,18,16,13,9,12,15,8,12,11,6,6,8,9,9,12,12,10,14,8,13,7,13,5,5,9,15,15,9,12,5,11,10,7,19
Matthias Hasa,2000568032,14,15,16,15,11,15,17,12,14,5,9,12,11,8,4,9,17,16,12,12,12,14,6,9,10,5,14,12,15,5,12,12,9,20
Manuel Bosch,2000514796,17,14,14,12,12,13,10,12,15,9,11,9,6,7,14,15,14,16,10,13,10,15,9,7,9,6,12,12,11,13,11,8,5,21
Harald Klingmann,2000504134,14,14,12,14,16,9,8,12,13,12,13,6,5,6,7,7,9,15,13,10,6,5,14,10,9,15,13,12,15,12,8,12,6,21
Aritz García,2000439255,11,12,13,15,15,7,5,12,13,11,13,10,5,4,10,5,8,9,13,13,7,7,15,11,10,18,16,14,11,13,7,12,4,22
John Damiano,2000435431,12,15,14,13,6,12,8,12,16,16,17,8,7,5,4,7,14,12,14,16,9,5,12,7,12,16,12,12,17,13,10,17,8,22
Kai Ocaña,2000194470,15,19,16,15,13,13,13,12,14,11,11,7,10,7,8,12,12,16,9,12,6,6,6,8,17,15,16,11,18,8,12,12,13,23
Denis Zakaria,98034601,13,13,15,16,15,13,11,12,15,12,14,5,5,8,11,14,12,13,14,13,10,11,16,11,17,16,15,13,14,12,13,12,8,31
Robin Le Normand,48037162,13,13,14,15,16,12,8,12,14,14,15,10,8,6,14,7,14,14,15,13,9,9,15,14,14,14,12,16,14,15,8,14,6,31
Brandon Williams,28115834,16,14,15,15,12,12,13,12,14,12,13,2,4,9,12,14,13,13,13,12,6,12,13,9,16,17,14,12,16,12,6,13,12,28
Francesco Zamuner,2000626880,13,11,11,12,11,13,9,11,12,11,11,7,6,9,11,10,13,16,13,14,10,5,11,8,12,18,15,9,15,10,12,9,9,19
Felipe,2000510074,13,15,13,16,13,9,14,11,16,9,12,6,9,11,9,15,10,12,12,11,9,13,7,11,10,9,17,13,17,8,9,13,12,21
Lukas Mohr,2000432897,16,15,13,11,15,9,11,11,15,14,15,8,6,5,7,9,10,14,14,17,9,8,15,11,8,8,13,13,13,13,10,12,7,22
Kim Christian Høyenhall,2000182998,10,14,11,10,16,10,3,11,12,16,15,7,2,1,10,2,13,12,14,12,1,2,2,1,7,8,14,10,10,2,9,7,3,23
Koldo Valencia,2000663358,14,15,15,15,6,13,10,10,13,8,9,6,7,12,7,10,11,15,9,11,8,14,10,7,9,17,10,6,16,5,9,10,10,17
Souza,2000607666,15,14,13,14,17,12,10,10,17,13,15,13,9,8,10,11,12,11,16,16,11,9,18,13,13,15,18,13,16,14,16,14,10,20
Agustín Kranevitter,2000612966,7,13,8,10,17,8,2,9,10,14,12,8,3,1,1,3,11,8,12,14,1,3,3,1,11,9,16,10,16,1,11,9,2,20
Antonio Navarro,2000571902,16,15,13,12,9,9,8,9,15,12,13,8,5,3,8,8,8,12,10,14,4,9,9,4,11,17,14,8,16,8,9,15,7,20
Stefán Þór Jónsson,2000531873,11,12,11,14,16,8,7,8,13,10,12,4,6,4,12,8,10,9,13,12,5,4,17,8,15,13,10,13,12,12,7,12,5,20
Ronald Woudenberg,2000633117,7,15,12,11,13,4,3,7,8,13,11,8,3,2,7,3,9,6,9,15,3,3,3,1,10,7,10,9,15,3,13,6,3,19
