Player,UID,Aerial,Awareness,Clearing,Closing,Control,Creativity,Crossing,Decision,Defensive,Dribbling,Focus,Endeavour,Intelligence,Marking,Mobility,Movement,Off The Ball,Passing,Physical,Tackling
Sergi Pascual,2000196434,14.0,14.666666666666666,14.0,16.5,15.0,14.0,14.5,15.0,16.5,14.0,16.0,11.0,14.2,15.333333333333334,14.25,15.0,16.5,16.666666666666668,16.5,16.0
António Silva,83320135,13.0,12.0,14.0,16.0,9.0,12.0,10.75,12.5,16.0,6.5,14.5,11.25,11.8,15.666666666666666,15.75,12.666666666666666,11.5,12.333333333333334,14.0,14.5
David Carmo,83111598,17.0,13.333333333333334,12.0,14.5,12.5,11.333333333333334,12.5,12.0,14.5,11.0,15.0,13.5,12.0,14.333333333333334,12.75,12.666666666666666,12.5,13.666666666666666,15.5,13.5
Mikel Oyarzábal,67220143,11.0,15.0,12.0,13.5,16.0,15.0,15.0,14.0,13.5,15.5,14.5,14.75,15.0,13.0,14.0,14.333333333333334,15.5,16.0,14.0,13.5
Gaetano Oristanio,43425611,10.0,14.0,10.0,11.5,15.0,14.333333333333334,14.25,13.5,11.5,15.0,13.0,10.0,14.2,10.0,15.0,13.666666666666666,15.0,15.333333333333334,14.0,11.0
Adam Hlozek,31041522,14.0,10.333333333333334,10.0,10.0,13.5,14.333333333333334,12.0,10.5,10.0,13.0,13.5,11.75,12.2,9.333333333333334,15.5,11.333333333333334,13.5,13.0,14.5,10.5
Scott Diaz,2000706461,8.0,13.333333333333334,14.0,12.5,14.0,12.333333333333334,13.5,13.5,12.5,12.0,11.5,14.25,12.4,11.0,12.75,14.0,12.5,15.0,9.5,11.5
John Bueno,2000419425,5.0,14.0,8.0,12.0,17.0,15.666666666666666,14.5,15.0,12.0,15.5,11.5,11.75,15.0,10.666666666666666,16.5,14.666666666666666,15.5,15.0,17.0,11.5
Luka Bransteter,2000054638,14.0,12.333333333333334,12.0,10.5,14.0,14.0,11.5,11.5,10.5,13.5,13.5,14.25,13.2,9.0,15.0,12.0,15.0,12.333333333333334,13.5,10.0
William Saliba,49039004,16.0,13.666666666666666,15.0,14.0,12.5,12.333333333333334,12.25,14.0,14.0,11.0,14.5,13.5,12.8,14.0,15.25,14.0,12.0,13.0,16.0,13.5
Tibo De Vos,2000663034,11.0,11.666666666666666,9.0,10.0,16.0,15.0,12.75,11.0,10.0,13.0,11.0,10.25,12.8,8.333333333333334,15.25,12.666666666666666,13.0,13.666666666666666,10.5,11.0
Özgün Karatepe,2000631119,12.0,11.0,9.0,13.5,10.0,11.0,10.5,13.0,13.5,10.0,14.0,13.5,10.4,13.333333333333334,13.0,13.333333333333334,10.5,10.666666666666666,11.0,12.0
Ignacio Vallina,2000570634,17.0,16.333333333333332,10.0,13.0,16.0,14.333333333333334,13.5,17.5,13.0,13.5,13.0,16.25,15.4,13.666666666666666,14.75,16.666666666666668,12.0,15.333333333333334,15.0,12.5
Alen Bartolović,2000506471,14.0,9.333333333333334,11.0,9.0,13.0,11.333333333333334,10.25,10.0,9.0,14.0,9.5,9.75,10.6,7.333333333333333,14.5,9.666666666666666,13.0,12.0,12.5,9.0
Paweł Brzyski,2000433744,11.0,14.666666666666666,17.0,12.0,12.5,14.0,12.0,13.5,12.0,13.0,12.0,13.75,14.0,10.333333333333334,14.5,14.333333333333334,13.5,14.0,13.0,12.5
