Player,UID,DM,AM,BWM,HB,SV,RGA
Sergi Pascual,2000196434,14.3,13.7,13.7,13.4,14.3,14.4
António Silva,83320135,13.5,12.8,12.8,12.6,13.2,12.0
David Carmo,83111598,13.6,13.8,13.8,13.8,13.5,12.4
Mikel Oyarzábal,67220143,13.7,13.5,13.5,13.6,14.2,15.2
Gaetano Oristanio,43425611,11.0,10.7,10.7,10.3,11.4,13.8
Adam Hlozek,31041522,10.3,10.0,10.0,10.7,10.8,11.9
Scott Diaz,2000706461,10.9,10.6,10.6,11.6,11.5,12.4
John Bueno,2000419425,12.8,12.4,12.4,12.0,13.0,14.7
Luka Bransteter,2000054638,10.7,10.4,10.4,11.7,10.8,12.9
William Saliba,49039004,14.3,14.5,14.5,14.4,13.7,12.5
Tibo De Vos,2000663034,10.3,9.9,9.9,10.3,11.3,12.8
Özgün Karatepe,2000631119,13.3,12.9,12.9,13.4,12.9,10.8
Ignacio Vallina,2000570634,14.9,15.0,15.0,14.8,14.5,14.4
Alen Bartolović,2000506471,8.7,8.5,8.5,8.3,9.0,10.2
Paweł Brzyski,2000433744,12.4,12.1,12.1,12.7,12.3,13.4
Ayrton Tallura,2000274550,11.3,11.4,11.4,12.0,12.1,14.3
Renato Pereira,2000190646,13.2,12.9,12.9,13.0,13.0,12.9
José Gragera,67263880,13.2,13.2,13.2,13.3,13.4,12.9
Álex Remiro,67183918,10.3,10.1,10.1,10.5,10.4,11.0
Gabriel Martinelli,19351309,11.5,11.6,11.6,12.1,11.7,13.8
Piotr Jabłoński,2000623979,13.8,14.2,14.2,12.6,13.5,11.1
Pablo,2000572050,11.4,11.3,11.3,10.3,11.6,12.7
Vicente,2000571659,8.2,7.9,7.9,8.8,8.7,10.8
Matthias Hasa,2000568032,10.2,10.2,10.2,10.0,11.0,12.1
Manuel Bosch,2000514796,11.2,10.7,10.7,10.1,11.8,12.7
Harald Klingmann,2000504134,12.5,12.7,12.7,12.7,12.1,10.1
Aritz García,2000439255,13.2,13.1,13.1,13.4,12.0,9.3
John Damiano,2000435431,14.6,14.7,14.7,14.5,13.9,12.3
Kai Ocaña,2000194470,10.9,10.9,10.9,12.1,11.1,11.4
Denis Zakaria,98034601,13.7,13.6,13.6,14.5,13.6,12.9
Robin Le Normand,48037162,14.6,14.7,14.7,14.6,14.1,12.1
Brandon Williams,28115834,12.9,13.0,13.0,13.8,12.9,12.0
Francesco Zamuner,2000626880,11.2,10.7,10.7,11.8,11.7,11.8
Felipe,2000510074,11.7,11.9,11.9,11.7,11.0,11.2
Lukas Mohr,2000432897,13.9,13.4,13.4,12.5,12.7,12.0
Kim Christian Høyenhall,2000182998,10.0,9.5,9.5,10.1,10.5,10.5
Koldo Valencia,2000663358,9.6,9.5,9.5,10.6,10.3,10.9
Souza,2000607666,15.0,14.8,14.8,14.8,14.1,13.1
Agustín Kranevitter,2000612966,9.5,9.0,9.0,10.0,9.0,9.6
Antonio Navarro,2000571902,11.6,11.7,11.7,12.2,10.5,10.4
Stefán Þór Jónsson,2000531873,12.8,12.8,12.8,13.2,11.7,9.3
Ronald Woudenberg,2000633117,8.8,7.9,7.9,8.7,7.8,8.6
