Player,UID,AML,AMR,IW_AML,IW_AMR,W_AML,W_AMR,IF_AML,IF_AMR,WG_AML,WG_AMR
Diego Llamazares,2000013481.0,3.9,3.9,3.9,3.9,3.75,3.75,3.9,3.9,3.58,3.58
Hugo Rincón,2000065892.0,10.1,10.1,10.1,10.1,10.2,10.2,9.55,9.55,9.67,9.67
Rodri,67293708.0,7.6,7.6,7.6,7.6,7.95,7.95,7.2,7.2,9.21,9.21
Alejandro Ferre,2000569554.0,10.6,10.6,10.6,10.6,9.45,9.45,10.25,10.25,9.92,9.92
Felipe Medina,2000572053.0,9.55,9.55,9.55,9.55,11.65,11.65,9.4,9.4,11.25,11.25
Marcel Mehlem,92076601.0,11.05,11.05,11.05,11.05,11.45,11.45,11.15,11.15,11.21,11.21
Mario Fernández,2000439263.0,11.2,11.2,11.2,11.2,10.8,10.8,10.2,10.2,10.0,10.0
José María Garai,2000437777.0,13.45,13.45,13.45,13.45,11.1,11.1,12.45,12.45,10.5,10.5
Alan Espeche,14197823.0,11.1,11.1,11.1,11.1,11.9,11.9,11.0,11.0,10.83,10.83
0,2000194479.0,11.0,11.0,11.0,11.0,11.4,11.4,11.4,11.4,11.33,11.33
Jorge Pascual,2000019418.0,11.8,11.8,11.8,11.8,11.2,11.2,12.2,12.2,11.58,11.58
0,2000711945.0,3.25,3.25,3.25,3.25,4.65,4.65,3.25,3.25,4.71,4.71
Ángel García,2000685240.0,6.1,6.1,6.1,6.1,8.4,8.4,6.1,6.1,9.12,9.12
Alejandro Aleñá,2000202600.0,9.25,9.25,9.25,9.25,8.65,8.65,9.25,9.25,8.38,8.38
Jesús García,2000513275.0,10.8,10.8,10.8,10.8,12.1,12.1,10.8,10.8,11.83,11.83
Aitor Paredes,67276232.0,7.65,7.65,7.65,7.65,7.4,7.4,7.25,7.25,8.17,8.17
Juan Pablo Castellano,2000513639.0,10.95,10.95,10.95,10.95,13.05,13.05,10.05,10.05,12.29,12.29
Carlos,2000193994.0,11.0,11.0,11.0,11.0,10.7,10.7,11.6,11.6,10.42,10.42
Roberto Olabe,67183968.0,11.5,11.5,11.5,11.5,10.6,10.6,11.6,11.6,10.25,10.25
Unai Rementeria,67246387.0,7.75,7.75,7.75,7.75,9.1,9.1,6.65,6.65,8.75,8.75
Hugo Neves,83333462.0,11.3,11.3,11.3,11.3,12.4,12.4,11.0,11.0,11.04,11.04
Ander Martín,2000058172.0,12.2,12.2,12.2,12.2,11.4,11.4,11.2,11.2,10.25,10.25
Jaime Reques,2000077283.0,10.9,10.9,10.9,10.9,10.1,10.1,10.0,10.0,10.0,10.0
Moustapha Diop,2000666501.0,10.0,10.0,10.0,10.0,10.5,10.5,11.35,11.35,10.0,10.0
