Player,UID,FB,WB,IWB,CWB,NNFB
Diego Llamazares,2000013481.0,5.4,3.65,4.45,4.0,5.1
Hugo Rincón,2000065892.0,12.2,11.4,11.3,11.31,11.4
Rodri,67293708.0,11.8,9.85,10.5,8.81,11.6
Alejandro Ferre,2000569554.0,11.75,10.35,11.9,11.08,12.7
Felipe Medina,2000572053.0,12.05,11.4,11.0,11.19,11.55
Marcel Mehlem,92076601.0,14.15,12.25,13.05,11.88,14.85
Mario Fernández,2000439263.0,9.3,8.6,10.2,9.54,8.4
José María Garai,2000437777.0,10.4,10.2,11.55,11.5,10.3
Alan Espeche,14197823.0,9.3,9.9,8.6,10.38,7.7
0,2000194479.0,7.8,8.6,7.4,9.54,7.1
Jorge Pascual,2000019418.0,8.0,8.6,7.4,9.38,6.5
0,2000711945.0,5.15,4.05,3.95,4.19,4.55
Ángel García,2000685240.0,11.6,8.45,9.25,8.38,11.1
Alejandro Aleñá,2000202600.0,11.0,8.2,9.3,8.54,11.05
Jesús García,2000513275.0,9.2,11.1,8.5,11.0,8.3
Aitor Paredes,67276232.0,11.0,9.5,10.6,8.88,11.5
Juan Pablo Castellano,2000513639.0,7.0,9.25,6.2,9.73,4.45
Carlos,2000193994.0,7.1,8.6,7.3,9.46,7.3
Roberto Olabe,67183968.0,9.25,8.75,9.65,9.65,8.95
Unai Rementeria,67246387.0,8.05,8.85,7.55,9.12,6.55
Hugo Neves,83333462.0,7.45,9.7,6.95,10.23,6.65
Ander Martín,2000058172.0,8.0,8.8,8.1,9.77,5.9
Jaime Reques,2000077283.0,8.65,9.05,9.25,9.96,7.85
Moustapha Diop,2000666501.0,5.7,7.0,5.0,8.46,4.8
