Player,UID,Position
Diego Llamazares,2000013481,GK
Hugo Rincón,2000065892,D/WB (R)
Rodri,67293708,D (LC)
Alejandro Ferre,2000569554,"D (C), DM, M (C)"
Felipe Medina,2000572053,D/WB (L)
Marcel Mehlem,92076601,"DM, M (C)"
Mario Fernández,2000439263,"M (C), AM (RC), ST (C)"
José María Garai,2000437777,M (C)
Alan Espeche,14197823,"M (R), AM (RLC)"
0,2000194479,"M/AM (L), ST (C)"
Jorge Pascual,2000019418,ST (C)
0,2000711945,GK
Ángel García,2000685240,D (C)
Alejandro Aleñá,2000202600,"D (L), M (LC)"
Jesús García,2000513275,"AM (R), ST (C)"
Aitor Paredes,67276232,D (C)
Juan Pablo Castellano,2000513639,"M/AM (R), ST (C)"
Carlos,2000193994,"M (L), ST (C)"
Roberto Olabe,67183968,"DM, M/AM (LC)"
Unai Rementeria,67246387,"D (C), DM, M (C)"
Hugo Neves,83333462,M/AM (RL)
Ander Martín,2000058172,"M (RC), AM (R)"
Jaime Reques,2000077283,"M (RLC), AM (L)"
Moustapha Diop,2000666501,ST (C)
