Player,UID,WM,W,DW,IW,IF,WG
Diego Llamazares,2000013481.0,3.1,3.75,4.05,3.9,3.9,3.58
Hugo Rincón,2000065892.0,11.0,10.2,11.8,10.1,9.55,9.67
Rodri,67293708.0,7.35,7.95,10.05,7.6,7.2,9.21
Alejandro Ferre,2000569554.0,10.15,9.45,11.5,10.6,10.25,9.92
Felipe Medina,2000572053.0,11.0,11.65,11.6,9.55,9.4,11.25
Marcel Mehlem,92076601.0,10.95,11.45,13.45,11.05,11.15,11.21
Mario Fernández,2000439263.0,10.3,10.8,9.0,11.2,10.2,10.0
José María Garai,2000437777.0,11.75,11.1,10.2,13.45,12.45,10.5
Alan Espeche,14197823.0,10.6,11.9,8.6,11.1,11.0,10.83
0,2000194479.0,10.2,11.4,6.5,11.0,11.4,11.33
Jorge Pascual,2000019418.0,10.8,11.2,6.6,11.8,12.2,11.58
0,2000711945.0,2.95,4.65,3.65,3.25,3.25,4.71
Ángel García,2000685240.0,8.0,8.4,9.8,6.1,6.1,9.12
Alejandro Aleñá,2000202600.0,9.25,8.65,10.05,9.25,9.25,8.38
Jesús García,2000513275.0,11.3,12.1,8.6,10.8,10.8,11.83
Aitor Paredes,67276232.0,8.5,7.4,10.2,7.65,7.25,8.17
Juan Pablo Castellano,2000513639.0,11.35,13.05,6.6,10.95,10.05,12.29
Carlos,2000193994.0,9.75,10.7,6.2,11.0,11.6,10.42
Roberto Olabe,67183968.0,10.6,10.6,9.65,11.5,11.6,10.25
Unai Rementeria,67246387.0,8.45,9.1,7.05,7.75,6.65,8.75
Hugo Neves,83333462.0,11.2,12.4,7.05,11.3,11.0,11.04
Ander Martín,2000058172.0,10.6,11.4,7.1,12.2,11.2,10.25
Jaime Reques,2000077283.0,10.1,10.1,8.15,10.9,10.0,10.0
Moustapha Diop,2000666501.0,9.7,10.5,4.8,10.0,11.35,10.0
