Player,UID,GK,DRL,DC,WBRL,DM,MRL,MC,AMRL,AMC,SC
Youssoufa Moukoko,2000074825,942,1194,1356,1193,1338,1262,1447,1435,1436,1720
Thiago Almada,14172522,850,1073,1164,1090,1229,1163,1334,1307,1322,1498
Ibrahim Zagré,2000435828,901,1138,1323,1135,1281,1203,1380,1360,1365,1667
Abdulaziz Yılmazer,2000433229,913,1155,1300,1161,1273,1223,1363,1390,1359,1584
Eduardo Camavinga,49056243,963,1208,1443,1174,1381,1193,1420,1336,1360,1556
Gianluigi Donnarumma,43252073,970,1022,1215,956,1104,932,1102,1042,1063,1210
Ryan Gravenberch,37071197,961,1206,1406,1187,1354,1246,1431,1392,1399,1654
Manuel Oliveira,2000434824,914,1175,1343,1182,1316,1256,1407,1426,1408,1674
Jhonatan Mejía,2000415671,959,1208,1365,1206,1383,1266,1473,1424,1443,1627
Nicolai Witt,2000322718,931,1161,1393,1113,1292,1122,1310,1260,1260,1469
Karl-Heinz Heckenberger,2000232571,927,1153,1325,1137,1326,1199,1400,1336,1370,1610
Juan Carlos,2000192885,826,1093,1222,1102,1249,1178,1348,1333,1330,1552
Romelu Lukaku,18007344,899,1091,1278,1070,1241,1132,1310,1260,1276,1584
Luís Ricardo,2000410716,884,1127,1254,1132,1270,1191,1370,1352,1348,1546
Alfredo Piecenti,2000272907,1038,1210,1467,1154,1325,1159,1339,1305,1304,1542
Nico Williams,67276230,843,1111,1278,1105,1245,1161,1309,1321,1304,1540
Carlos Soler,67196204,883,1121,1303,1113,1278,1163,1348,1303,1310,1523
Manuel Locatelli,43167354,943,1174,1388,1142,1350,1180,1398,1312,1341,1537
Teun Koopmeiners,37057982,951,1176,1387,1141,1327,1168,1381,1299,1314,1489
Kenedy,2000410526,1030,1235,1402,1218,1368,1255,1442,1414,1406,1578
Amar Forsberg,2000397706,936,1150,1428,1085,1267,1063,1275,1197,1205,1432
Mamoudou Camara,2000197834,856,1041,1146,1056,1166,1117,1251,1274,1261,1517
Marco Alves,2000189590,1014,1245,1461,1194,1387,1201,1397,1352,1357,1551
Nuno Mendes,83261910,951,1203,1416,1181,1351,1220,1389,1376,1354,1585
Olexandr Zinchenko,71081391,836,1035,1164,1022,1161,1078,1234,1209,1205,1379
Andrea Papetti,43425644,922,1149,1397,1104,1273,1115,1298,1257,1262,1505
Juan Guerra,2000511832,768,1012,1127,1017,1181,1085,1264,1219,1233,1369
Luciano Puglisi,2000191663,1005,1245,1479,1210,1389,1239,1426,1390,1382,1598
Duško Čikić,2000191147,960,1189,1417,1147,1331,1157,1346,1300,1305,1508
Morten Sørensen,2000189231,857,920,1049,872,1017,880,1070,959,1012,1066
Rasmus Jönsson,2000397710,844,1072,1193,1087,1199,1160,1312,1326,1317,1519
Sorin Tudor,2000335174,929,1150,1431,1088,1272,1062,1260,1199,1199,1406
Michele Ceccarelli,2000323829,861,891,1048,839,959,829,970,922,951,1038
