Player,UID,DLP,Regista,BWM,BBM,CM,AP,Mezzala,Carrilero
Youssoufa Moukoko,2000074825,14.0,13.9,12.0,14.7,14.4,15.4,16.1,13.3
Thiago Almada,14172522,15.0,15.0,11.9,14.7,14.7,15.7,15.7,13.3
Ibrahim Zagré,2000435828,14.1,13.8,12.5,14.6,14.8,14.6,15.1,13.3
Abdulaziz Yılmazer,2000433229,13.3,13.4,11.9,13.7,13.6,14.6,15.0,12.7
Eduardo Camavinga,49056243,15.3,14.7,14.5,15.3,15.4,14.8,15.2,15.3
Gianluigi Donnarumma,43252073,13.0,10.4,14.0,12.0,13.0,10.4,10.7,13.5
Ryan Gravenberch,37071197,15.2,15.3,12.8,15.1,15.0,15.9,16.0,14.4
Manuel Oliveira,2000434824,14.6,14.6,11.5,14.9,14.6,15.5,16.4,13.2
Jhonatan Mejía,2000415671,15.5,15.4,12.9,15.4,15.6,16.0,16.9,14.5
Nicolai Witt,2000322718,14.1,12.3,14.6,13.8,13.9,12.7,13.4,14.4
Karl-Heinz Heckenberger,2000232571,15.2,15.1,12.7,15.4,15.2,15.9,16.8,14.2
Juan Carlos,2000192885,13.8,13.7,11.7,14.8,14.7,14.6,15.2,13.2
Romelu Lukaku,18007344,14.0,13.1,14.4,14.5,14.1,13.5,14.3,13.8
Luís Ricardo,2000410716,13.8,13.9,12.3,14.4,14.5,14.6,15.3,13.5
Alfredo Piecenti,2000272907,13.7,12.5,14.7,13.3,13.5,12.4,13.0,14.0
Nico Williams,67276230,13.3,13.4,11.0,13.2,13.2,13.9,14.3,12.5
Carlos Soler,67196204,14.1,14.1,13.1,14.1,14.2,14.4,14.3,13.5
Manuel Locatelli,43167354,15.3,15.0,14.8,14.9,15.2,14.9,15.0,14.9
Teun Koopmeiners,37057982,14.7,14.2,14.2,14.7,15.1,14.2,14.2,14.9
Kenedy,2000410526,14.1,14.4,14.1,15.0,15.0,15.1,15.9,14.8
Amar Forsberg,2000397706,13.5,12.8,15.4,13.9,14.0,12.0,12.2,14.8
Mamoudou Camara,2000197834,11.8,12.3,10.6,13.2,12.3,13.6,14.4,11.6
Marco Alves,2000189590,13.9,13.5,15.0,13.9,14.1,13.6,14.2,14.8
Nuno Mendes,83261910,14.2,14.7,13.7,14.4,14.4,14.8,15.1,14.4
Olexandr Zinchenko,71081391,13.2,12.8,12.4,13.4,13.4,13.5,13.5,12.9
Andrea Papetti,43425644,13.4,12.7,13.8,13.2,13.5,12.8,13.3,13.6
Juan Guerra,2000511832,13.5,13.5,10.6,13.7,14.2,14.6,15.0,12.6
Luciano Puglisi,2000191663,14.9,15.1,14.8,14.8,15.0,14.9,15.3,14.5
Duško Čikić,2000191147,13.8,12.8,15.4,13.6,13.9,12.8,13.2,14.2
Morten Sørensen,2000189231,13.2,10.7,12.2,12.3,13.8,11.0,11.7,12.9
Rasmus Jönsson,2000397710,12.7,13.3,10.7,13.4,13.5,14.6,15.4,11.8
Sorin Tudor,2000335174,12.1,12.0,15.6,13.3,13.2,11.1,12.0,14.4
Michele Ceccarelli,2000323829,12.3,10.1,11.1,11.1,11.8,9.5,10.1,11.3
