Player,UID,GK,DRL,DC,WBRL,DM,MRL,MC,AMRL,AMC,SC
Youssoufa Moukoko,2000074825,942.0,1194.0,1356.0,1193.0,1338.0,1262.0,1447.0,1435.0,1436.0,1720.0
Thiago Almada,14172522,850.0,1073.0,1164.0,1090.0,1229.0,1163.0,1334.0,1307.0,1322.0,1498.0
Ibrahim Zagré,2000435828,901.0,1138.0,1323.0,1135.0,1281.0,1203.0,1380.0,1360.0,1365.0,1667.0
Abdulaziz Yılmazer,2000433229,913.0,1155.0,1300.0,1161.0,1273.0,1223.0,1363.0,1390.0,1359.0,1584.0
Eduardo Camavinga,49056243,963.0,1208.0,1443.0,1174.0,1381.0,1193.0,1420.0,1336.0,1360.0,1556.0
Gianluigi Donnarumma,43252073,970.0,1022.0,1215.0,956.0,1104.0,932.0,1102.0,1042.0,1063.0,1210.0
Ryan Gravenberch,37071197,961.0,1206.0,1406.0,1187.0,1354.0,1246.0,1431.0,1392.0,1399.0,1654.0
Manuel Oliveira,2000434824,914.0,1175.0,1343.0,1182.0,1316.0,1256.0,1407.0,1426.0,1408.0,1674.0
Jhonatan Mejía,2000415671,959.0,1208.0,1365.0,1206.0,1383.0,1266.0,1473.0,1424.0,1443.0,1627.0
Nicolai Witt,2000322718,931.0,1161.0,1393.0,1113.0,1292.0,1122.0,1310.0,1260.0,1260.0,1469.0
Karl-Heinz Heckenberger,2000232571,927.0,1153.0,1325.0,1137.0,1326.0,1199.0,1400.0,1336.0,1370.0,1610.0
Juan Carlos,2000192885,826.0,1093.0,1222.0,1102.0,1249.0,1178.0,1348.0,1333.0,1330.0,1552.0
Romelu Lukaku,18007344,899.0,1091.0,1278.0,1070.0,1241.0,1132.0,1310.0,1260.0,1276.0,1584.0
Luís Ricardo,2000410716,884.0,1127.0,1254.0,1132.0,1270.0,1191.0,1370.0,1352.0,1348.0,1546.0
Alfredo Piecenti,2000272907,1038.0,1210.0,1467.0,1154.0,1325.0,1159.0,1339.0,1305.0,1304.0,1542.0
Nico Williams,67276230,843.0,1111.0,1278.0,1105.0,1245.0,1161.0,1309.0,1321.0,1304.0,1540.0
Carlos Soler,67196204,883.0,1121.0,1303.0,1113.0,1278.0,1163.0,1348.0,1303.0,1310.0,1523.0
Manuel Locatelli,43167354,943.0,1174.0,1388.0,1142.0,1350.0,1180.0,1398.0,1312.0,1341.0,1537.0
Teun Koopmeiners,37057982,951.0,1176.0,1387.0,1141.0,1327.0,1168.0,1381.0,1299.0,1314.0,1489.0
Kenedy,2000410526,1030.0,1235.0,1402.0,1218.0,1368.0,1255.0,1442.0,1414.0,1406.0,1578.0
Amar Forsberg,2000397706,936.0,1150.0,1428.0,1085.0,1267.0,1063.0,1275.0,1197.0,1205.0,1432.0
Mamoudou Camara,2000197834,856.0,1041.0,1146.0,1056.0,1166.0,1117.0,1251.0,1274.0,1261.0,1517.0
Marco Alves,2000189590,1014.0,1245.0,1461.0,1194.0,1387.0,1201.0,1397.0,1352.0,1357.0,1551.0
Nuno Mendes,83261910,951.0,1203.0,1416.0,1181.0,1351.0,1220.0,1389.0,1376.0,1354.0,1585.0
Olexandr Zinchenko,71081391,836.0,1035.0,1164.0,1022.0,1161.0,1078.0,1234.0,1209.0,1205.0,1379.0
Andrea Papetti,43425644,922.0,1149.0,1397.0,1104.0,1273.0,1115.0,1298.0,1257.0,1262.0,1505.0
Juan Guerra,2000511832,768.0,1012.0,1127.0,1017.0,1181.0,1085.0,1264.0,1219.0,1233.0,1369.0
Luciano Puglisi,2000191663,1005.0,1245.0,1479.0,1210.0,1389.0,1239.0,1426.0,1390.0,1382.0,1598.0
Duško Čikić,2000191147,960.0,1189.0,1417.0,1147.0,1331.0,1157.0,1346.0,1300.0,1305.0,1508.0
Morten Sørensen,2000189231,857.0,920.0,1049.0,872.0,1017.0,880.0,1070.0,959.0,1012.0,1066.0
Rasmus Jönsson,2000397710,844.0,1072.0,1193.0,1087.0,1199.0,1160.0,1312.0,1326.0,1317.0,1519.0
Sorin Tudor,2000335174,929.0,1150.0,1431.0,1088.0,1272.0,1062.0,1260.0,1199.0,1199.0,1406.0
Michele Ceccarelli,2000323829,861.0,891.0,1048.0,839.0,959.0,829.0,970.0,922.0,951.0,1038.0
