Player,UID,GK,DRL,DC,WBRL,DM,MRL,MC,AMRL,AMC,SC
Gaizka Casado,2000629746,685,904,1036,896,1038,945,1126,1054,1085,1253
Diego Le Coz,2000566166,760,890,1008,882,1011,930,1076,1035,1046,1172
Pablo Pérez,2000511072,659,789,839,806,854,875,965,1001,986,1149
Cédric Basile,2000506654,752,951,1136,918,1086,933,1112,1047,1074,1237
Michele Faraone,2000439673,683,865,943,872,971,926,1054,1049,1052,1190
Roberto Aizpurua,2000439253,682,841,959,836,928,884,1002,990,987,1174
Pavel Sedlacek,2000567549,627,814,893,824,885,877,984,1004,1008,1227
Adriano Ferazzoli,2000506119,690,890,975,901,1008,953,1115,1075,1096,1262
Jason Faltermeier,2000435779,816,976,1106,958,1110,995,1185,1119,1157,1302
Nacer Brahimi,2000199524,753,879,1098,825,968,816,956,905,906,1071
Moussa Aboua,2000188777,698,871,938,879,984,946,1075,1065,1072,1218
Álejandro Gándara,2000737996,598,771,804,802,859,871,967,1005,977,1138
Vladimir Weber,2000709956,764,959,1148,926,1075,941,1126,1055,1090,1266
Lukas Majernik,2000709581,744,928,1037,935,1052,1001,1142,1139,1140,1314
José Ángel Mansilla,2000631647,805,965,1143,918,1084,926,1083,1038,1033,1174
Frédéric Pelletier,2000573450,688,853,935,871,940,936,1027,1064,1041,1180
Pepe Martí,2000509918,709,892,1097,851,1017,869,1045,963,991,1144
Sebastian Stefansen,2000506681,646,811,905,825,874,887,971,1021,1003,1229
Jonay,2000570836,776,940,1143,898,1058,887,1042,994,1001,1171
Erik Kurdov,2000566868,734,889,1086,838,967,813,958,913,903,1051
Hervé Alves,2000566859,683,884,955,906,954,945,1032,1094,1058,1235
Cédric Picard,2000566055,746,860,1044,805,938,790,932,882,882,1040
Diego Sarriegi,2000439257,677,831,940,830,929,889,980,1005,1000,1200
Juraj Horvath,2000189395,644,826,923,833,934,889,1016,1004,1017,1205
William Christoffersen,2000659946,733,738,877,695,808,700,822,775,797,884
Evangelos Alexopoulos,2000658599,630,811,859,846,872,904,968,1044,986,1140
Asgeir Granås,2000657174,783,921,1122,871,987,862,987,982,964,1120
Aitor Morcillo,2000631374,731,933,1079,906,1044,917,1067,1036,1033,1164
Juan Manuel,2000629223,668,697,811,654,766,659,794,726,757,802
Ruymán,2000442664,721,915,1040,913,1017,952,1089,1065,1059,1228
Iñaki Vélez,2000439250,752,892,1094,842,982,831,991,940,938,1106
Ramazan Cengiz,2000435409,647,788,868,803,867,851,947,971,969,1123
Héctor Otiniano,2000647504,747,915,1007,901,1026,927,1076,1039,1038,1114
Jorge,2000571911,743,922,1061,897,1049,899,1085,1012,1022,1141
Armando D'Amato,2000567834,773,922,1132,867,1028,864,1031,969,983,1133
Cláudio Mendes,2000565719,779,816,948,780,882,768,906,853,870,931
Emanuel Busnja,2000567525,648,672,789,635,731,642,760,719,745,780
Mikel Oyarzun,2000439254,726,855,1020,812,923,794,955,892,900,1012
