Player,UID,FB,WB,IWB,CWB,NNFB
Aarón Escandell,67192427.0,8.95,5.8,8.6,5.69,9.55
Javi Izquierdo,67288498.0,9.2,6.1,9.65,6.81,9.65
Víctor Gómez,67257950.0,13.15,12.85,11.85,12.15,11.75
Rasmus Lauritsen,27069979.0,13.55,11.25,12.75,10.85,13.65
Patric,67100019.0,12.5,10.9,13.45,11.35,14.05
Lluís Recasens,67295940.0,12.2,11.3,11.7,10.85,11.5
Dominik Kruzliak,63026929.0,12.9,10.05,11.95,9.96,13.6
Braian Cufré,14131295.0,13.05,12.25,12.75,12.31,12.35
Sergi Rosanas,67265793.0,12.4,12.15,11.85,12.08,12.15
Pep Chavarría,67277695.0,12.3,12.1,11.7,12.15,11.5
Ryan Johansson,90086790.0,12.6,11.85,12.75,12.15,12.25
Sebastián Cabrera,75036622.0,13.1,12.45,12.85,12.73,12.9
Gabriel Torres,2000438016.0,13.2,11.4,12.0,10.54,14.1
John McGinn,61043070.0,12.8,12.8,13.6,13.31,13.15
Rodrigo Zalazar,67271371.0,11.8,11.5,12.0,11.85,12.25
Ifeanyi Mathew,53141633.0,12.05,11.6,13.0,12.5,11.65
Amarildo Gojani,2000505067.0,9.7,10.7,10.5,11.85,8.4
Michel Vlap,215665.0,9.9,9.45,10.5,10.31,9.85
Che Nunnely,37055838.0,9.9,10.45,9.05,11.19,9.1
Àlex Collado,67246435.0,9.75,10.35,10.05,11.19,8.55
Óscar Clemente,67259874.0,12.0,11.85,12.7,12.46,11.05
Nils Mortimer,67265795.0,8.95,9.85,8.9,10.42,8.2
Miguel,2000192899.0,10.85,10.75,10.15,11.58,9.2
Gonzalo Maroni,14137723.0,9.55,10.1,10.1,10.85,8.95
Olaus Skarsem,89051875.0,9.35,9.55,9.7,10.42,7.6
Freddy Vargas,86061304.0,11.0,11.05,11.1,11.69,10.65
Gianluca Bellucci,2000508898.0,11.0,11.8,11.1,12.38,10.6
Javier Pascua,2000573866.0,8.75,9.05,8.9,10.31,7.3
Cheick Ibra Koné,2000631747.0,9.8,10.1,8.8,10.5,7.8
Ángel Cabello,2000438822.0,11.15,11.2,11.2,12.0,9.75
Fran López,67279609.0,10.2,10.95,10.65,11.81,9.7
Álvaro Santamaría,67298126.0,10.3,10.25,9.35,10.73,9.7
