Player,UID,Aerial,Awareness,Clearing,Closing,Control,Creativity,Crossing,Decision,Defensive,Dribbling,Focus,Endeavour,Intelligence,Marking,Mobility,Movement,Off The Ball,Passing,Physical,Tackling
Aarón Escandell,67192427.0,13.0,11.833333333333334,4.0,13.5,4.0,8.666666666666666,6.625,11.75,13.5,2.5,12.25,11.125,9.8,9.5,8.75,12.0,6.75,8.0,9.5,7.75
Javi Izquierdo,67288498.0,17.0,12.5,2.5,13.75,8.0,9.5,7.75,11.25,13.75,4.0,12.25,10.625,10.3,9.833333333333334,11.75,12.333333333333334,7.0,9.5,12.25,7.75
Víctor Gómez,67257950.0,6.0,13.0,6.0,11.25,9.75,12.5,10.875,13.25,11.25,11.5,12.0,9.375,12.7,11.5,13.75,13.166666666666666,12.75,10.833333333333334,10.5,11.25
Rasmus Lauritsen,27069979.0,16.0,14.0,14.0,12.25,8.75,10.833333333333334,9.375,14.25,12.25,6.5,13.0,13.875,11.9,12.833333333333334,12.75,14.5,10.25,9.833333333333334,12.5,11.25
Patric,67100019.0,10.0,16.5,13.0,13.25,13.0,14.0,11.5,13.75,13.25,10.5,13.25,16.75,14.6,13.5,8.5,15.333333333333334,14.0,12.5,10.75,14.25
Lluís Recasens,67295940.0,14.0,8.0,9.0,11.0,9.5,10.666666666666666,8.0,11.5,11.0,8.5,11.5,8.75,9.4,12.666666666666666,11.75,10.666666666666666,8.5,8.666666666666666,9.5,11.0
Dominik Kruzliak,63026929.0,13.0,10.666666666666666,13.0,12.5,8.25,10.333333333333334,9.625,15.5,12.5,7.75,12.75,14.0,10.0,12.666666666666666,9.0,14.666666666666666,8.5,11.333333333333334,10.5,12.0
Braian Cufré,14131295.0,7.0,14.333333333333334,7.0,11.75,12.25,13.166666666666666,11.625,13.75,11.75,12.5,13.0,13.125,13.7,11.5,12.75,13.833333333333334,12.75,12.5,10.0,10.75
Sergi Rosanas,67265793.0,6.0,12.0,9.0,12.5,11.5,11.833333333333334,11.75,12.25,12.5,11.0,11.75,13.25,11.7,11.666666666666666,14.125,12.5,11.0,11.5,11.75,12.5
Pep Chavarría,67277695.0,10.0,11.666666666666666,8.0,12.5,12.5,10.0,12.5,11.5,12.5,11.0,14.0,9.75,10.8,12.333333333333334,14.0,11.333333333333334,13.5,12.666666666666666,10.5,14.0
Ryan Johansson,90086790.0,11.0,13.666666666666666,8.0,13.0,12.5,11.5,12.75,12.25,13.0,11.5,12.75,12.0,12.3,12.666666666666666,12.375,12.833333333333334,12.0,13.5,12.75,13.0
Sebastián Cabrera,75036622.0,9.0,12.0,10.0,11.5,13.75,13.0,12.875,13.5,11.5,11.75,11.25,14.75,12.4,11.666666666666666,13.25,13.333333333333334,9.5,12.666666666666666,12.5,11.0
Gabriel Torres,2000438016.0,14.0,12.0,13.0,13.0,8.5,10.666666666666666,7.0,12.0,13.0,7.0,11.5,14.0,11.0,13.333333333333334,13.0,12.333333333333334,9.0,7.333333333333333,14.5,12.5
