Player,UID,DLP,Regista,BWM,BBM,CM,AP,Mezzala,Carrilero
José Aurelio Suárez,67153377.0,16.2,13.5,14.1,15.2,15.9,13.4,13.6,15.1
Carlos Fernando,2000194985.0,18.45,16.85,17.35,17.8,18.5,16.85,17.15,18.15
Karim Pérez,2000193717.0,14.5,12.3,18.2,16.35,16.3,11.95,13.95,17.25
Leander Dendoncker,18057380.0,16.85,15.65,17.5,16.45,16.65,15.3,15.25,17.2
Jan Crettaz,2000571662.0,12.7,11.9,14.5,13.4,13.3,12.0,12.8,13.6
Kepa Uriarte,67277833.0,17.1,17.2,13.45,17.5,17.45,18.6,18.35,15.5
Tòfol Montiel,43459237.0,12.4,12.7,8.8,12.5,12.6,13.8,13.8,11.0
Saúl Rodríguez,2000440182.0,11.4,11.8,9.7,12.3,11.9,13.0,13.4,10.6
Joaquín Correa,14042683.0,14.4,14.3,11.55,14.0,13.7,14.95,15.45,12.55
Alberto Barace,2000663353.0,12.9,12.5,10.0,12.2,11.9,13.4,13.7,10.7
Luis Muñoz,90065199.0,15.55,13.75,16.45,15.35,15.35,13.15,13.75,16.7
Ismael Gutiérrez,67298778.0,16.9,15.7,14.8,16.05,16.55,15.25,15.95,16.35
Salva Gutiérrez,2000571656.0,15.9,14.8,14.0,16.6,16.6,16.3,15.75,15.1
Iago Salamanca,2000710728.0,15.55,15.45,13.25,17.25,16.2,16.45,17.35,15.2
Mirko Ladrón de Guevara,14197826.0,17.4,15.95,15.15,16.65,16.3,17.1,16.95,15.65
Nabil Touaizi,28113829.0,17.4,17.6,13.9,17.8,17.4,18.35,19.5,15.7
Tommaso Augello,43096264.0,17.2,17.5,16.7,18.3,17.9,17.4,16.45,17.9
Pape Gueye,48043484.0,16.05,15.3,15.9,17.6,16.8,15.2,16.7,16.25
Enock Kwateng,85134692.0,16.4,16.8,16.95,16.85,16.6,16.3,16.25,17.3
Nicolas Pépé,85136376.0,16.9,16.7,11.35,16.3,15.65,19.15,19.0,13.5
Xabier Santamaría,2000202642.0,17.1,17.15,14.15,18.5,17.7,18.25,18.6,15.75
Tasos Chatzigiovanis,36096701.0,12.0,12.35,11.8,12.6,12.6,14.05,12.7,12.2
Acyr,2000408996.0,20.6,19.25,17.6,19.65,19.05,18.25,18.25,19.35
Matías Cavalleri,75049257.0,18.3,17.8,14.15,17.8,17.75,19.05,18.8,15.8
Ricardo,2000443686.0,15.15,14.8,13.85,15.15,14.6,15.7,16.85,13.65
Dani,2000571661.0,16.4,14.4,17.75,15.5,16.35,13.6,13.8,15.95
Saúl,2000664224.0,13.6,11.2,13.55,11.05,12.45,10.6,11.35,12.55
