Player,UID,DM,AM,BWM,HB,SV,RGA
Thibaut Courtois,18026122.0,10.7,10.5,10.5,11.1,11.0,13.2
Pedro Porro,67268221.0,13.0,12.7,12.7,12.9,13.1,14.8
Boubacar Kamara,48043084.0,16.85,17.65,17.65,17.35,16.95,15.75
Takehiro Tomiyasu,45095490.0,14.6,14.6,14.6,14.4,14.4,13.8
Fabrice Mbassi,2000191910.0,14.8,14.3,14.3,13.7,14.4,16.15
Youri Tielemans,18077264.0,16.2,15.25,15.25,14.6,17.4,18.85
Juan Martín Sancho,2000377686.0,11.6,11.3,11.3,11.1,12.6,13.8
Raheem Sterling,28054109.0,12.9,12.9,12.9,13.1,13.4,15.7
Jadon Sancho,28108490.0,12.2,12.0,12.0,11.9,13.7,16.15
Lê,2000410610.0,15.0,15.0,15.0,14.7,15.3,15.15
Zinho Vanheusden,18091405.0,14.1,14.1,14.1,13.4,14.2,13.6
Angeliño,28095342.0,13.5,13.5,13.5,13.2,13.8,14.1
Francisco Mora,2000437769.0,14.45,13.55,13.55,14.4,12.85,12.65
Éder Militão,19273276.0,14.6,14.5,14.5,14.6,14.5,13.5
Abderrahmane Sefrioui,2000433189.0,14.0,14.2,14.2,14.5,13.3,12.3
Vinícius Júnior,19302146.0,12.9,12.9,12.9,13.8,13.0,15.0
Odsonne Edouard,48036880.0,11.1,10.8,10.8,11.2,11.5,12.0
Edmond Tapsoba,13196616.0,15.5,15.8,15.8,15.75,15.85,15.9
Kylian Mbappé,85139014.0,11.3,10.9,10.9,11.1,12.2,15.7
Ciprian Trandafir,2000189363.0,17.15,16.7,16.7,17.2,17.05,15.75
Matías Zeiden,2000272732.0,16.2,14.9,14.9,14.4,17.25,17.8
Andrew Sinclair,2000432933.0,15.9,15.2,15.2,16.0,16.1,17.35
Isaac Guerra,2000439269.0,18.05,17.9,17.9,16.95,17.15,17.15
Boris Peters,2000506902.0,10.2,9.7,9.7,10.0,11.1,12.9
Roberto Bonilla,2000569765.0,17.55,18.15,18.15,17.45,16.65,18.4
