Player,UID,AMC,AP,T,SS,AM,EG
Thibaut Courtois,18026122.0,11.5,11.3,11.5,10.0,11.1,10.7
Pedro Porro,67268221.0,14.4,14.9,14.4,15.25,15.0,15.2
Boubacar Kamara,48043084.0,17.3,16.7,17.3,15.55,16.6,17.35
Takehiro Tomiyasu,45095490.0,14.1,14.0,14.1,13.55,13.8,13.8
Fabrice Mbassi,2000191910.0,15.35,15.85,15.35,13.9,15.55,15.85
Youri Tielemans,18077264.0,17.65,17.25,17.65,17.45,18.15,16.1
Juan Martín Sancho,2000377686.0,14.5,14.7,14.5,14.8,15.1,15.1
Raheem Sterling,28054109.0,15.6,15.7,15.6,15.5,15.7,15.6
Jadon Sancho,28108490.0,14.75,14.9,14.75,15.75,16.15,15.4
Lê,2000410610.0,14.55,13.8,14.55,15.1,15.0,14.7
Zinho Vanheusden,18091405.0,13.1,13.0,13.1,11.9,12.4,12.7
Angeliño,28095342.0,14.5,14.5,14.5,14.0,14.4,14.2
Francisco Mora,2000437769.0,14.25,13.5,14.25,12.6,13.95,12.3
Éder Militão,19273276.0,13.4,13.1,13.4,12.9,13.4,13.1
Abderrahmane Sefrioui,2000433189.0,13.8,13.0,13.8,12.5,13.0,12.8
Vinícius Júnior,19302146.0,14.2,13.9,14.2,15.0,14.9,14.4
Odsonne Edouard,48036880.0,13.1,13.0,13.1,13.9,13.4,13.5
Edmond Tapsoba,13196616.0,16.9,16.6,16.9,15.0,16.2,16.8
Kylian Mbappé,85139014.0,15.1,15.5,15.1,16.4,16.2,16.1
Ciprian Trandafir,2000189363.0,16.95,16.65,16.95,14.75,16.0,15.85
Matías Zeiden,2000272732.0,17.6,16.8,17.6,17.7,18.5,16.0
Andrew Sinclair,2000432933.0,16.75,16.65,16.75,17.3,17.5,17.0
Isaac Guerra,2000439269.0,18.3,17.85,18.3,17.3,17.8,17.0
Boris Peters,2000506902.0,13.2,13.8,13.2,15.1,14.3,14.6
Roberto Bonilla,2000569765.0,20.35,21.1,20.35,20.65,20.85,21.6
