Player,UID,GK,DRL,DC,WBRL,DM,MRL,MC,AMRL,AMC,SC
Mauricio Morán,2000192669.0,1088.5,1121.5,1321.5,1064.5,1210.0,1044.0,1238.0,1157.0,1184.5,1285.5
Ángel Luis Arcas,2000571805.0,1170.0,1443.0,1699.0,1404.0,1601.5,1443.0,1700.5,1634.5,1656.5,1932.0
Juan Ángel Muñoz,2000512204.0,1180.5,1358.0,1586.0,1302.0,1485.5,1312.0,1517.0,1479.5,1480.0,1672.0
Ricardo Peralta,2000438819.0,1150.0,1316.5,1533.5,1256.0,1440.5,1247.5,1452.5,1408.5,1407.0,1605.0
Josep,2000513274.0,1022.0,1253.5,1394.0,1239.5,1347.5,1240.5,1392.0,1408.5,1386.0,1542.0
Ramiro Gabarri,2000198124.0,994.0,1234.5,1322.5,1267.0,1411.5,1369.0,1542.0,1522.5,1547.0,1756.5
Gustavo Zamora,2000512210.0,1041.0,1295.0,1405.0,1309.5,1445.0,1389.0,1590.5,1579.0,1618.5,1828.0
Mamadou Coly,2000440193.0,970.5,1166.0,1311.0,1159.5,1247.5,1206.5,1299.0,1364.5,1292.5,1481.0
Luis Nsambi,2000631649.0,1070.0,1382.0,1535.5,1376.5,1597.0,1464.5,1741.0,1656.0,1716.0,1903.5
Alberto,2000512206.0,967.0,1197.5,1337.5,1196.5,1340.0,1277.5,1422.0,1423.5,1398.0,1631.5
Bright Adjei,2000660374.0,701.0,931.0,1037.0,948.0,1077.0,1013.0,1162.0,1144.0,1148.0,1364.0
Guillermo Centurión,78095397.0,1034.0,1072.0,1261.5,1013.5,1175.0,1030.0,1241.5,1136.5,1188.5,1259.0
Kike Barja,67196202.0,1052.0,1265.0,1396.5,1261.5,1462.0,1349.5,1550.5,1492.5,1514.5,1680.5
Ezequiel Aranda,14246685.0,1152.0,1346.0,1516.5,1345.5,1546.5,1433.0,1653.0,1593.5,1619.0,1911.5
Álex Olmedo,2000034591.0,767.0,947.0,1043.0,942.0,1079.0,985.0,1146.0,1111.0,1139.0,1245.0
Raúl De Tomás,67156425.0,956.0,1151.0,1306.0,1138.0,1354.5,1253.0,1449.0,1353.5,1404.5,1664.0
Sem Westerveld,37079077.0,922.5,847.0,1036.0,773.0,866.0,746.0,882.5,804.0,838.5,957.0
Fali,67155014.0,987.0,1199.0,1508.5,1129.5,1359.0,1165.0,1413.5,1270.5,1300.0,1548.0
Chema Nuñez,67232678.0,994.5,1193.5,1355.0,1180.5,1386.5,1259.0,1482.5,1384.0,1432.5,1582.5
Antonio Sánchez,67272744.0,1077.0,1311.0,1551.5,1279.5,1499.0,1312.0,1538.0,1466.5,1476.5,1715.5
Fran Pérez,95078306.0,999.0,1215.0,1376.5,1212.0,1361.0,1287.0,1459.0,1427.5,1421.5,1639.0
Diego Moreno,2000024303.0,1086.0,1355.0,1507.5,1372.0,1491.5,1413.0,1549.5,1613.5,1538.5,1759.5
Junior Esparragoza,2000179937.0,1179.5,1354.5,1587.5,1295.5,1484.5,1270.5,1490.0,1434.5,1439.5,1628.5
Francisco Jesús Carbonell,2000440196.0,1150.0,1410.0,1618.5,1366.0,1639.0,1419.5,1723.0,1568.5,1635.5,1770.5
