Player,UID,AMC,AP,T,SS,AM,EG
Mauricio Morán,2000192669.0,12.3,11.3,12.3,10.4,11.2,10.85
Ángel Luis Arcas,2000571805.0,18.25,17.5,18.25,16.45,17.95,16.45
Juan Ángel Muñoz,2000512204.0,15.6,14.7,15.6,13.75,14.95,13.35
Ricardo Peralta,2000438819.0,16.55,15.35,16.55,14.35,14.75,13.05
Josep,2000513274.0,15.15,14.7,15.15,13.35,14.4,15.4
Ramiro Gabarri,2000198124.0,16.6,17.35,16.6,17.6,17.9,18.85
Gustavo Zamora,2000512210.0,17.85,18.75,17.85,17.0,18.25,19.3
Mamadou Coly,2000440193.0,12.25,12.3,12.25,12.95,13.25,12.8
Luis Nsambi,2000631649.0,20.4,21.15,20.4,18.2,19.95,19.8
Alberto,2000512206.0,14.8,15.0,14.8,15.05,15.35,15.15
Bright Adjei,2000660374.0,13.1,13.7,13.1,13.8,13.5,13.4
Guillermo Centurión,78095397.0,13.6,12.55,13.6,11.6,12.25,11.3
Kike Barja,67196202.0,18.4,18.85,18.4,17.45,18.35,18.4
Ezequiel Aranda,14246685.0,18.2,18.95,18.2,20.0,19.05,18.9
Álex Olmedo,2000034591.0,12.5,12.5,12.5,11.5,12.4,11.6
Raúl De Tomás,67156425.0,16.7,17.3,16.7,16.7,16.3,17.1
Sem Westerveld,37079077.0,9.75,8.05,9.75,7.85,7.85,6.3
Fali,67155014.0,16.5,15.75,16.5,14.15,14.9,14.25
Chema Nuñez,67232678.0,16.6,17.35,16.6,16.5,16.85,17.55
Antonio Sánchez,67272744.0,15.4,15.85,15.4,14.55,15.15,15.25
Fran Pérez,95078306.0,16.4,16.7,16.4,16.9,16.65,17.05
Diego Moreno,2000024303.0,15.6,15.3,15.6,15.25,15.85,15.45
Junior Esparragoza,2000179937.0,15.55,14.5,15.55,14.35,15.2,14.1
Francisco Jesús Carbonell,2000440196.0,20.55,20.4,20.55,18.4,20.05,19.8
