Player,UID,DM,AM,BWM,HB,SV,RGA
Mauricio Morán,2000192669.0,13.75,13.5,13.5,15.15,12.55,11.15
Ángel Luis Arcas,2000571805.0,17.25,18.2,18.2,17.05,17.05,16.4
Juan Ángel Muñoz,2000512204.0,16.55,16.65,16.65,17.1,15.35,14.35
Ricardo Peralta,2000438819.0,18.25,19.1,19.1,18.95,15.05,13.3
Josep,2000513274.0,15.15,15.4,15.4,16.0,13.55,13.25
Ramiro Gabarri,2000198124.0,11.8,11.3,11.3,12.05,13.25,16.7
Gustavo Zamora,2000512210.0,12.3,12.0,12.0,11.75,13.1,17.85
Mamadou Coly,2000440193.0,12.55,11.95,11.95,12.2,12.45,11.7
Luis Nsambi,2000631649.0,15.5,16.25,16.25,14.55,14.75,18.35
Alberto,2000512206.0,13.5,13.7,13.7,13.25,14.05,13.95
Bright Adjei,2000660374.0,11.2,12.0,12.0,10.8,11.1,12.3
Guillermo Centurión,78095397.0,11.75,11.15,11.15,13.25,11.85,12.7
Kike Barja,67196202.0,15.0,14.95,14.95,15.15,14.7,18.5
Ezequiel Aranda,14246685.0,15.45,15.6,15.6,15.35,15.15,17.55
Álex Olmedo,2000034591.0,9.9,9.3,9.3,10.1,9.9,12.2
Raúl De Tomás,67156425.0,12.85,12.6,12.6,13.15,14.0,17.6
Sem Westerveld,37079077.0,9.9,9.0,9.0,11.85,9.45,8.7
Fali,67155014.0,16.65,17.75,17.75,17.7,16.75,15.65
Chema Nuñez,67232678.0,13.6,13.0,13.0,13.6,14.95,17.95
Antonio Sánchez,67272744.0,16.6,16.95,16.95,16.75,16.05,15.6
Fran Pérez,95078306.0,13.15,12.55,12.55,12.85,14.3,17.15
Diego Moreno,2000024303.0,15.9,16.6,16.6,16.3,15.3,14.6
Junior Esparragoza,2000179937.0,17.8,17.35,17.35,18.1,16.2,15.3
Francisco Jesús Carbonell,2000440196.0,18.2,17.7,17.7,17.0,17.9,19.9
