Player,UID,AF,CF,DLF,F9,P,PF,TM
Mauricio Morán,2000192669.0,8.85,6.9,9.25,7.7,8.85,9.05,8.45
Ángel Luis Arcas,2000571805.0,12.65,12.35,13.1,11.8,12.65,12.55,12.7
Juan Ángel Muñoz,2000512204.0,10.7,10.05,11.15,10.3,10.7,10.95,11.3
Ricardo Peralta,2000438819.0,10.15,9.4,9.3,8.6,10.15,11.95,10.85
Josep,2000513274.0,12.65,9.7,11.55,11.1,12.65,12.7,10.3
Ramiro Gabarri,2000198124.0,13.7,12.55,13.25,13.2,13.7,11.55,11.8
Gustavo Zamora,2000512210.0,13.05,11.8,13.05,12.55,13.05,11.05,11.25
Mamadou Coly,2000440193.0,12.45,10.2,10.85,11.35,12.45,11.2,9.65
Luis Nsambi,2000631649.0,12.45,12.5,13.3,12.9,12.45,12.05,12.1
Alberto,2000512206.0,13.35,13.0,12.95,13.15,13.35,12.35,12.1
Bright Adjei,2000660374.0,13.1,13.3,13.3,12.8,13.1,13.2,13.1
Guillermo Centurión,78095397.0,7.65,7.5,9.2,8.35,7.65,8.1,8.2
Kike Barja,67196202.0,12.15,12.1,12.75,13.3,12.15,11.7,10.95
Ezequiel Aranda,14246685.0,14.55,13.9,14.2,13.65,14.55,13.5,14.2
Álex Olmedo,2000034591.0,10.9,11.6,12.7,12.0,10.9,11.2,9.9
Raúl De Tomás,67156425.0,11.6,12.65,13.1,13.0,11.6,10.75,12.7
Sem Westerveld,37079077.0,5.9,4.3,6.4,4.9,5.9,6.4,6.0
Fali,67155014.0,8.45,11.05,10.7,10.3,8.45,10.45,11.45
Chema Nuñez,67232678.0,11.45,11.25,11.9,12.4,11.45,10.45,10.0
Antonio Sánchez,67272744.0,11.35,11.0,11.45,10.35,11.35,11.65,10.7
Fran Pérez,95078306.0,11.75,11.45,11.6,12.2,11.75,10.75,11.1
Diego Moreno,2000024303.0,12.3,10.45,10.95,11.2,12.3,12.25,10.7
Junior Esparragoza,2000179937.0,11.15,9.5,10.6,9.8,11.15,11.2,10.6
Francisco Jesús Carbonell,2000440196.0,12.65,12.9,14.05,14.0,12.65,12.1,12.25
