Player,UID,CD,BPD,NNCB,Lib
Mauricio Morán,2000192669.0,12.55,11.2,12.4,9.7
Ángel Luis Arcas,2000571805.0,17.75,16.9,16.35,17.1
Juan Ángel Muñoz,2000512204.0,16.55,14.95,15.65,14.25
Ricardo Peralta,2000438819.0,17.0,14.05,15.7,13.05
Josep,2000513274.0,13.05,11.45,13.5,13.15
Ramiro Gabarri,2000198124.0,9.95,11.15,9.8,14.1
Gustavo Zamora,2000512210.0,10.55,11.7,10.1,15.15
Mamadou Coly,2000440193.0,10.8,10.65,10.9,11.05
Luis Nsambi,2000631649.0,14.05,14.0,12.2,16.6
Alberto,2000512206.0,11.55,11.8,11.05,12.6
Bright Adjei,2000660374.0,9.9,10.1,8.7,11.2
Guillermo Centurión,78095397.0,11.8,11.35,11.95,11.15
Kike Barja,67196202.0,12.75,12.3,12.2,16.2
Ezequiel Aranda,14246685.0,13.55,13.05,12.05,14.7
Álex Olmedo,2000034591.0,8.4,9.4,8.9,11.1
Raúl De Tomás,67156425.0,12.15,12.3,11.55,14.8
Sem Westerveld,37079077.0,10.25,8.95,10.85,6.85
Fali,67155014.0,18.45,17.15,18.1,16.5
Chema Nuñez,67232678.0,11.65,12.15,11.95,15.85
Antonio Sánchez,67272744.0,15.7,14.95,15.35,15.2
Fran Pérez,95078306.0,11.9,13.1,11.9,15.05
Diego Moreno,2000024303.0,14.35,13.8,13.6,14.65
Junior Esparragoza,2000179937.0,16.45,15.4,16.45,14.8
Francisco Jesús Carbonell,2000440196.0,15.15,15.2,14.6,18.35
