Player,UID,AML,AMR,IW_AML,IW_AMR,W_AML,W_AMR,IF_AML,IF_AMR,WG_AML,WG_AMR
Mauricio Morán,2000192669.0,11.2,11.2,11.2,11.2,11.55,11.55,10.4,10.4,11.25,11.25
Ángel Luis Arcas,2000571805.0,17.95,17.95,17.95,17.95,16.05,16.05,16.45,16.45,16.46,16.46
Juan Ángel Muñoz,2000512204.0,14.95,14.95,14.95,14.95,14.3,14.3,13.75,13.75,14.17,14.17
Ricardo Peralta,2000438819.0,14.75,14.75,14.75,14.75,15.35,15.35,14.35,14.35,15.21,15.21
Josep,2000513274.0,14.4,14.4,14.4,14.4,16.65,16.65,13.35,13.35,15.38,15.38
Ramiro Gabarri,2000198124.0,17.9,17.9,17.9,17.9,16.85,16.85,17.6,17.6,15.62,15.62
Gustavo Zamora,2000512210.0,18.25,18.25,18.25,18.25,17.3,17.3,17.0,17.0,16.46,16.46
Mamadou Coly,2000440193.0,13.25,13.25,13.25,13.25,14.3,14.3,12.95,12.95,13.25,13.25
Luis Nsambi,2000631649.0,19.95,19.95,19.95,19.95,17.95,17.95,18.2,18.2,17.46,17.46
Alberto,2000512206.0,15.35,15.35,15.35,15.35,15.55,15.55,15.05,15.05,14.71,14.71
Bright Adjei,2000660374.0,13.5,13.5,13.5,13.5,13.0,13.0,13.8,13.8,12.25,12.25
Guillermo Centurión,78095397.0,12.25,12.25,12.25,12.25,10.05,10.05,11.6,11.6,10.29,10.29
Kike Barja,67196202.0,18.35,18.35,18.35,18.35,17.3,17.3,17.45,17.45,15.67,15.67
Ezequiel Aranda,14246685.0,19.05,19.05,19.05,19.05,18.45,18.45,20.0,20.0,17.12,17.12
Álex Olmedo,2000034591.0,12.4,12.4,12.4,12.4,10.1,10.1,11.5,11.5,9.5,9.5
Raúl De Tomás,67156425.0,16.3,16.3,16.3,16.3,15.9,15.9,16.7,16.7,15.17,15.17
Sem Westerveld,37079077.0,7.85,7.85,7.85,7.85,6.6,6.6,7.85,7.85,7.42,7.42
Fali,67155014.0,14.9,14.9,14.9,14.9,13.7,13.7,14.15,14.15,14.62,14.62
Chema Nuñez,67232678.0,16.85,16.85,16.85,16.85,15.5,15.5,16.5,16.5,13.92,13.92
Antonio Sánchez,67272744.0,15.15,15.15,15.15,15.15,16.25,16.25,14.55,14.55,15.5,15.5
Fran Pérez,95078306.0,16.65,16.65,16.65,16.65,15.85,15.85,16.9,16.9,15.04,15.04
Diego Moreno,2000024303.0,15.85,15.85,15.85,15.85,18.35,18.35,15.25,15.25,16.62,16.62
Junior Esparragoza,2000179937.0,15.2,15.2,15.2,15.2,14.8,14.8,14.35,14.35,14.17,14.17
Francisco Jesús Carbonell,2000440196.0,20.05,20.05,20.05,20.05,17.7,17.7,18.4,18.4,16.58,16.58
