Player,UID,WM,W,DW,IW,IF,WG
Txomin Zubiri,2000439530.0,5.9,5.5,6.9,6.2,6.2,5.5
Eugenio,2000196447.0,8.5,8.7,9.1,10.0,9.3,8.83
Ángel Rueda,2000053923.0,6.4,6.55,8.75,5.2,5.2,7.17
Jesús María Lope,2000680621.0,6.1,4.8,10.2,6.7,6.7,5.92
Jeremy Socorro,67275291.0,8.8,9.1,8.4,8.7,7.8,8.46
Iván Gil,67277668.0,9.4,10.1,6.5,11.0,10.1,9.25
Mati,2000556504.0,8.55,10.65,5.15,8.55,8.8,10.54
Ale Sánchez,2000512877.0,9.45,11.3,6.95,9.8,10.0,10.58
Martín Alonso,2000681854.0,11.7,13.1,9.35,10.55,10.45,12.42
Gustavo Abizanda,67293305.0,10.6,11.2,7.4,11.6,11.2,10.42
Pascual,2000632678.0,9.4,11.4,4.2,10.7,10.6,11.58
Jaume Ramón,2000198629.0,3.0,3.85,4.4,3.65,3.65,4.75
Jesús García,2000443709.0,6.4,4.05,8.35,7.5,7.5,4.96
Josh Pérez,72046491.0,9.0,10.8,6.3,9.7,9.9,10.33
Jesus,2000443702.0,9.95,9.2,5.0,11.6,11.8,9.33
Esteban Navarro,2000685451.0,6.5,7.4,6.4,6.2,6.3,7.67
Juan Ramón Acosta,2000680229.0,9.75,10.35,6.05,10.5,10.65,9.42
Ramón López,2000679928.0,8.1,9.1,3.8,9.7,9.6,8.92
Javier Vidorreta,2000066246.0,8.8,9.8,5.4,9.6,10.3,10.33
Óscar Coll,67277671.0,9.55,10.0,5.15,10.65,9.65,8.92
Aitor Añibarro,2000035882.0,8.6,10.2,3.3,9.55,9.8,10.08
Christian Díaz,2000510073.0,8.3,9.3,10.5,9.2,7.9,9.67
Iván,2000574699.0,6.7,6.75,7.1,6.7,6.2,7.04
Roger Colomina,2000015276.0,9.7,11.35,4.8,10.45,10.0,10.79
