Player,UID,GK,DR,DL,DC,WBR,WBL,DM,MR,ML,MC,AMR,AML,AMC,STC
Txomin Zubiri,2000439530,10.11,7.33,7.33,7.37,6.83,6.83,6.85,6.38,6.38,6.62,6.13,6.13,6.36,5.82
Eugenio,2000196447,10.43,10.01,10.01,10.1,9.85,9.85,9.76,9.31,9.31,9.7,9.41,9.41,9.67,8.96
Ángel Rueda,2000053923,10.82,9.78,9.78,10.59,9.17,9.17,9.21,8.08,8.08,8.25,8.32,8.32,8.12,7.96
Jesús María Lope,2000680621,7.05,7.88,7.88,8.76,7.59,7.59,7.54,6.49,6.49,6.84,6.68,6.68,6.57,6.68
Jeremy Socorro,67275291,10.87,9.96,9.96,9.63,9.78,9.78,9.74,9.36,9.36,9.54,9.64,9.64,9.67,8.77
Iván Gil,67277668,9.68,9.25,9.25,7.99,9.68,9.68,9.35,10.19,10.19,10.15,10.32,10.32,10.6,9.44
Mati,2000556504,8.08,8.2,8.2,7.27,8.62,8.62,7.6,8.85,8.85,8.4,9.1,9.1,8.74,8.68
Ale Sánchez,2000512877,8.71,8.6,8.6,7.55,9.15,9.15,8.22,9.5,9.5,8.95,9.76,9.76,9.38,9.06
Martín Alonso,2000681854,10.33,10.15,10.15,9.07,10.58,10.58,9.95,10.85,10.85,10.23,11.14,11.14,10.56,10.44
Gustavo Abizanda,67293305,9.6,9.37,9.37,8.15,9.86,9.86,9.07,10.26,10.26,9.72,10.45,10.45,10.22,9.54
Pascual,2000632678,8.34,8.88,8.88,7.71,9.44,9.44,8.33,10.02,10.02,9.65,10.44,10.44,10.41,10.68
Jaume Ramón,2000198629,8.87,6.3,6.3,7.0,5.78,5.78,5.73,5.43,5.43,5.48,5.46,5.46,5.42,5.45
Jesús García,2000443709,7.68,7.54,7.54,8.41,7.17,7.17,7.37,6.3,6.3,6.89,6.23,6.23,6.44,6.38
Josh Pérez,72046491,8.72,8.55,8.55,7.51,8.99,8.99,8.28,9.54,9.54,8.95,9.8,9.8,9.5,9.49
Jesus,2000443702,5.67,7.22,7.22,6.43,7.93,7.93,7.16,8.32,8.32,8.32,8.64,8.64,8.59,8.7
Esteban Navarro,2000685451,4.08,6.06,6.06,5.57,6.49,6.49,6.12,6.35,6.35,6.42,6.68,6.68,6.61,6.21
Juan Ramón Acosta,2000680229,8.96,8.43,8.43,7.34,8.9,8.9,8.18,9.23,9.23,8.78,9.43,9.43,9.33,8.99
Ramón López,2000679928,4.57,5.96,5.96,5.26,6.68,6.68,5.99,7.07,7.07,7.0,7.61,7.61,7.43,7.33
Javier Vidorreta,2000066246,8.4,8.7,8.7,8.02,9.0,9.0,8.3,9.37,9.37,8.89,9.68,9.68,9.51,10.49
Óscar Coll,67277671,7.82,8.18,8.18,6.65,8.94,8.94,8.14,9.55,9.55,9.5,9.75,9.75,9.9,8.85
Aitor Añibarro,2000035882,8.02,7.99,7.99,7.07,8.39,8.39,7.65,8.94,8.94,8.66,9.36,9.36,9.34,9.61
Christian Díaz,2000510073,11.86,10.45,10.45,10.76,9.94,9.94,10.0,9.3,9.3,9.84,9.46,9.46,9.61,8.95
Iván,2000574699,5.26,6.78,6.78,6.28,7.28,7.28,6.91,7.01,7.01,7.25,7.2,7.2,7.41,6.7
Roger Colomina,2000015276,6.98,7.48,7.48,6.38,8.01,8.01,7.45,8.65,8.65,8.73,9.0,9.0,9.06,8.52
