Player,UID,Position
Txomin Zubiri,2000439530,GK
Eugenio,2000196447,"D (RL), WB (R), AM (C)"
Ángel Rueda,2000053923,D (C)
Jesús María Lope,2000680621,D (C)
Jeremy Socorro,67275291,D/WB (L)
Iván Gil,67277668,M/AM (C)
Mati,2000556504,"WB (R), M (LC), AM (RL), ST (C)"
Ale Sánchez,2000512877,"D (C), DM, M (LC), AM (RLC)"
Martín Alonso,2000681854,"M (C), AM (RC)"
Gustavo Abizanda,67293305,"M/AM (L), ST (C)"
Pascual,2000632678,"AM (RC), ST (C)"
Jaume Ramón,2000198629,GK
Jesús García,2000443709,"D (RC), WB (RL)"
Josh Pérez,72046491,"M (R), AM (RL)"
Jesus,2000443702,"AM (RC), ST (C)"
Esteban Navarro,2000685451,D/WB (L)
Juan Ramón Acosta,2000680229,M/AM (L)
Ramón López,2000679928,"M (C), AM (RC)"
Javier Vidorreta,2000066246,"AM (R), ST (C)"
Óscar Coll,67277671,M/AM (C)
Aitor Añibarro,2000035882,"AM (C), ST (C)"
Christian Díaz,2000510073,"D (RC), M (C)"
Iván,2000574699,"DM, M (C)"
Roger Colomina,2000015276,M/AM (C)
