Player,UID,FB,WB,IWB,CWB,NNFB
Txomin Zubiri,2000439530.0,7.2,3.7,6.2,4.23,7.2
Eugenio,2000196447.0,10.1,8.3,10.0,9.23,10.0
Ángel Rueda,2000053923.0,10.85,9.0,8.5,8.04,11.15
Jesús María Lope,2000680621.0,11.3,7.9,10.0,7.77,11.0
Jeremy Socorro,67275291.0,10.5,9.1,9.3,9.0,9.3
Iván Gil,67277668.0,7.5,7.9,7.7,8.85,6.8
Mati,2000556504.0,5.75,7.7,4.95,7.85,6.5
Ale Sánchez,2000512877.0,7.55,8.25,6.75,8.81,6.65
Martín Alonso,2000681854.0,10.05,9.6,8.55,9.81,9.6
Gustavo Abizanda,67293305.0,7.8,8.7,7.8,9.38,6.7
Pascual,2000632678.0,5.5,7.9,5.5,8.92,4.2
Jaume Ramón,2000198629.0,5.65,4.05,4.7,3.96,5.5
Jesús García,2000443709.0,8.8,6.35,8.3,6.73,9.7
Josh Pérez,72046491.0,7.2,7.9,6.4,8.31,5.7
Jesus,2000443702.0,5.0,8.05,6.0,9.12,4.85
Esteban Navarro,2000685451.0,7.1,7.0,6.9,7.77,5.3
Juan Ramón Acosta,2000680229.0,6.75,7.75,6.05,8.31,5.3
Ramón López,2000679928.0,4.8,7.8,4.7,8.0,4.4
Javier Vidorreta,2000066246.0,6.6,7.6,6.1,7.69,5.9
Óscar Coll,67277671.0,5.55,7.25,6.45,8.85,4.65
Aitor Añibarro,2000035882.0,4.95,7.5,4.55,7.73,3.8
Christian Díaz,2000510073.0,12.1,9.1,11.0,8.23,12.8
Iván,2000574699.0,7.9,7.5,7.7,8.08,6.3
Roger Colomina,2000015276.0,5.65,7.4,5.75,8.27,3.7
