Player,UID,WM,W,DW,IW,IF,WG
Andrés Céspedes,2000043877.0,9.8,10.55,11.05,11.55,10.25,10.62
José Curras,67294881.0,15.9,16.0,16.55,17.15,16.6,15.08
Arnar Bragason,2000357424.0,15.2,14.85,16.2,16.7,16.3,14.21
Arnau Comas,67258409.0,14.15,14.35,15.0,15.4,14.45,14.38
Javi López,67293674.0,17.65,18.5,16.6,18.05,17.0,17.58
Lirim Kastrati,24058534.0,10.4,13.3,8.95,11.4,11.5,12.25
Schurrle,83223653.0,17.75,17.7,17.35,19.15,18.1,16.08
Ibrahim Sangaré,48042717.0,15.85,16.6,17.45,16.25,15.9,17.25
Asier Rodríguez,2000572954.0,12.95,14.4,11.6,12.55,12.15,13.17
0,2000068663.0,15.95,15.7,14.35,16.65,17.25,15.5
Xabier Garmendia,2000631378.0,18.35,19.45,16.3,21.2,21.75,18.54
Carlos Abad,67198215.0,11.1,9.85,13.1,14.0,12.7,10.12
David Martínez,14136117.0,16.15,15.65,16.8,17.8,16.45,15.04
Ander Imaz,2000439533.0,16.5,18.3,13.0,17.45,17.35,16.25
Rafa Mir,67221051.0,14.75,16.7,14.4,17.0,17.5,16.42
Samir Kacem,2000433838.0,13.2,13.8,15.05,13.25,12.5,13.5
Vyacheslav Karavaev,58076747.0,17.7,17.75,17.4,17.2,17.05,16.46
Joseph Ngwem,2000202611.0,17.1,19.1,13.45,17.65,17.8,18.17
Birger Meling,29126536.0,17.0,16.3,17.0,16.45,16.25,14.75
Adil Aouchiche,49048441.0,15.25,17.85,12.95,16.35,16.35,17.46
Alexander Sørloth,53063430.0,15.15,16.7,13.5,17.55,17.9,16.33
Luca Sangalli,67190076.0,16.35,17.2,16.8,16.2,16.7,15.21
Borja Sainz,67277845.0,16.75,17.5,15.75,16.95,17.05,16.17
Suleimane Rodrigues,2000190096.0,15.15,15.85,15.7,16.7,16.9,15.62
Stefan Ranđelović,62247042.0,12.1,12.25,14.05,14.15,12.0,12.08
Rubén Garrido,2000515088.0,17.05,17.6,15.35,17.25,16.8,17.04
