Player,UID,DM,AM,BWM,HB,SV,RGA
Andrés Céspedes,2000043877.0,12.5,11.85,11.85,14.15,11.75,12.05
José Curras,67294881.0,17.5,16.9,16.9,17.3,16.35,17.35
Arnar Bragason,2000357424.0,17.75,16.55,16.55,18.8,17.5,15.6
Arnau Comas,67258409.0,16.1,15.85,15.85,17.1,15.95,15.0
Javi López,67293674.0,16.9,16.8,16.8,16.0,17.3,18.2
Lirim Kastrati,24058534.0,9.05,9.05,9.05,10.15,9.05,9.95
Schurrle,83223653.0,17.25,17.2,17.2,15.6,16.85,19.15
Ibrahim Sangaré,48042717.0,18.2,17.9,17.9,17.6,17.5,15.95
Asier Rodríguez,2000572954.0,11.2,11.2,11.2,11.25,10.65,12.3
0,2000068663.0,15.2,15.85,15.85,14.3,14.1,16.5
Xabier Garmendia,2000631378.0,17.15,17.0,17.0,16.3,16.65,19.75
Carlos Abad,67198215.0,14.25,13.65,13.65,15.1,13.55,14.25
David Martínez,14136117.0,17.05,17.0,17.0,17.4,17.8,17.5
Ander Imaz,2000439533.0,12.2,11.9,11.9,11.3,12.5,14.9
Rafa Mir,67221051.0,15.05,14.45,14.45,14.9,14.8,16.85
Samir Kacem,2000433838.0,15.55,15.95,15.95,16.7,14.75,12.8
Vyacheslav Karavaev,58076747.0,16.45,16.7,16.7,17.5,17.2,16.95
Joseph Ngwem,2000202611.0,13.4,14.1,14.1,15.05,13.55,14.5
Birger Meling,29126536.0,15.85,16.35,16.35,17.2,16.45,15.4
Adil Aouchiche,49048441.0,12.5,12.85,12.85,13.1,13.4,15.4
Alexander Sørloth,53063430.0,14.65,14.65,14.65,15.55,13.85,16.35
Luca Sangalli,67190076.0,16.75,17.35,17.35,18.0,15.95,14.95
Borja Sainz,67277845.0,14.1,14.0,14.0,14.4,15.4,16.9
Suleimane Rodrigues,2000190096.0,15.6,15.0,15.0,15.0,16.05,14.9
Stefan Ranđelović,62247042.0,15.2,16.2,16.2,16.4,14.15,13.8
Rubén Garrido,2000515088.0,15.55,15.8,15.8,15.2,14.9,15.45
