Player,UID,Acc,Agi,Pac,Wor,Jum,Fir,Dri,Cmp,Sta,Pos,Cnt,Fre,Cor,Fin,OtB,Pas,Tec,Ant,Dec,Lon,Fla,Tck,Hea,Agg,Bra,Bal,Str,Det,Mar,Vis,Tea,Cro,Ldr,Nat,L Th,Pen,Aer,Cmd,Com,Ecc,Han,Kic,Pun,1v1,Ref,TRO,Thr,Age
Andrés Céspedes,2000043877.0,19.5,18.5,22.5,11.0,19.5,9.5,2.5,14.0,14.0,16.5,15.0,7.5,3.0,2.0,3.5,18.0,6.5,15.5,20.0,3.0,1.0,3.0,2.5,19.5,18.0,15.0,15.5,24.5,1.0,15.0,13.5,3.0,6.0,18.0,5.0,3.5,17.0,12.0,15.5,4.5,13.0,13.0,7.0,19.5,22.5,21.0,15.0,24.0
José Curras,67294881.0,18.0,24.0,21.0,16.5,15.0,15.5,13.5,11.0,19.5,13.0,24.5,5.0,9.5,9.5,13.5,16.5,18.0,21.0,22.5,10.5,14.0,13.0,6.0,18.0,15.5,15.5,15.5,15.0,13.0,15.0,16.5,12.0,10.5,21.0,11.0,12.0,3.0,2.5,2.0,3.5,1.0,4.5,3.0,5.0,3.5,2.0,2.5,25.0
Arnar Bragason,2000357424.0,19.5,20.0,16.5,18.0,12.0,15.5,11.0,17.0,22.5,12.0,21.0,8.0,12.0,9.5,12.5,15.0,15.0,23.0,21.0,16.5,7.5,17.0,10.0,24.0,21.5,21.5,20.0,12.0,14.0,13.5,9.0,10.5,7.5,16.5,8.0,8.0,2.5,3.0,3.0,4.5,3.0,3.0,6.0,3.0,3.5,2.0,3.0,23.0
Arnau Comas,67258409.0,20.0,18.0,20.0,16.5,15.0,16.5,9.0,18.0,16.5,13.0,17.0,9.0,5.0,10.5,7.5,18.5,15.0,16.5,18.0,10.5,8.0,14.0,14.0,20.0,21.0,21.0,21.0,15.0,13.0,20.0,15.5,9.5,21.5,23.0,10.5,4.5,3.5,3.0,3.0,2.0,5.0,2.0,2.0,2.5,4.5,3.5,2.5,28.0
Javi López,67293674.0,21.0,24.0,21.5,15.0,15.0,21.0,19.5,21.0,18.0,14.0,20.0,5.0,9.5,8.0,18.0,18.0,16.5,18.0,18.0,9.0,20.0,14.0,11.0,9.0,14.0,17.0,21.0,8.0,14.0,18.5,17.0,18.0,19.5,18.0,21.0,6.0,5.0,1.0,6.0,2.5,3.0,2.5,1.0,3.5,3.5,3.5,3.0,26.0
Lirim Kastrati,24058534.0,17.0,15.0,19.0,14.0,7.0,10.0,12.0,8.0,15.0,8.5,8.0,2.0,3.0,11.0,17.0,8.0,10.0,10.0,8.0,11.0,10.0,3.0,7.0,13.0,12.0,12.0,10.0,16.0,6.0,10.0,8.0,9.0,3.0,18.0,7.0,8.0,2.5,4.0,3.0,4.5,2.5,5.5,2.5,6.0,4.0,2.5,4.5,29.0
Schurrle,83223653.0,13.0,20.0,13.0,17.0,7.0,12.0,20.0,18.0,20.0,13.5,19.5,15.0,18.0,13.5,21.5,18.5,18.5,20.0,20.0,17.0,24.0,13.5,9.0,8.0,12.0,13.5,13.0,16.5,16.5,24.0,19.5,15.5,17.0,15.5,15.0,15.5,4.5,2.5,3.0,4.5,2.5,3.5,3.5,4.5,3.0,4.5,2.0,27.0
Ibrahim Sangaré,48042717.0,17.0,19.5,14.0,21.5,25.5,12.0,13.5,18.0,20.0,19.5,19.5,15.0,16.5,7.5,16.5,13.0,18.5,18.0,18.5,18.5,13.0,14.0,15.5,14.0,18.0,21.0,16.0,15.0,19.5,11.0,15.5,14.0,17.0,20.0,3.0,3.0,2.5,3.0,2.0,6.0,5.0,2.5,3.0,3.0,4.5,2.5,2.5,30.0
Asier Rodríguez,2000572954.0,16.0,21.5,14.0,10.0,6.0,14.0,16.0,12.5,13.0,8.0,13.5,17.0,10.5,7.0,10.0,8.0,16.0,11.0,16.5,7.0,15.0,6.0,8.0,13.5,14.0,14.0,7.0,23.0,10.5,11.0,16.5,19.5,16.5,16.5,5.0,6.5,2.5,4.5,3.5,2.0,2.5,3.0,6.0,2.0,3.0,3.0,3.5,19.0
0,2000068663.0,16.0,18.0,12.0,18.0,14.0,16.0,21.0,15.0,10.5,12.5,15.5,15.5,14.0,20.0,21.0,10.5,19.5,18.0,18.0,22.5,20.0,11.0,15.0,10.5,12.5,5.0,10.0,19.5,14.0,14.0,24.5,9.0,7.5,18.0,9.0,9.0,3.5,2.0,7.5,3.0,2.5,3.0,1.0,2.5,2.5,3.0,3.0,29.0
Xabier Garmendia,2000631378.0,14.0,23.0,15.0,20.0,16.0,17.0,21.5,16.0,24.5,15.0,17.5,15.0,13.0,24.0,26.0,18.5,20.0,23.0,23.0,15.5,19.0,3.5,12.0,15.5,10.5,25.0,12.0,25.0,11.5,18.5,21.5,8.0,11.0,18.5,5.5,18.5,2.0,5.0,3.0,3.5,2.5,6.5,3.5,5.5,3.0,2.5,2.0,18.0
Carlos Abad,67198215.0,13.5,14.0,12.0,18.0,21.0,6.5,2.5,15.5,16.5,20.0,16.5,11.0,3.0,5.0,3.0,24.0,16.5,14.0,21.0,3.0,3.0,2.0,2.0,15.0,17.0,12.5,17.0,18.5,2.5,18.0,15.0,2.5,18.0,21.0,3.5,3.0,15.0,12.0,17.0,6.0,15.0,12.0,8.0,19.5,23.0,12.0,14.0,33.0
