Player,UID,FB,WB,IWB,CWB,NNFB
Andrés Céspedes,2000043877.0,13.15,9.65,11.85,10.04,12.9
José Curras,67294881.0,17.6,15.3,16.75,15.62,16.95
Arnar Bragason,2000357424.0,17.25,15.35,17.15,15.31,19.3
Arnau Comas,67258409.0,16.2,13.9,16.15,14.54,16.85
Javi López,67293674.0,17.25,17.3,17.05,17.58,15.7
Lirim Kastrati,24058534.0,10.85,12.05,9.25,11.42,9.95
Schurrle,83223653.0,16.55,16.35,17.45,16.35,15.3
Ibrahim Sangaré,48042717.0,17.85,16.95,16.8,16.38,18.0
Asier Rodríguez,2000572954.0,11.85,12.3,10.5,12.38,10.65
0,2000068663.0,15.2,14.5,14.0,14.69,13.25
Xabier Garmendia,2000631378.0,16.55,15.9,16.9,16.5,15.3
Carlos Abad,67198215.0,13.0,9.25,13.8,10.73,13.85
David Martínez,14136117.0,17.25,15.2,17.75,16.15,17.0
Ander Imaz,2000439533.0,12.75,14.95,12.6,15.23,10.75
Rafa Mir,67221051.0,14.65,14.45,14.45,14.5,14.65
Samir Kacem,2000433838.0,15.65,12.9,14.8,12.85,16.2
Vyacheslav Karavaev,58076747.0,16.95,16.55,16.7,17.08,16.85
Joseph Ngwem,2000202611.0,14.2,14.7,13.2,15.08,13.05
Birger Meling,29126536.0,16.25,15.15,15.75,15.73,16.15
Adil Aouchiche,49048441.0,14.0,14.8,12.25,15.15,12.05
Alexander Sørloth,53063430.0,13.9,12.8,13.65,13.19,14.4
Luca Sangalli,67190076.0,16.65,15.95,15.45,15.73,17.4
Borja Sainz,67277845.0,14.55,16.0,15.15,16.42,14.1
Suleimane Rodrigues,2000190096.0,15.85,15.85,15.7,15.85,15.55
Stefan Ranđelović,62247042.0,15.1,10.45,14.55,11.23,14.1
Rubén Garrido,2000515088.0,15.65,14.8,14.4,14.85,13.4
