Attr,GK,DRL,DC,WBRL,DM,MRL,AMRL,AMC,SC
Cro,0,2,1,3,1,5,1,5,1,2
Dri,0,1,1,2,2,3,2,5,3,5
Fin,0,1,1,1,2,2,2,2,3,8
Fir,0,3,2,3,4,4,6,5,5,6
Hea,1,2,5,1,1,1,1,1,1,6
Lon,0,1,1,1,3,2,3,2,3,2
Mar,0,3,8,2,3,1,3,1,1,1
Pas,0,2,2,3,4,3,6,2,4,2
Tck,0,4,5,3,7,2,3,2,2,1
Tec,1,2,1,3,3,4,4,4,5,4
Ant,3,3,5,3,5,3,3,3,3,5
Bra,6,2,2,1,1,1,1,1,1,1
Cmp,2,2,2,2,2,3,3,3,3,6
Cnt,6,4,4,3,3,2,2,2,2,2
Dec,10,7,10,5,8,5,7,5,6,5
Lea,2,1,2,1,1,1,1,1,1,1
OtB,0,1,1,2,1,2,3,2,3,6
Pos,5,4,8,3,5,1,3,1,2,2
Tea,2,2,1,2,2,2,2,2,2,1
Vis,1,2,1,2,4,3,6,3,6,2
Wor,1,2,2,2,4,3,3,3,3,2
Acc,6,7,6,8,6,8,6,10,9,10
Agi,8,6,6,5,6,6,6,6,6,6
Bal,2,2,2,2,2,2,2,2,2,2
Jum,1,2,6,1,1,1,1,1,1,5
Pac,3,5,5,6,4,6,5,10,7,7
Sta,1,6,3,7,4,5,6,7,6,6
Str,4,4,6,4,5,3,4,3,3,6
