Player,UID,DLP,Regista,BWM,BBM,CM,AP,Mezzala,Carrilero
Sergi Pascual,2000196434,15.6,14.3,13.4,14.6,14.9,14.8,14.9,14.1
Anders Nygaard,2000569028,13.1,13.3,11.1,13.4,13.3,14.2,14.1,12.3
Laszlo Nicolau,2000665931,14.0,14.2,12.2,14.2,14.2,15.0,15.1,13.4
Alberto Barace,2000663353,12.8,12.5,10.0,12.2,11.9,13.3,13.7,10.7
Miguel Vicente,2000509867,11.5,9.7,10.5,10.9,11.6,10.1,10.4,11.4
Víctor,2000440738,12.8,12.4,10.7,12.3,12.4,13.2,13.3,11.6
António Silva,83320135,12.9,11.9,12.6,11.6,12.2,11.9,11.5,12.7
David Carmo,83111598,13.4,12.4,13.8,12.6,12.9,12.1,12.0,13.0
Mikel Oyarzábal,67220143,15.1,14.9,13.6,15.0,15.1,15.2,15.4,14.3
Gaetano Oristanio,43425611,13.8,13.5,10.3,13.2,13.3,14.7,15.0,11.9
Samuele Mulattieri,43390644,12.6,12.4,9.7,12.4,12.2,13.6,14.0,10.9
Adam Hlozek,31041522,11.2,11.0,10.7,11.3,11.0,12.3,12.7,10.6
Scott Diaz,2000706461,13.6,12.6,11.6,12.9,13.1,13.3,12.9,12.0
Leandro Alves,2000568887,9.1,8.3,8.6,9.6,9.7,10.3,11.4,8.6
Jeppe Søjberg,2000558105,11.8,11.3,9.9,12.7,12.0,12.6,13.0,10.5
John Bueno,2000419425,13.9,14.4,12.0,15.3,15.1,15.8,16.5,13.8
Fabián Aguilera,2000415818,12.3,11.5,10.3,12.7,12.5,13.1,13.8,10.7
Brendan McCrudden,2000410869,12.9,11.9,11.6,13.4,13.7,13.3,13.8,12.2
Luka Bransteter,2000054638,12.1,12.2,11.7,12.2,12.0,13.2,13.6,11.1
William Saliba,49039004,13.5,12.5,14.4,13.2,13.4,12.5,12.6,13.7
Carlos Agirre,2000710523,11.4,10.3,11.9,11.2,11.6,10.5,10.9,11.4
Josu Prieto,2000663360,12.0,12.1,10.2,12.4,12.5,12.9,12.8,11.1
Tibo De Vos,2000663034,12.1,12.2,10.3,12.8,12.5,13.6,13.5,11.7
Bright Adjei,2000660374,12.7,11.7,10.8,13.6,13.2,12.8,13.2,11.9
Jacinto,2000631650,9.5,9.0,8.5,10.0,9.9,10.7,11.5,9.1
Raúl Arconada,2000631377,12.7,12.1,9.6,12.2,12.5,13.1,13.5,11.6
Özgün Karatepe,2000631119,11.8,11.4,13.4,12.0,12.0,11.2,11.0,12.9
Johannes Schmid,2000630363,11.9,10.5,9.8,12.0,12.2,11.4,11.7,11.4
Gaizka Casado,2000629746,12.8,12.2,9.8,12.9,13.2,12.8,13.4,11.9
Ignacio Vallina,2000570634,15.5,14.1,14.8,15.5,16.0,14.1,14.7,15.2
Morris Pietranera,2000568425,11.8,11.2,10.0,11.9,11.5,11.6,12.5,10.5
Diego Le Coz,2000566166,12.5,12.2,11.2,12.1,12.1,12.7,13.0,11.0
Federico Trinidad,2000561699,10.8,10.2,8.7,11.7,11.2,11.4,12.1,9.8
Christian Arghandewall,2000511616,12.5,11.8,11.1,11.9,11.9,12.1,12.5,11.4
Pablo Pérez,2000511072,9.5,8.7,8.4,10.3,9.9,10.6,10.9,8.2
Cédric Basile,2000506654,12.3,11.2,11.6,12.0,12.3,11.2,11.2,12.1
Alen Bartolović,2000506471,10.1,9.3,8.3,11.0,10.7,10.9,12.0,9.3
Michele Faraone,2000439673,10.6,9.9,9.5,11.1,11.2,11.8,12.1,9.9
Roberto Aizpurua,2000439253,9.8,9.3,9.1,10.3,9.9,10.9,11.1,9.1
Beñat Sanz,2000439251,13.9,12.9,10.4,13.4,13.8,13.3,14.0,12.2
Saverio van Lopik,2000437951,11.5,11.5,8.7,11.9,12.0,12.6,12.6,11.0
Paweł Brzyski,2000433744,13.7,12.9,12.7,13.5,13.7,13.6,14.2,13.0
Thiago Mineiro,2000411061,11.5,11.7,10.1,12.0,11.9,12.7,13.2,11.6
Ayrton Tallura,2000274550,14.3,13.3,12.0,14.7,15.0,14.7,15.5,12.8
Renato Pereira,2000190646,13.7,12.4,13.0,13.5,13.8,12.6,13.3,13.3
Filip Bilić,2000186485,11.6,10.8,11.8,12.8,12.4,12.3,13.4,11.2
Fran Čuljak,2000056918,11.4,11.3,10.8,12.0,11.9,12.7,13.4,10.8
José Gragera,67263880,13.8,12.9,13.3,13.3,13.8,12.7,12.4,13.5
Álex Remiro,67183918,13.2,10.8,10.5,11.7,12.4,10.6,10.3,11.4
Gabriel Martinelli,19351309,13.5,13.2,12.1,13.8,13.7,14.0,14.5,12.5
Xabier Garai,2000737993,12.2,10.8,10.5,11.1,11.5,10.9,11.1,10.5
Olexandr Holovko,2000707979,10.2,9.4,11.3,9.8,9.9,9.6,10.2,11.0
Xabier Gourgues,2000663362,11.7,10.5,13.1,11.5,11.7,10.4,11.1,12.3
Pierre Gosselin,2000663361,13.0,12.1,12.8,13.4,13.3,11.9,12.7,13.7
