Player,UID,AF,CF,DLF,F9,P,PF,TM
Víctor,2000440738,12.9,12.5,13.5,13.1,12.9,12.0,12.3
Scott Diaz,2000706461,11.9,12.2,13.0,12.5,11.9,11.7,11.4
Leandro Alves,2000568887,13.8,10.2,10.9,10.3,13.8,11.9,11.2
Özgün Karatepe,2000631119,11.9,10.0,11.0,10.6,11.9,11.8,10.3
Federico Trinidad,2000561699,12.6,12.2,11.9,11.5,12.6,11.6,12.5
Alen Bartolović,2000506471,13.2,11.1,11.5,11.1,13.2,11.4,11.1
Saverio van Lopik,2000437951,10.8,11.2,12.7,11.9,10.8,10.1,10.5
Gonzalo Cuadros,2000647507,12.1,11.0,12.6,12.4,12.1,10.8,10.4
Vicente,2000571659,12.2,10.2,11.9,11.3,12.2,10.8,10.5
Manuel Bosch,2000514796,12.6,11.7,12.8,11.9,12.6,11.9,11.0
Jannis Emde,2000504247,12.4,10.9,12.5,12.2,12.4,10.7,11.3
Harald Klingmann,2000504134,11.2,10.3,10.8,9.8,11.2,11.2,10.7
Aritz García,2000439255,10.4,9.3,10.4,8.7,10.4,11.0,10.5
Carl Mooney,2000410920,13.2,12.6,12.0,11.6,13.2,13.1,12.8
Álvaro Sánchez,2000685713,11.6,10.7,12.2,12.8,11.6,11.4,10.9
Francesco Zamuner,2000626880,11.4,11.5,12.6,12.4,11.4,11.0,11.0
Roberto van Brakel,2000572868,12.6,11.8,12.7,12.4,12.6,12.6,11.1
Mateo Gómez,2000512705,10.3,8.6,9.9,8.9,10.3,10.0,10.2
Felipe,2000510074,13.7,11.8,11.9,12.1,13.7,13.2,12.4
David Krecek,2000569970,11.5,10.1,10.3,9.3,11.5,13.1,11.4
Agustín Agirre,2000439259,11.3,11.0,12.4,11.5,11.3,11.4,11.5
Kian Van Den Bergh,2000632259,13.1,10.8,11.3,12.2,13.1,12.3,11.1
Agustín Kranevitter,2000612966,8.1,7.5,10.2,8.7,8.1,8.1,8.8
Antonio Navarro,2000571902,11.1,8.3,10.1,9.9,11.1,11.1,8.8
Buster Juul Vibe,2000566892,13.7,10.8,11.6,12.4,13.7,11.7,11.5
Lukas Chrenko,2000662685,11.5,10.8,11.0,10.6,11.5,11.9,10.7
Matt Bonfield,2000567798,10.7,8.9,9.7,9.7,10.7,10.2,8.9
Stefán Þór Jónsson,2000531873,9.7,9.4,9.8,8.9,9.7,11.4,10.2
Raffaele Russo,2000324450,8.3,7.3,9.4,7.9,8.3,9.4,8.0
Ronald Woudenberg,2000633117,7.6,6.7,8.5,7.5,7.6,7.7,6.6
