Player,UID,GK,DRL,DC,WBRL,DM,MRL,MC,AMRL,AMC,SC
Víctor,2000440738,730.0,969.0,1106.0,971.0,1109.0,1018.0,1167.0,1139.0,1150.0,1357.0
Scott Diaz,2000706461,824.0,991.0,1146.0,971.0,1111.0,1011.0,1168.0,1128.0,1149.0,1319.0
Leandro Alves,2000568887,722.0,885.0,1003.0,886.0,964.0,944.0,1033.0,1087.0,1068.0,1336.0
Özgün Karatepe,2000631119,889.0,1051.0,1254.0,1006.0,1144.0,1009.0,1154.0,1148.0,1116.0,1304.0
Federico Trinidad,2000561699,662.0,858.0,972.0,861.0,957.0,922.0,1044.0,1041.0,1053.0,1320.0
Alen Bartolović,2000506471,678.0,887.0,989.0,898.0,976.0,953.0,1070.0,1094.0,1088.0,1316.0
Saverio van Lopik,2000437951,663.0,871.0,989.0,869.0,1017.0,916.0,1103.0,1020.0,1064.0,1192.0
Gonzalo Cuadros,2000647507,731.0,910.0,1009.0,916.0,1043.0,978.0,1142.0,1107.0,1128.0,1235.0
Vicente,2000571659,781.0,920.0,1014.0,917.0,1001.0,973.0,1089.0,1104.0,1106.0,1273.0
Manuel Bosch,2000514796,776.0,1012.0,1173.0,1011.0,1131.0,1033.0,1208.0,1172.0,1189.0,1359.0
Jannis Emde,2000504247,780.0,920.0,1034.0,916.0,1013.0,968.0,1098.0,1093.0,1098.0,1257.0
Harald Klingmann,2000504134,811.0,990.0,1190.0,948.0,1092.0,951.0,1097.0,1069.0,1064.0,1251.0
Aritz García,2000439255,837.0,979.0,1210.0,913.0,1076.0,896.0,1059.0,1005.0,1002.0,1173.0
Carl Mooney,2000410920,670.0,885.0,979.0,900.0,994.0,957.0,1079.0,1092.0,1091.0,1350.0
Álvaro Sánchez,2000685713,701.0,896.0,964.0,908.0,1003.0,983.0,1088.0,1118.0,1092.0,1235.0
Francesco Zamuner,2000626880,806.0,975.0,1137.0,949.0,1104.0,983.0,1148.0,1095.0,1115.0,1267.0
Roberto van Brakel,2000572868,691.0,928.0,996.0,950.0,1035.0,1011.0,1139.0,1154.0,1142.0,1305.0
Mateo Gómez,2000512705,783.0,928.0,1143.0,876.0,998.0,864.0,1000.0,972.0,960.0,1146.0
Felipe,2000510074,783.0,994.0,1138.0,993.0,1091.0,1033.0,1155.0,1170.0,1140.0,1381.0
David Krecek,2000569970,809.0,992.0,1189.0,942.0,1088.0,927.0,1097.0,1055.0,1051.0,1217.0
Agustín Agirre,2000439259,839.0,1023.0,1231.0,975.0,1150.0,978.0,1172.0,1094.0,1111.0,1270.0
Kian Van Den Bergh,2000632259,694.0,908.0,981.0,930.0,1023.0,993.0,1092.0,1141.0,1107.0,1265.0
Agustín Kranevitter,2000612966,709.0,758.0,905.0,711.0,838.0,704.0,859.0,771.0,814.0,892.0
Antonio Navarro,2000571902,850.0,967.0,1085.0,939.0,1037.0,942.0,1063.0,1073.0,1055.0,1151.0
Buster Juul Vibe,2000566892,722.0,926.0,1024.0,939.0,1023.0,999.0,1106.0,1152.0,1129.0,1336.0
Lukas Chrenko,2000662685,805.0,1003.0,1202.0,963.0,1142.0,965.0,1127.0,1089.0,1086.0,1251.0
Matt Bonfield,2000567798,814.0,954.0,1120.0,910.0,1034.0,909.0,1053.0,1028.0,1019.0,1131.0
Stefán Þór Jónsson,2000531873,757.0,933.0,1147.0,883.0,1043.0,867.0,1027.0,971.0,969.0,1127.0
Raffaele Russo,2000324450,725.0,783.0,883.0,745.0,851.0,754.0,908.0,845.0,889.0,913.0
Ronald Woudenberg,2000633117,696.0,734.0,884.0,689.0,815.0,691.0,837.0,770.0,800.0,848.0
