Player,UID,GK,DRL,DC,WBRL,DM,MRL,MC,AMRL,AMC,SC
Víctor,2000440738,730,969,1106,971,1109,1018,1167,1139,1150,1357
Scott Diaz,2000706461,824,991,1146,971,1111,1011,1168,1128,1149,1319
Leandro Alves,2000568887,722,885,1003,886,964,944,1033,1087,1068,1336
Özgün Karatepe,2000631119,889,1051,1254,1006,1144,1009,1154,1148,1116,1304
Federico Trinidad,2000561699,662,858,972,861,957,922,1044,1041,1053,1320
Alen Bartolović,2000506471,678,887,989,898,976,953,1070,1094,1088,1316
Saverio van Lopik,2000437951,663,871,989,869,1017,916,1103,1020,1064,1192
Gonzalo Cuadros,2000647507,731,910,1009,916,1043,978,1142,1107,1128,1235
Vicente,2000571659,781,920,1014,917,1001,973,1089,1104,1106,1273
Manuel Bosch,2000514796,776,1012,1173,1011,1131,1033,1208,1172,1189,1359
Jannis Emde,2000504247,780,920,1034,916,1013,968,1098,1093,1098,1257
Harald Klingmann,2000504134,811,990,1190,948,1092,951,1097,1069,1064,1251
Aritz García,2000439255,837,979,1210,913,1076,896,1059,1005,1002,1173
Carl Mooney,2000410920,670,885,979,900,994,957,1079,1092,1091,1350
Álvaro Sánchez,2000685713,701,896,964,908,1003,983,1088,1118,1092,1235
Francesco Zamuner,2000626880,806,975,1137,949,1104,983,1148,1095,1115,1267
Roberto van Brakel,2000572868,691,928,996,950,1035,1011,1139,1154,1142,1305
Mateo Gómez,2000512705,783,928,1143,876,998,864,1000,972,960,1146
Felipe,2000510074,783,994,1138,993,1091,1033,1155,1170,1140,1381
David Krecek,2000569970,809,992,1189,942,1088,927,1097,1055,1051,1217
Agustín Agirre,2000439259,839,1023,1231,975,1150,978,1172,1094,1111,1270
Kian Van Den Bergh,2000632259,694,908,981,930,1023,993,1092,1141,1107,1265
Agustín Kranevitter,2000612966,709,758,905,711,838,704,859,771,814,892
Antonio Navarro,2000571902,850,967,1085,939,1037,942,1063,1073,1055,1151
Buster Juul Vibe,2000566892,722,926,1024,939,1023,999,1106,1152,1129,1336
Lukas Chrenko,2000662685,805,1003,1202,963,1142,965,1127,1089,1086,1251
Matt Bonfield,2000567798,814,954,1120,910,1034,909,1053,1028,1019,1131
Stefán Þór Jónsson,2000531873,757,933,1147,883,1043,867,1027,971,969,1127
Raffaele Russo,2000324450,725,783,883,745,851,754,908,845,889,913
Ronald Woudenberg,2000633117,696,734,884,689,815,691,837,770,800,848
