Player,UID,Defending,Physical,Speed,Vision,Attacking,Technical,Aerial,Mental
Diego Aizpurua,2000193388,6.33,14.0,11.0,7.67,5.67,7.67,7.0,13.33
Asier Grande,2000048078,13.0,14.0,15.5,13.33,8.0,10.67,8.5,13.83
Unai Vencedor,67260207,12.67,15.0,15.0,13.67,11.33,13.67,8.0,14.0
Josema,2000682315,13.33,16.0,12.5,12.33,10.0,13.33,11.5,15.83
Julen Letamendia,2000570277,14.67,14.0,14.0,12.0,10.0,12.0,9.0,15.67
Oihan Sancet,67260204,10.33,14.0,15.0,14.67,14.67,13.67,13.5,12.83
Íñigo Herrera,2000510687,7.33,14.5,16.5,10.67,11.0,14.0,9.5,11.17
Mikel Garai,2000438623,8.0,15.5,13.5,14.33,17.0,17.33,12.0,12.33
Fran Alonso,2000570282,6.67,13.75,16.0,13.67,11.33,14.0,13.5,11.5
Carlos Bidaurrázaga,2000573859,8.67,14.5,14.5,11.0,17.0,13.67,10.0,12.17
Romain Bertrand,2000438620,9.67,15.5,13.0,13.33,15.67,15.0,14.5,13.33
Íñigo Merino,2000442705,12.67,12.25,12.0,12.0,5.67,10.0,13.0,14.67
Javier Karanka,2000193733,6.67,13.25,15.0,15.67,10.0,13.0,9.0,10.5
Javier Arrue,2000438617,3.0,14.5,16.0,12.0,11.33,14.33,14.5,10.17
Aimar Oroz,67276375,8.0,11.75,13.0,14.0,9.33,15.33,6.0,11.83
Oier López,67277836,14.0,13.25,13.0,10.0,8.67,11.0,10.5,13.33
Unai Núñez,67214595,15.0,12.75,12.5,10.67,9.0,9.33,13.5,14.17
Yeray,67192475,14.67,11.5,12.0,11.33,8.67,10.0,13.0,15.0
Ander Guevara,67246381,13.67,12.5,9.0,13.0,10.33,14.0,11.0,13.67
Jon Magunazelaia,2000438619,6.33,12.25,13.0,16.33,12.0,14.0,8.5,12.83
