Player,UID,DLP,Regista,BWM,BBM,CM,AP,Mezzala,Carrilero
Diego Aizpurua,2000193388,12.6,10.6,10.3,10.7,11.5,10.3,10.8,10.9
Asier Grande,2000048078,13.4,12.2,13.5,13.0,13.3,11.8,12.3,13.9
Unai Vencedor,67260207,13.9,13.2,13.3,14.0,14.5,13.7,13.8,14.2
Josema,2000682315,14.1,13.8,13.7,15.0,15.3,13.8,14.9,15.3
Julen Letamendia,2000570277,13.6,13.2,14.5,13.2,13.4,12.9,13.6,14.3
Oihan Sancet,67260204,13.9,13.8,12.1,14.1,14.0,14.3,14.3,13.0
Íñigo Herrera,2000510687,11.7,11.6,10.5,12.0,12.1,13.1,13.5,11.1
Mikel Garai,2000438623,13.7,13.9,11.7,15.2,14.3,15.1,15.8,13.3
Fran Alonso,2000570282,12.7,12.0,10.9,12.8,13.0,13.1,13.4,11.8
Carlos Bidaurrázaga,2000573859,12.1,12.3,11.5,13.5,12.8,14.2,13.9,12.2
Romain Bertrand,2000438620,14.1,13.7,12.3,14.7,14.6,14.0,14.8,13.2
Íñigo Merino,2000442705,12.9,11.4,13.1,12.2,12.7,10.8,10.8,12.7
Javier Karanka,2000193733,10.9,10.4,10.2,12.3,12.3,11.7,12.1,11.1
Javier Arrue,2000438617,10.9,11.2,8.3,11.9,11.6,13.3,13.7,9.5
Aimar Oroz,67276375,13.5,13.3,10.3,13.0,13.5,13.3,13.6,12.3
Oier López,67277836,12.3,11.6,12.5,12.0,12.0,11.7,12.6,12.6
Unai Núñez,67214595,12.5,10.9,14.1,12.3,12.6,10.6,10.6,13.5
Yeray,67192475,13.7,12.5,14.1,13.1,13.4,11.8,10.9,14.2
Ander Guevara,67246381,14.2,13.0,13.3,13.8,14.2,12.9,13.6,13.9
Jon Magunazelaia,2000438619,12.5,11.9,10.6,13.4,13.3,13.3,13.8,12.3
