Player,UID,GK,DRL,DC,WBRL,DM,MRL,MC,AMRL,AMC,SC
Diego Aizpurua,2000193388,856,891,1026,848,964,840,982,928,970,1059
Asier Grande,2000048078,886,1092,1251,1065,1225,1072,1233,1211,1204,1325
Unai Vencedor,67260207,907,1134,1300,1119,1294,1152,1344,1294,1300,1474
Josema,2000682315,949,1167,1364,1121,1333,1145,1374,1278,1305,1464
Julen Letamendia,2000570277,947,1130,1340,1085,1279,1099,1274,1235,1229,1394
Oihan Sancet,67260204,878,1110,1303,1098,1246,1134,1328,1278,1305,1552
Íñigo Herrera,2000510687,774,1013,1108,1031,1123,1100,1212,1253,1214,1399
Mikel Garai,2000438623,837,1104,1265,1115,1259,1182,1358,1334,1334,1642
Fran Alonso,2000570282,810,1031,1158,1034,1142,1096,1247,1247,1236,1441
Carlos Bidaurrázaga,2000573859,824,1065,1202,1067,1193,1141,1281,1288,1266,1535
Romain Bertrand,2000438620,898,1114,1310,1095,1259,1142,1344,1280,1317,1593
Íñigo Merino,2000442705,837,994,1222,943,1096,942,1095,1049,1043,1195
Javier Karanka,2000193733,701,934,1010,959,1046,1024,1141,1167,1131,1293
Javier Arrue,2000438617,751,962,1070,980,1053,1059,1172,1205,1186,1429
Aimar Oroz,67276375,804,992,1102,993,1140,1052,1224,1180,1195,1304
Oier López,67277836,866,1046,1253,997,1181,1005,1175,1130,1139,1289
Unai Núñez,67214595,875,1060,1311,994,1182,984,1179,1100,1116,1302
Yeray,67192475,879,1069,1307,1013,1191,1019,1197,1126,1125,1296
Ander Guevara,67246381,823,1028,1238,984,1200,1012,1243,1115,1163,1314
Jon Magunazelaia,2000438619,753,958,1056,967,1101,1033,1200,1163,1174,1339
