Player,UID,DM,AM,BWM,HB,SV,RGA
Diego Aizpurua,2000193388,10.2,9.4,9.4,10.3,9.8,10.7
Asier Grande,2000048078,13.8,13.6,13.6,13.5,13.1,12.7
Unai Vencedor,67260207,13.7,13.9,13.9,13.3,14.3,13.3
Josema,2000682315,14.9,14.6,14.6,13.7,14.2,13.8
Julen Letamendia,2000570277,14.3,13.9,13.9,14.5,14.0,13.4
Oihan Sancet,67260204,12.5,12.3,12.3,12.1,12.9,14.7
Íñigo Herrera,2000510687,10.2,10.3,10.3,10.5,11.1,10.9
Mikel Garai,2000438623,12.7,12.5,12.5,11.7,13.2,14.5
Fran Alonso,2000570282,10.6,10.6,10.6,10.9,11.3,12.3
Carlos Bidaurrázaga,2000573859,11.7,11.6,11.6,11.5,12.5,12.1
Romain Bertrand,2000438620,12.5,12.1,12.1,12.3,12.7,14.3
Íñigo Merino,2000442705,13.3,13.6,13.6,13.1,11.7,11.2
Javier Karanka,2000193733,9.8,10.6,10.6,10.2,10.0,10.3
Javier Arrue,2000438617,8.3,7.8,7.8,8.3,9.0,11.6
Aimar Oroz,67276375,11.2,10.7,10.7,10.3,11.4,13.8
Oier López,67277836,13.2,12.8,12.8,12.5,12.1,12.0
Unai Núñez,67214595,14.2,14.1,14.1,14.1,13.5,11.1
Yeray,67192475,14.2,13.8,13.8,14.1,14.3,12.1
Ander Guevara,67246381,13.6,13.6,13.6,13.3,13.8,13.4
Jon Magunazelaia,2000438619,10.7,11.3,11.3,10.6,11.3,12.6
