Player,UID,AMC,AP,T,SS,AM,EG
Diego Aizpurua,2000193388,10.4,9.2,10.4,9.0,9.6,8.6
Asier Grande,2000048078,12.9,12.7,12.9,11.9,12.4,12.3
Unai Vencedor,67260207,13.6,13.5,13.6,13.4,13.8,13.5
Josema,2000682315,15.0,14.4,15.0,14.1,14.8,14.0
Julen Letamendia,2000570277,12.8,12.4,12.8,12.6,13.0,12.5
Oihan Sancet,67260204,14.2,14.7,14.2,14.0,14.4,14.4
Íñigo Herrera,2000510687,12.3,12.1,12.3,12.6,12.9,13.1
Mikel Garai,2000438623,14.7,15.2,14.7,16.7,16.0,15.8
Fran Alonso,2000570282,13.4,13.6,13.4,13.1,13.4,13.8
Carlos Bidaurrázaga,2000573859,13.1,13.3,13.1,14.4,13.8,13.6
Romain Bertrand,2000438620,14.3,14.7,14.3,15.0,14.7,15.0
Íñigo Merino,2000442705,11.6,11.2,11.6,9.8,10.6,9.9
Javier Karanka,2000193733,12.0,13.0,12.0,11.9,12.1,13.2
Javier Arrue,2000438617,11.9,13.0,11.9,12.6,13.0,13.7
Aimar Oroz,67276375,13.9,14.1,13.9,13.1,13.8,13.8
Oier López,67277836,11.9,11.5,11.9,11.1,11.9,11.2
Unai Núñez,67214595,11.9,11.2,11.9,10.9,11.0,10.1
Yeray,67192475,12.6,11.8,12.6,11.6,11.7,10.7
Ander Guevara,67246381,13.9,13.5,13.9,13.2,13.7,13.2
Jon Magunazelaia,2000438619,13.5,14.2,13.5,13.2,13.7,13.9
