Player,UID,Position
Juan Pérez,67217545,GK
Oriol Valentín,2000632214,D (RC)
Álex López,67257948,"D (C), DM, M (C)"
Antonio Sánchez,2000570832,"D (C), DM, M (C)"
Manuel Jesús Romero,2000194994,D/WB/M/AM (L)
Jonay Prieto,2000197151,M/AM (C)
Xisco Cardona,2000572821,M/AM (C)
Babacar Faye,2000197156,"M (R), AM (RLC)"
Bernardo,2000440739,"M (L), AM (RLC), ST (C)"
Julio Nsi,2000629231,"M (L), AM (RLC), ST (C)"
Cristo,67211796,"M (L), AM (RLC), ST (C)"
Dorian Vera,2000514439,GK
Stefan Bajčetić,2000082598,D (C)
Fran,2000666004,"DM, M (C)"
Elliot,67256517,"M (L), AM (RL), ST (C)"
Lubomir Toth,2000626733,"M (RC), AM (R)"
Jorge Álvarez,2000202563,"WB (R), M (L), AM (RL), ST (C)"
Iván Calero,67176056,"D/WB/M (RL), AM (R)"
Nacho Méndez,67248345,"M (C), AM (LC)"
Javier Alonso,2000443218,"AM (RC), ST (C)"
