Player,UID,FB,WB,IWB,CWB,NNFB
Juan Pérez,67217545.0,9.0,5.55,8.9,6.12,9.2
Oriol Valentín,2000632214.0,12.7,10.3,12.3,10.27,12.7
Álex López,67257948.0,12.7,11.2,13.2,12.0,11.6
Antonio Sánchez,2000570832.0,12.55,10.7,11.65,10.42,12.9
Manuel Jesús Romero,2000194994.0,13.5,12.2,12.2,11.54,13.1
Jonay Prieto,2000197151.0,8.05,8.25,9.1,10.0,8.25
Xisco Cardona,2000572821.0,10.4,10.1,11.35,11.38,10.55
Babacar Faye,2000197156.0,10.6,10.8,11.3,11.54,9.8
Bernardo,2000440739.0,8.65,8.85,7.95,9.5,7.05
Julio Nsi,2000629231.0,11.2,11.55,10.5,12.15,10.25
Cristo,67211796.0,8.8,10.1,9.1,11.15,7.2
Dorian Vera,2000514439.0,5.75,3.6,5.45,4.0,5.65
Stefan Bajčetić,2000082598.0,11.7,10.6,10.9,10.08,11.6
Fran,2000666004.0,11.6,10.7,11.45,11.15,12.75
Elliot,67256517.0,9.8,10.0,9.5,10.23,8.3
Lubomir Toth,2000626733.0,10.4,11.2,10.3,11.77,9.7
Jorge Álvarez,2000202563.0,8.6,8.2,7.0,8.85,8.2
Iván Calero,67176056.0,11.3,10.9,12.2,11.38,10.5
Nacho Méndez,67248345.0,10.4,10.7,11.5,11.77,10.4
Javier Alonso,2000443218.0,7.75,8.65,7.4,9.35,6.7
