Player,UID,FB,WB,IWB,CWB,NNFB
Diego Aizpurua,2000193388,9.7,6.7,9.7,7.69,9.7
Asier Grande,2000048078,14.4,12.8,13.2,12.54,13.2
Unai Vencedor,67260207,14.0,12.9,14.2,13.38,13.1
Josema,2000682315,14.3,13.1,14.7,13.31,13.4
Julen Letamendia,2000570277,14.4,13.0,14.0,12.77,14.6
Oihan Sancet,67260204,12.6,12.5,13.0,13.0,11.9
Íñigo Herrera,2000510687,11.5,12.2,11.0,12.62,10.2
Mikel Garai,2000438623,12.4,13.0,12.7,13.77,11.5
Fran Alonso,2000570282,11.5,11.6,11.3,12.38,10.3
Carlos Bidaurrázaga,2000573859,12.3,13.0,11.7,12.92,11.3
Romain Bertrand,2000438620,12.0,12.1,12.6,12.85,11.9
Íñigo Merino,2000442705,12.8,10.5,11.7,10.69,12.6
Javier Karanka,2000193733,10.7,11.6,9.8,12.08,8.9
Javier Arrue,2000438617,8.9,10.3,8.8,11.31,7.8
Aimar Oroz,67276375,11.1,11.1,11.9,12.15,10.0
Oier López,67277836,13.2,12.2,12.3,11.62,12.6
Unai Núñez,67214595,13.9,11.5,13.1,11.38,14.3
Yeray,67192475,14.0,12.0,13.7,12.23,14.4
Ander Guevara,67246381,12.9,11.5,14.0,12.31,13.4
Jon Magunazelaia,2000438619,11.1,10.7,11.2,11.62,9.4
