Player,UID,GK,DRL,DC,WBRL,DM,MRL,MC,AMRL,AMC,SC
Sergi Pascual,2000196434,942,1177,1408,1140,1345,1171,1397,1304,1346,1565
António Silva,83320135,941,1121,1389,1062,1233,1044,1233,1174,1189,1360
David Carmo,83111598,866,1070,1310,1030,1193,1039,1224,1164,1171,1394
Mikel Oyarzábal,67220143,911,1155,1345,1141,1328,1198,1406,1335,1360,1589
Gaetano Oristanio,43425611,835,1051,1183,1056,1202,1128,1290,1265,1282,1482
Adam Hlozek,31041522,806,1006,1147,1004,1100,1058,1173,1209,1183,1450
Scott Diaz,2000706461,824,991,1146,971,1111,1011,1168,1128,1149,1319
John Bueno,2000419425,887,1145,1255,1156,1317,1226,1415,1377,1383,1575
Luka Bransteter,2000054638,882,1054,1194,1042,1158,1104,1241,1251,1254,1524
William Saliba,49039004,940,1158,1395,1114,1280,1127,1305,1265,1262,1486
Tibo De Vos,2000663034,804,1025,1132,1030,1135,1085,1206,1239,1221,1438
Özgün Karatepe,2000631119,889,1051,1254,1006,1144,1009,1154,1148,1116,1304
Ignacio Vallina,2000570634,954,1185,1412,1149,1344,1177,1409,1314,1345,1512
Alen Bartolović,2000506471,678,887,989,898,976,953,1070,1094,1088,1316
Paweł Brzyski,2000433744,924,1102,1293,1073,1253,1111,1306,1243,1278,1481
Ayrton Tallura,2000274550,785,1020,1113,1038,1177,1104,1299,1247,1270,1406
Renato Pereira,2000190646,890,1073,1272,1037,1218,1055,1262,1176,1207,1354
José Gragera,67263880,830,1054,1266,1017,1192,1041,1234,1161,1182,1383
Álex Remiro,67183918,806,867,1019,834,952,843,1001,930,967,1067
Gabriel Martinelli,19351309,875,1067,1206,1068,1186,1137,1284,1290,1284,1534
Piotr Jabłoński,2000623979,822,1063,1185,1057,1189,1080,1239,1230,1200,1335
Pablo,2000572050,780,1040,1176,1055,1170,1105,1249,1261,1241,1448
Vicente,2000571659,781,920,1014,917,1001,973,1089,1104,1106,1273
Matthias Hasa,2000568032,726,974,1064,997,1112,1067,1215,1219,1205,1374
Manuel Bosch,2000514796,776,1012,1173,1011,1131,1033,1208,1172,1189,1359
Harald Klingmann,2000504134,811,990,1190,948,1092,951,1097,1069,1064,1251
Aritz García,2000439255,837,979,1210,913,1076,896,1059,1005,1002,1173
John Damiano,2000435431,916,1084,1255,1041,1209,1035,1222,1161,1166,1272
Kai Ocaña,2000194470,866,1047,1174,1043,1137,1096,1225,1245,1214,1392
Denis Zakaria,98034601,874,1102,1306,1068,1241,1084,1276,1223,1229,1429
Robin Le Normand,48037162,892,1102,1360,1050,1232,1042,1236,1166,1172,1378
Brandon Williams,28115834,871,1076,1256,1060,1182,1082,1217,1227,1188,1410
Francesco Zamuner,2000626880,806,975,1137,949,1104,983,1148,1095,1115,1267
Felipe,2000510074,783,994,1138,993,1091,1033,1155,1170,1140,1381
Lukas Mohr,2000432897,889,1097,1325,1052,1218,1047,1208,1182,1180,1363
Kim Christian Høyenhall,2000182998,769,840,990,808,916,800,945,891,915,1009
Koldo Valencia,2000663358,745,918,990,917,1023,972,1092,1108,1089,1234
Souza,2000607666,938,1180,1414,1128,1323,1134,1330,1270,1281,1473
Agustín Kranevitter,2000612966,709,758,905,711,838,704,859,771,814,892
Antonio Navarro,2000571902,850,967,1085,939,1037,942,1063,1073,1055,1151
Stefán Þór Jónsson,2000531873,757,933,1147,883,1043,867,1027,971,969,1127
Ronald Woudenberg,2000633117,696,734,884,689,815,691,837,770,800,848
