Player,UID,WM,W,DW,IW,IF,WG
Ramiro Macagno,14157119.0,10.25,12.45,12.65,12.6,10.85,12.75
Eduardo Sarriegi,2000438820.0,16.1,16.0,17.6,15.9,14.7,14.5
Omar Rekik,91187786.0,11.9,10.6,12.5,12.5,11.7,10.83
Benjamín Kuscevic,75032824.0,13.4,13.15,15.75,13.8,13.3,13.21
Pablo Pérez,2000014927.0,16.95,19.35,15.4,18.7,17.8,17.46
Fabio Blanco,2000034357.0,16.2,18.2,14.15,17.15,15.9,16.17
Gavi,2000049413.0,12.0,13.2,10.0,13.8,13.5,12.33
Valentín Delmás,2000192672.0,17.3,17.65,17.0,19.1,17.85,16.46
Alexis,2000438631.0,16.95,18.65,13.9,18.05,16.7,17.04
Alfonso Miranda,2000629593.0,16.45,16.8,15.7,18.85,18.35,15.25
Atanas Yordanov,2000215422.0,15.2,18.0,13.8,18.15,19.15,16.83
Jose Carlos,2000438639.0,16.7,18.6,15.8,18.75,17.6,16.58
Martín Martínez,2000439252.0,15.7,17.5,13.55,16.35,15.5,16.5
Jairo,2000737759.0,6.3,7.4,7.7,8.2,7.0,7.17
Adrian Molina,2000570287.0,16.6,17.15,14.7,16.8,16.4,16.12
Oumar Sangaré,2000629589.0,15.3,15.0,14.6,16.4,15.75,14.96
Mujaid Sadick,67249928.0,15.1,15.5,16.2,15.95,15.05,14.83
Giovanni Cabrera,2000439549.0,11.65,13.6,10.7,13.0,13.0,13.17
Orel Mangala,18087973.0,17.15,19.05,17.85,17.9,17.5,18.25
Ignatius Ganago,49045927.0,16.15,17.8,15.75,17.0,18.15,16.5
Dragan Rosić,62167554.0,10.4,11.25,12.4,12.05,10.8,11.88
Franjo Lazar,2000028271.0,14.2,14.65,14.3,15.85,15.45,13.42
Txus Alba,2000048420.0,15.8,16.05,13.95,17.25,16.5,14.54
Eiður Gauti Sigurpálsson,2000355767.0,12.05,15.55,8.95,12.7,12.05,15.75
Abel Angulo,2000438635.0,17.95,15.35,17.8,19.2,18.15,14.29
Marc Trives,2000439546.0,15.8,16.85,14.1,17.05,17.3,16.12
Friday Opara,2000442249.0,13.8,14.65,14.9,16.55,15.7,13.71
Kostyantyn Vivcharenko,71113673.0,18.5,19.85,17.25,17.15,17.4,18.12
Talla Mendy,2000510695.0,13.75,15.65,14.55,13.35,13.25,14.25
Joselito,2000510697.0,14.85,15.7,16.1,13.75,13.4,15.0
