Player,UID,GK,DRL,DC,WBRL,DM,MRL,MC,AMRL,AMC,SC
Ramiro Macagno,14157119.0,1103.5,1180.0,1396.5,1119.0,1287.5,1122.0,1320.5,1261.5,1292.0,1441.5
Eduardo Sarriegi,2000438820.0,1141.5,1333.0,1529.5,1300.5,1493.5,1337.5,1524.5,1501.5,1475.0,1622.0
Omar Rekik,91187786.0,882.0,1071.0,1277.0,1031.0,1216.0,1055.0,1245.0,1177.0,1199.0,1360.0
Benjamín Kuscevic,75032824.0,1057.0,1219.5,1465.0,1152.5,1351.5,1164.0,1351.5,1293.0,1287.5,1472.5
Pablo Pérez,2000014927.0,1129.5,1405.5,1537.0,1426.0,1579.5,1498.5,1685.0,1718.5,1692.5,1904.0
Fabio Blanco,2000034357.0,979.5,1229.0,1318.5,1261.0,1374.5,1349.0,1499.5,1524.0,1483.5,1667.5
Gavi,2000049413.0,819.0,1008.0,1111.0,1015.0,1142.0,1086.0,1232.0,1226.0,1236.0,1418.0
Valentín Delmás,2000192672.0,1108.5,1382.5,1548.5,1361.0,1580.0,1426.0,1669.0,1601.0,1618.5,1764.0
Alexis,2000438631.0,986.5,1268.5,1389.0,1290.5,1430.0,1382.0,1542.5,1563.0,1534.0,1753.5
Alfonso Miranda,2000629593.0,1043.0,1347.0,1522.5,1337.5,1557.5,1381.5,1628.5,1543.5,1591.0,1763.0
Atanas Yordanov,2000215422.0,1055.5,1301.0,1455.0,1313.5,1481.0,1399.0,1592.0,1566.5,1592.5,1893.0
Jose Carlos,2000438639.0,1125.0,1365.5,1563.0,1339.5,1553.5,1392.0,1634.5,1570.0,1579.0,1751.0
Martín Martínez,2000439252.0,990.0,1195.5,1342.5,1187.0,1344.0,1260.0,1437.0,1410.0,1412.5,1623.0
Jairo,2000737759.0,756.0,776.0,893.0,737.0,845.0,754.0,882.0,843.0,870.0,904.0
Adrian Molina,2000570287.0,991.5,1289.0,1428.5,1290.5,1455.0,1359.0,1531.5,1524.0,1504.5,1673.0
Oumar Sangaré,2000629589.0,1115.5,1337.0,1557.5,1309.5,1485.5,1362.0,1554.0,1530.0,1537.0,1771.5
Mujaid Sadick,67249928.0,1159.5,1387.5,1623.5,1344.0,1553.5,1357.5,1593.0,1536.5,1538.5,1781.0
Giovanni Cabrera,2000439549.0,826.5,988.0,1140.5,981.0,1086.0,1025.5,1160.0,1167.5,1151.0,1401.5
Orel Mangala,18087973.0,1205.5,1468.5,1697.0,1447.0,1616.0,1479.5,1686.0,1689.5,1656.5,1927.0
Ignatius Ganago,49045927.0,1038.5,1309.0,1491.5,1300.5,1471.0,1358.0,1556.5,1514.0,1515.5,1800.0
Dragan Rosić,62167554.0,1052.5,1128.5,1341.5,1066.5,1216.5,1055.5,1249.0,1180.0,1210.0,1371.0
Franjo Lazar,2000028271.0,981.0,1255.0,1412.5,1247.5,1435.5,1284.0,1496.5,1469.0,1475.5,1648.5
Txus Alba,2000048420.0,988.5,1198.0,1315.5,1203.5,1391.5,1296.5,1493.0,1427.5,1466.0,1641.0
Eiður Gauti Sigurpálsson,2000355767.0,520.5,925.0,978.5,1010.5,1021.0,1069.5,1155.5,1286.5,1205.0,1392.0
Abel Angulo,2000438635.0,1052.5,1356.5,1587.0,1308.0,1612.0,1332.0,1640.0,1464.5,1543.0,1695.0
Marc Trives,2000439546.0,912.0,1174.5,1341.0,1172.0,1347.5,1240.0,1466.0,1386.0,1428.0,1723.0
Friday Opara,2000442249.0,1169.0,1330.5,1534.0,1290.5,1487.5,1316.0,1531.0,1471.0,1488.5,1632.5
Kostyantyn Vivcharenko,71113673.0,1179.0,1391.5,1536.0,1368.0,1506.5,1414.5,1568.0,1610.5,1543.0,1776.5
Talla Mendy,2000510695.0,1198.0,1346.0,1530.5,1302.5,1444.0,1304.0,1476.5,1477.5,1454.0,1581.0
Joselito,2000510697.0,1177.5,1348.5,1536.0,1298.5,1432.0,1308.5,1443.0,1476.0,1422.0,1618.5
