Player,UID,DM,AM,BWM,HB,SV,RGA
Ramiro Macagno,14157119.0,14.6,14.85,14.85,14.75,13.25,14.9
Eduardo Sarriegi,2000438820.0,17.85,18.25,18.25,18.55,16.3,15.15
Omar Rekik,91187786.0,12.5,12.0,12.0,11.9,13.4,13.1
Benjamín Kuscevic,75032824.0,16.45,16.5,16.5,17.35,15.4,13.5
Pablo Pérez,2000014927.0,16.1,16.2,16.2,15.95,15.05,18.0
Fabio Blanco,2000034357.0,12.85,13.05,13.05,13.15,14.25,16.2
Gavi,2000049413.0,10.0,9.6,9.6,9.7,10.7,13.6
Valentín Delmás,2000192672.0,17.35,17.2,17.2,16.95,16.55,17.85
Alexis,2000438631.0,13.45,13.1,13.1,12.5,13.75,15.95
Alfonso Miranda,2000629593.0,16.3,15.4,15.4,14.55,16.1,18.45
Atanas Yordanov,2000215422.0,14.05,13.45,13.45,14.5,14.75,17.0
Jose Carlos,2000438639.0,16.8,15.9,15.9,15.9,16.4,18.5
Martín Martínez,2000439252.0,13.7,13.75,13.75,14.3,13.45,15.25
Jairo,2000737759.0,8.6,8.2,8.2,9.2,7.9,8.7
Adrian Molina,2000570287.0,14.4,13.95,13.95,13.85,14.3,14.55
Oumar Sangaré,2000629589.0,14.95,14.7,14.7,14.3,14.9,15.0
Mujaid Sadick,67249928.0,18.15,18.65,18.65,18.65,17.2,15.6
Giovanni Cabrera,2000439549.0,11.8,12.0,12.0,11.5,10.9,11.75
Orel Mangala,18087973.0,18.4,19.1,19.1,19.15,17.9,16.1
Ignatius Ganago,49045927.0,16.0,15.55,15.55,14.95,15.7,16.0
Dragan Rosić,62167554.0,14.1,14.2,14.2,15.65,12.75,13.3
Franjo Lazar,2000028271.0,15.2,14.95,14.95,15.05,15.2,13.95
Txus Alba,2000048420.0,12.95,13.05,13.05,13.35,14.1,17.25
Eiður Gauti Sigurpálsson,2000355767.0,7.75,8.8,8.8,9.75,8.55,8.75
Abel Angulo,2000438635.0,18.95,18.0,18.0,17.0,18.55,18.45
Marc Trives,2000439546.0,14.4,14.45,14.45,14.55,15.05,15.2
Friday Opara,2000442249.0,16.0,14.95,14.95,16.5,15.3,17.0
Kostyantyn Vivcharenko,71113673.0,17.5,17.8,17.8,17.65,16.25,15.55
Talla Mendy,2000510695.0,15.7,14.95,14.95,16.5,14.15,13.5
Joselito,2000510697.0,17.05,16.95,16.95,17.55,14.5,13.1
