Player,UID,AMC,AP,T,SS,AM,EG
Ramiro Macagno,14157119.0,14.05,13.9,14.05,10.85,12.6,12.05
Eduardo Sarriegi,2000438820.0,16.7,15.35,16.7,14.7,15.9,14.0
Omar Rekik,91187786.0,12.9,11.9,12.9,11.7,12.5,11.4
Benjamín Kuscevic,75032824.0,14.5,13.45,14.5,13.3,13.8,12.65
Pablo Pérez,2000014927.0,18.45,18.45,18.45,17.8,18.7,18.45
Fabio Blanco,2000034357.0,16.2,16.8,16.2,15.9,17.15,18.25
Gavi,2000049413.0,13.0,13.8,13.0,13.5,13.8,14.3
Valentín Delmás,2000192672.0,19.45,18.85,19.45,17.85,19.1,18.6
Alexis,2000438631.0,16.45,17.05,16.45,16.7,18.05,18.4
Alfonso Miranda,2000629593.0,18.0,18.6,18.0,18.35,18.85,18.7
Atanas Yordanov,2000215422.0,16.85,17.75,16.85,19.15,18.15,19.3
Jose Carlos,2000438639.0,17.9,18.5,17.9,17.6,18.75,19.45
Martín Martínez,2000439252.0,16.15,16.75,16.15,15.5,16.35,17.45
Jairo,2000737759.0,9.2,8.1,9.2,7.0,8.2,7.4
Adrian Molina,2000570287.0,16.25,17.15,16.25,16.4,16.8,17.4
Oumar Sangaré,2000629589.0,16.4,15.2,16.4,15.75,16.4,14.6
Mujaid Sadick,67249928.0,16.5,15.75,16.5,15.05,15.95,14.85
Giovanni Cabrera,2000439549.0,12.3,12.7,12.3,13.0,13.0,12.3
Orel Mangala,18087973.0,17.95,17.2,17.95,17.5,17.9,17.65
Ignatius Ganago,49045927.0,16.9,17.2,16.9,18.15,17.0,17.85
Dragan Rosić,62167554.0,13.65,12.75,13.65,10.8,12.05,11.05
Franjo Lazar,2000028271.0,15.05,14.8,15.05,15.45,15.85,13.9
Txus Alba,2000048420.0,16.7,17.6,16.7,16.5,17.25,17.75
Eiður Gauti Sigurpálsson,2000355767.0,11.7,12.15,11.7,12.05,12.7,15.85
Abel Angulo,2000438635.0,18.8,18.95,18.8,18.15,19.2,17.6
Marc Trives,2000439546.0,16.7,17.0,16.7,17.3,17.05,17.25
Friday Opara,2000442249.0,16.3,16.15,16.3,15.7,16.55,15.75
Kostyantyn Vivcharenko,71113673.0,17.95,17.65,17.95,17.4,17.15,17.1
Talla Mendy,2000510695.0,14.9,14.3,14.9,13.25,13.35,13.5
Joselito,2000510697.0,15.2,14.15,15.2,13.4,13.75,12.45
