Player,UID,WM,W,DW,IW,IF,WG
Javi Izquierdo,67288498.0,9.8,8.95,11.35,12.0,10.65,9.75
Víctor Gómez,67257950.0,14.75,16.6,14.55,14.7,13.65,14.83
Rasmus Lauritsen,27069979.0,14.2,14.5,16.5,14.55,14.1,14.58
Gabriel Torres,2000438016.0,10.1,10.8,12.0,9.4,9.1,11.25
Braian Cufré,14131295.0,15.2,16.2,14.75,16.05,14.85,14.67
Ifeanyi Mathew,53141633.0,15.1,15.5,14.75,15.8,15.95,14.42
Ryan Johansson,90086790.0,14.5,15.35,14.6,15.05,14.3,14.38
Che Nunnely,37055838.0,13.1,14.7,11.85,13.25,13.25,13.5
Àlex Collado,67246435.0,15.65,16.65,13.05,16.6,15.45,15.04
Freddy Vargas,86061304.0,15.3,15.85,15.1,15.0,14.6,14.71
Ángel Cabello,2000438822.0,14.05,15.1,13.65,14.85,14.65,14.67
Olaus Skarsem,89051875.0,14.1,15.05,12.25,16.15,15.55,13.21
Aarón Escandell,67192427.0,8.7,8.5,11.95,10.15,8.9,9.04
Javier Pascua,2000573866.0,14.15,14.9,10.95,16.0,16.65,13.58
Álvaro Santamaría,67298126.0,15.05,17.65,12.45,16.45,16.7,17.5
Óscar Clemente,67259874.0,17.7,16.35,16.95,18.8,18.6,15.04
Rodrigo Zalazar,67271371.0,15.1,16.2,16.25,16.1,16.55,15.67
Nils Mortimer,67265795.0,14.15,16.1,11.2,16.8,16.95,15.17
Michel Vlap,215665.0,15.45,15.6,14.25,17.15,16.95,15.08
John McGinn,61043070.0,17.7,18.25,17.7,18.7,19.05,17.0
Patric,67100019.0,16.85,15.35,17.05,18.05,16.4,14.71
Sergi Rosanas,67265793.0,16.45,17.3,15.6,16.3,15.7,15.67
Pep Chavarría,67277695.0,16.6,16.55,16.4,15.9,14.4,15.83
Fran López,67279609.0,16.1,15.35,13.75,18.55,19.35,14.46
Lluís Recasens,67295940.0,14.05,13.05,15.9,13.6,13.05,13.54
Miguel,2000192899.0,15.95,19.3,13.05,17.35,16.7,18.08
Gonzalo Maroni,14137723.0,13.35,13.55,12.4,13.65,13.25,12.29
Dominik Kruzliak,63026929.0,14.45,12.75,17.0,14.15,15.25,12.79
Sebastián Cabrera,75036622.0,17.55,17.85,17.25,18.05,17.65,16.46
Amarildo Gojani,2000505067.0,12.0,13.1,9.4,14.0,13.7,12.42
Gianluca Bellucci,2000508898.0,12.1,12.0,11.0,12.9,12.8,11.42
Cheick Ibra Koné,2000631747.0,14.65,16.35,11.95,16.25,15.65,15.08
