Player,UID,Defending,Physical,Speed,Vision,Attacking,Technical,Aerial,Mental
Javi Izquierdo,67288498.0,7.83,15.25,13.25,11.67,7.17,8.5,13.75,16.08
Víctor Gómez,67257950.0,12.0,16.5,14.5,15.33,14.67,13.5,6.0,13.75
Rasmus Lauritsen,27069979.0,13.33,17.38,15.75,13.5,13.67,9.17,15.0,20.17
Gabriel Torres,2000438016.0,15.0,13.25,12.0,9.67,8.0,8.33,13.5,13.33
Braian Cufré,14131295.0,11.0,16.0,13.5,17.33,15.17,15.83,7.0,16.67
Ifeanyi Mathew,53141633.0,13.17,15.38,16.0,14.33,17.83,15.5,9.0,17.5
Ryan Johansson,90086790.0,12.0,16.88,12.0,15.5,15.17,15.33,9.5,14.75
Che Nunnely,37055838.0,6.67,17.0,16.5,12.83,13.17,13.67,7.5,16.17
Àlex Collado,67246435.0,8.5,16.12,13.0,17.83,16.33,16.67,7.0,17.42
Freddy Vargas,86061304.0,10.67,18.12,13.0,15.33,13.17,13.67,9.0,18.33
Ángel Cabello,2000438822.0,10.83,18.38,13.0,16.67,16.83,15.0,12.5,16.67
Olaus Skarsem,89051875.0,8.5,13.12,13.0,18.83,18.67,17.67,4.0,15.5
Aarón Escandell,67192427.0,8.83,13.88,10.25,10.17,7.33,4.17,11.75,16.42
Javier Pascua,2000573866.0,6.0,17.12,14.5,16.67,18.5,15.67,7.0,14.75
Álvaro Santamaría,67298126.0,9.33,19.5,19.25,15.0,16.0,21.0,16.75,16.17
Óscar Clemente,67259874.0,14.83,15.0,13.5,18.0,19.0,16.83,8.5,18.67
Rodrigo Zalazar,67271371.0,13.5,16.25,16.25,13.17,16.0,15.67,13.0,15.92
Nils Mortimer,67265795.0,5.5,16.75,14.5,16.33,20.17,18.33,10.5,15.75
Michel Vlap,215665.0,8.33,13.25,10.5,19.0,19.5,14.83,12.5,18.17
John McGinn,61043070.0,15.83,16.62,16.25,15.5,18.5,18.5,10.75,18.92
Patric,67100019.0,14.0,12.5,10.0,20.33,14.67,17.0,11.5,21.17
Sergi Rosanas,67265793.0,12.0,17.62,21.0,17.0,13.33,16.5,7.5,17.0
Pep Chavarría,67277695.0,16.17,16.88,21.25,15.83,12.83,17.0,12.25,14.83
Fran López,67279609.0,11.17,15.38,13.0,15.0,18.0,20.5,10.0,17.0
Lluís Recasens,67295940.0,20.83,15.38,16.0,11.33,9.0,12.33,16.0,14.83
Miguel,2000192899.0,6.67,19.62,22.75,18.0,15.17,17.67,12.0,16.67
Gonzalo Maroni,14137723.0,7.33,13.75,12.0,14.17,14.5,13.33,6.0,15.17
Dominik Kruzliak,63026929.0,14.0,13.5,10.5,14.5,13.0,9.33,13.0,20.0
Sebastián Cabrera,75036622.0,12.33,18.38,19.5,18.0,12.5,17.33,9.5,18.92
Amarildo Gojani,2000505067.0,6.0,14.25,13.5,13.0,13.33,15.67,9.0,11.33
Gianluca Bellucci,2000508898.0,10.0,13.0,12.5,10.67,11.0,14.33,8.5,11.67
Cheick Ibra Koné,2000631747.0,6.5,12.88,19.5,15.67,12.67,18.0,8.75,13.0
