Player,UID,GK,DRL,DC,WBRL,DM,MRL,MC,AMRL,AMC,SC
Javi Izquierdo,67288498.0,956.5,1052.0,1283.5,996.0,1183.5,1005.0,1215.5,1110.0,1155.0,1310.5
Víctor Gómez,67257950.0,963.0,1182.0,1288.5,1184.0,1304.5,1228.5,1374.0,1379.5,1365.5,1509.5
Rasmus Lauritsen,27069979.0,1164.0,1328.5,1577.0,1262.5,1440.5,1271.0,1470.5,1421.0,1423.0,1656.0
Gabriel Torres,2000438016.0,827.0,986.0,1223.0,920.0,1082.0,902.0,1057.0,1017.0,1012.0,1216.0
Braian Cufré,14131295.0,1001.5,1212.0,1317.5,1208.5,1360.0,1266.0,1455.0,1417.0,1435.0,1578.0
Ifeanyi Mathew,53141633.0,1071.5,1274.0,1465.5,1248.5,1433.5,1304.5,1491.5,1461.5,1465.0,1707.5
Ryan Johansson,90086790.0,949.0,1185.0,1335.0,1176.0,1338.5,1231.5,1408.5,1370.5,1379.0,1569.5
Che Nunnely,37055838.0,1012.0,1164.0,1265.0,1154.0,1261.0,1233.0,1321.0,1387.0,1336.0,1546.0
Àlex Collado,67246435.0,1013.0,1209.0,1304.5,1203.5,1353.5,1292.0,1446.5,1444.0,1446.5,1613.0
Freddy Vargas,86061304.0,1069.0,1254.0,1408.0,1230.0,1384.5,1281.5,1425.5,1423.5,1397.5,1587.0
Ángel Cabello,2000438822.0,1093.5,1253.0,1479.0,1213.5,1396.0,1275.5,1472.0,1412.5,1434.5,1692.5
Olaus Skarsem,89051875.0,896.0,1091.5,1164.5,1107.0,1267.0,1207.0,1386.0,1342.0,1380.0,1538.5
Aarón Escandell,67192427.0,1002.5,1012.5,1240.0,936.5,1113.5,922.0,1112.5,1002.0,1054.5,1189.0
Javier Pascua,2000573866.0,926.0,1129.5,1225.0,1145.5,1299.5,1234.0,1422.0,1371.5,1422.0,1635.0
Álvaro Santamaría,67298126.0,1075.5,1319.0,1519.0,1313.0,1450.5,1377.5,1551.0,1570.5,1554.0,1902.5
Óscar Clemente,67259874.0,1083.0,1335.5,1519.5,1310.5,1562.0,1385.0,1647.5,1523.5,1576.5,1770.0
Rodrigo Zalazar,67271371.0,1074.0,1326.5,1536.5,1305.0,1460.0,1359.0,1543.0,1522.0,1511.5,1770.5
Nils Mortimer,67265795.0,1003.0,1180.5,1307.0,1192.0,1340.0,1299.0,1444.5,1456.5,1465.0,1766.0
Michel Vlap,215665.0,962.5,1144.5,1302.5,1134.0,1330.5,1221.5,1449.5,1330.5,1399.5,1630.0
John McGinn,61043070.0,1127.5,1400.0,1616.5,1383.5,1602.5,1450.5,1679.5,1617.5,1629.5,1871.0
Patric,67100019.0,1049.0,1222.0,1459.5,1179.0,1426.0,1228.5,1494.0,1335.5,1378.0,1580.0
Sergi Rosanas,67265793.0,1148.0,1377.0,1530.5,1374.5,1541.5,1440.0,1605.5,1628.5,1588.0,1784.0
Pep Chavarría,67277695.0,1116.0,1397.5,1608.0,1378.5,1528.5,1415.0,1591.5,1610.0,1552.0,1763.0
Fran López,67279609.0,1040.0,1275.5,1461.0,1264.5,1486.5,1356.0,1569.5,1512.5,1543.5,1805.5
Lluís Recasens,67295940.0,1066.5,1309.0,1642.0,1221.5,1450.5,1200.0,1436.0,1350.5,1349.5,1547.0
Miguel,2000192899.0,1129.0,1349.0,1449.0,1367.0,1442.5,1434.0,1578.5,1649.0,1619.5,1838.5
Gonzalo Maroni,14137723.0,912.0,1059.0,1166.0,1054.0,1203.5,1136.0,1263.5,1257.0,1245.5,1424.5
Dominik Kruzliak,63026929.0,1109.5,1218.5,1480.0,1138.5,1379.5,1142.0,1383.0,1227.5,1284.5,1482.5
Sebastián Cabrera,75036622.0,1188.5,1440.5,1611.0,1429.5,1614.0,1491.0,1695.5,1668.0,1646.5,1832.0
Amarildo Gojani,2000505067.0,744.0,973.0,1084.0,992.0,1117.0,1071.0,1224.0,1208.0,1223.0,1424.0
Gianluca Bellucci,2000508898.0,733.0,963.0,1097.0,968.0,1098.0,1013.0,1153.0,1141.0,1134.0,1313.0
Cheick Ibra Koné,2000631747.0,880.0,1136.0,1226.0,1165.5,1274.5,1248.0,1368.5,1442.5,1394.5,1575.5
