Player,UID,FB,WB,IWB,CWB,NNFB
Javi Izquierdo,67288498.0,11.85,7.9,12.55,9.19,12.35
Víctor Gómez,67257950.0,14.7,14.95,13.55,14.31,13.45
Rasmus Lauritsen,27069979.0,17.35,13.85,15.8,13.19,17.35
Gabriel Torres,2000438016.0,13.2,11.4,12.0,10.54,14.1
Braian Cufré,14131295.0,14.7,14.25,14.6,14.42,14.25
Ifeanyi Mathew,53141633.0,15.0,14.7,14.8,14.77,13.75
Ryan Johansson,90086790.0,14.25,13.7,14.35,13.85,13.75
Che Nunnely,37055838.0,12.3,12.0,11.05,12.23,11.95
Àlex Collado,67246435.0,12.65,13.5,13.25,13.69,11.65
Freddy Vargas,86061304.0,14.45,13.55,13.85,13.58,14.45
Ángel Cabello,2000438822.0,13.95,12.25,13.25,12.81,12.15
Olaus Skarsem,89051875.0,12.0,12.35,13.05,13.46,10.4
Aarón Escandell,67192427.0,12.6,8.0,12.1,7.81,13.55
Javier Pascua,2000573866.0,10.8,11.3,11.55,12.92,9.5
Álvaro Santamaría,67298126.0,14.55,14.5,13.15,15.23,13.7
Óscar Clemente,67259874.0,15.95,15.75,17.45,16.38,15.35
Rodrigo Zalazar,67271371.0,16.6,16.15,15.4,15.92,16.8
Nils Mortimer,67265795.0,11.25,12.65,11.9,13.38,10.95
Michel Vlap,215665.0,13.1,12.45,14.3,13.5,13.6
John McGinn,61043070.0,17.75,17.75,17.05,17.69,17.8
Patric,67100019.0,16.05,13.7,17.5,14.81,18.4
Sergi Rosanas,67265793.0,16.2,15.8,15.35,16.04,15.8
Pep Chavarría,67277695.0,17.25,17.0,16.4,17.12,16.1
Fran López,67279609.0,13.35,14.45,14.45,15.46,13.25
Lluís Recasens,67295940.0,17.05,15.75,16.35,15.08,16.1
Miguel,2000192899.0,15.25,15.05,12.4,15.42,12.35
Gonzalo Maroni,14137723.0,11.65,11.25,11.7,11.73,11.4
Dominik Kruzliak,63026929.0,16.7,12.4,15.25,12.69,17.7
Sebastián Cabrera,75036622.0,17.25,16.25,16.85,17.04,16.9
Amarildo Gojani,2000505067.0,9.7,10.7,10.5,11.85,8.4
Gianluca Bellucci,2000508898.0,11.0,11.8,11.1,12.38,10.6
Cheick Ibra Koné,2000631747.0,13.55,13.95,11.6,14.19,10.55
