Player,UID,DLP,Regista,BWM,BBM,CM,AP,Mezzala,Carrilero
Jan Oblak,64016316.0,14.0,11.45,11.05,11.9,12.7,10.85,10.3,12.45
Marc Jurado,2000032704.0,13.2,13.1,12.6,13.6,13.3,13.2,13.7,13.6
Nehuén Pérez,14181374.0,14.1,12.8,15.4,13.2,13.7,12.7,13.0,14.5
Malang Sarr,48036830.0,14.0,13.6,14.1,13.7,13.8,13.7,13.7,14.1
Juan Manuel,2000510085.0,14.5,14.3,13.4,14.8,14.6,14.2,14.7,14.5
Simone Panada,43425634.0,14.0,13.7,12.9,13.9,14.3,13.9,14.5,13.9
Pierre Dwomoh,2000006277.0,13.9,14.1,11.4,13.8,13.7,15.5,15.3,12.6
0,62127037.0,14.5,14.3,14.0,14.8,14.7,14.7,15.3,13.8
Nikola Stanković,2000211075.0,17.3,16.4,13.8,16.9,16.45,18.9,19.35,15.15
João Félix,83169822.0,14.9,15.0,11.4,14.2,13.9,16.3,16.4,12.5
Lorenzo Granelli,2000437491.0,13.9,13.9,12.4,14.5,14.2,14.8,15.7,13.2
Matteo Godfroid,18114989.0,14.2,12.05,11.85,13.2,14.25,12.9,12.7,13.3
Gonzalo Sánchez,2000416515.0,13.8,13.1,14.1,15.1,15.0,13.5,13.9,15.3
Manoel Azambuja,2000410625.0,18.0,18.3,15.75,17.4,17.2,18.25,18.75,17.65
Oğuz Civelek,2000232509.0,17.6,16.55,15.9,17.95,18.15,18.3,19.0,16.6
Thomas Lemar,85093001.0,14.2,14.1,10.7,13.8,14.0,15.1,14.6,12.5
José Giménez,78060464.0,14.8,14.75,14.8,14.15,14.3,14.15,13.15,14.7
Marcos Llorente,67196198.0,20.4,18.5,19.5,19.45,19.8,17.9,17.55,20.05
Dimo Krastev,22081455.0,16.6,15.65,15.75,15.4,15.35,16.2,16.7,15.5
Frank Onyeka,27129125.0,16.5,16.1,17.3,16.6,15.75,16.35,16.55,16.9
Lamine Silva,2000438826.0,18.1,15.3,21.65,18.9,18.7,14.95,17.2,19.7
0,2000495264.0,10.7,10.9,10.2,11.7,11.6,11.9,12.7,10.6
Alexander Villarreal,2000499325.0,16.65,15.9,14.75,17.9,17.5,17.7,19.15,15.65
