Player,UID,CD,BPD,NNCB,Lib
Víctor,2000440738,10.1,11.1,10.1,11.9
Scott Diaz,2000706461,11.0,10.9,11.2,11.9
Leandro Alves,2000568887,7.6,8.1,8.2,7.1
Özgün Karatepe,2000631119,12.9,12.1,12.9,11.3
Federico Trinidad,2000561699,8.6,9.1,8.2,9.4
Alen Bartolović,2000506471,7.7,8.2,7.4,8.6
Saverio van Lopik,2000437951,7.6,9.5,7.7,10.7
Gonzalo Cuadros,2000647507,7.4,8.5,7.3,10.4
Vicente,2000571659,8.1,8.1,8.0,9.2
Manuel Bosch,2000514796,9.7,11.0,9.8,12.1
Jannis Emde,2000504247,9.6,9.0,9.1,9.7
Harald Klingmann,2000504134,12.9,12.0,12.6,11.2
Aritz García,2000439255,13.5,12.0,13.3,10.1
Carl Mooney,2000410920,8.8,9.1,7.8,9.7
Álvaro Sánchez,2000685713,7.7,8.1,7.3,9.3
Francesco Zamuner,2000626880,11.1,11.0,11.4,12.0
Roberto van Brakel,2000572868,7.7,8.7,7.8,10.2
Mateo Gómez,2000512705,12.0,11.2,12.1,9.4
Felipe,2000510074,10.7,10.4,10.4,10.3
David Krecek,2000569970,13.3,11.7,13.4,10.3
Agustín Agirre,2000439259,12.3,12.6,12.6,12.4
Kian Van Den Bergh,2000632259,8.9,8.5,8.2,9.8
Agustín Kranevitter,2000612966,8.8,8.9,9.0,8.3
Antonio Navarro,2000571902,10.5,9.0,10.1,9.8
Buster Juul Vibe,2000566892,8.0,8.6,7.7,9.4
Lukas Chrenko,2000662685,12.5,12.5,12.9,12.2
Matt Bonfield,2000567798,11.3,10.1,11.0,10.3
Stefán Þór Jónsson,2000531873,12.6,11.9,12.9,10.6
Raffaele Russo,2000324450,8.0,6.8,7.9,6.8
Ronald Woudenberg,2000633117,7.5,7.5,7.9,7.4
