Player,UID,GK,DR,DL,DC,WBR,WBL,DM,MR,ML,MC,AMR,AML,AMC,STC
Carles,2000192884,11.88,9.76,9.76,9.59,9.54,9.54,9.28,9.06,9.06,9.14,8.93,8.93,9.26,8.6
Odilon Kossounou,93127195,13.02,12.43,12.43,12.81,12.11,12.11,12.03,11.7,11.7,11.81,11.8,11.8,11.79,11.79
Oriol Busquets,67225653,13.63,13.48,13.48,13.66,13.34,13.34,13.56,13.08,13.08,13.65,13.05,13.05,13.46,12.94
Didier,2000509916,13.65,13.75,13.75,13.52,13.7,13.7,13.47,13.35,13.35,13.27,13.31,13.31,13.27,12.86
Dmytro Smalyukh,2000461897,14.23,13.73,13.73,13.89,13.46,13.46,13.57,12.95,12.95,13.22,12.95,12.95,13.09,12.49
Óliver Pueyo,2000569557,13.81,13.38,13.38,13.08,13.34,13.34,13.55,13.13,13.13,13.78,13.03,13.03,13.46,12.29
John Córdoba,2000416582,11.98,12.61,12.61,12.05,12.9,12.9,12.57,12.98,12.98,12.93,13.13,13.13,13.07,12.63
Luis Vicente,2000438000,14.62,14.27,14.27,13.62,14.32,14.32,14.56,14.08,14.08,14.56,14.11,14.11,14.48,13.41
Samuel Chukwueze,67269484,12.92,13.22,13.22,12.19,13.78,13.78,13.1,14.17,14.17,13.71,14.39,14.39,14.1,13.63
Javi Ontiveros,67211745,11.88,12.13,12.13,10.89,12.7,12.7,12.28,13.33,13.33,12.91,13.4,13.4,13.29,12.59
Mohamed Cisse,2000509917,11.85,11.89,11.89,10.87,12.41,12.41,11.77,12.77,12.77,12.35,12.91,12.91,12.92,13.05
Emrah Ağın,2000244749,12.78,10.8,10.8,10.54,10.52,10.52,10.46,10.09,10.09,10.39,10.02,10.02,10.36,9.62
Gianfranco Giuffrè,2000272929,11.79,11.77,11.77,10.98,12.23,12.23,11.51,12.61,12.61,12.06,12.81,12.81,12.55,12.25
Faustino,2000438001,12.98,13.05,13.05,11.78,13.72,13.72,12.81,14.12,14.12,13.58,14.34,14.34,14.26,14.19
Fernando Niño,67258829,12.13,12.27,12.27,12.13,12.41,12.41,12.07,12.52,12.52,12.36,12.62,12.62,12.62,13.37
Abdul Mumin,27128916,14.08,13.6,13.6,13.99,13.22,13.22,13.32,12.61,12.61,13.04,12.63,12.63,12.85,12.54
Maxence Caqueret,48044737,12.87,12.91,12.91,12.69,12.99,12.99,13.26,12.71,12.71,13.48,12.64,12.64,13.14,12.09
Alfonso Pedraza,67212046,13.03,12.78,12.78,12.64,12.77,12.77,12.69,12.71,12.71,12.66,12.72,12.72,12.66,12.58
Manu Morlanes,67228802,13.15,13.19,13.19,12.97,13.22,13.22,13.44,12.9,12.9,13.38,12.93,12.93,13.3,12.44
Iván Muñoz,67295020,12.92,12.91,12.91,13.06,12.69,12.69,12.58,12.22,12.22,12.2,12.29,12.29,12.18,12.15
Francisco Conceição,83261140,12.18,11.53,11.53,10.47,11.99,11.99,11.54,12.51,12.51,12.19,12.64,12.64,12.55,12.12
Wanderson Bastos,2000410491,13.45,12.72,12.72,12.53,12.59,12.59,12.02,12.06,12.06,11.75,12.22,12.22,11.93,11.49
Yesinguer Vinasco,2000415655,11.85,11.75,11.75,11.02,12.12,12.12,11.71,12.54,12.54,12.46,12.52,12.52,12.77,12.37
José Vicente Muñoz,2000509912,11.87,10.0,10.0,9.82,9.77,9.77,9.7,9.46,9.46,9.68,9.52,9.52,9.66,8.58
Álex,2000509919,11.94,11.29,11.29,10.27,11.6,11.6,10.89,11.9,11.9,11.37,12.24,12.24,11.9,11.29
Andrés Torres,2000628761,12.95,13.07,13.07,12.38,13.49,13.49,13.18,13.75,13.75,13.78,13.81,13.81,14.02,13.38
