Player,UID,GK,DRL,DC,WBRL,DM,MRL,MC,AMRL,AMC,SC
Carles,2000192884.0,1102.0,1150.5,1347.5,1096.5,1235.5,1077.0,1254.0,1188.0,1231.5,1357.5
Odilon Kossounou,93127195.0,1152.0,1346.0,1579.0,1299.0,1459.5,1322.5,1501.0,1501.5,1486.5,1725.0
Oriol Busquets,67225653.0,1172.5,1384.0,1708.5,1321.5,1555.0,1339.5,1587.5,1502.5,1523.0,1779.0
Didier,2000509916.0,887.0,1141.0,1338.0,1110.0,1266.0,1121.0,1287.0,1251.0,1247.0,1440.0
Dmytro Smalyukh,2000461897.0,925.0,1142.5,1378.5,1093.5,1282.0,1094.0,1288.0,1223.0,1239.5,1423.0
Óliver Pueyo,2000569557.0,1245.5,1488.0,1747.5,1442.0,1670.5,1468.0,1745.0,1639.0,1668.5,1840.5
John Córdoba,2000416582.0,1025.0,1362.5,1530.5,1360.0,1567.0,1424.5,1660.0,1589.5,1605.5,1798.0
Luis Vicente,2000438000.0,950.0,1184.0,1348.0,1160.0,1369.0,1183.0,1412.0,1326.0,1361.0,1502.0
Samuel Chukwueze,67269484.0,859.5,1125.0,1271.0,1136.5,1263.5,1198.5,1353.5,1360.5,1337.0,1538.0
Javi Ontiveros,67211745.0,772.0,1007.0,1078.0,1029.0,1154.0,1120.0,1252.0,1260.0,1249.0,1410.0
Mohamed Cisse,2000509917.0,1012.5,1280.0,1381.0,1304.0,1459.0,1402.0,1583.0,1561.5,1587.0,1884.5
Emrah Ağın,2000244749.0,1191.5,1276.0,1481.0,1212.0,1398.5,1204.0,1434.0,1336.5,1384.5,1526.5
Gianfranco Giuffrè,2000272929.0,1007.5,1258.0,1380.0,1276.0,1417.5,1374.5,1532.5,1538.5,1527.5,1735.5
Faustino,2000438001.0,844.0,1083.0,1166.0,1111.0,1204.0,1186.0,1317.0,1348.0,1340.0,1589.0
Fernando Niño,67258829.0,1034.0,1266.0,1486.5,1227.0,1387.0,1259.0,1418.5,1408.0,1394.0,1727.5
Abdul Mumin,27128916.0,915.0,1129.0,1385.0,1071.0,1252.0,1059.0,1265.0,1187.0,1208.0,1405.0
Maxence Caqueret,48044737.0,1173.5,1448.5,1712.0,1419.5,1648.5,1435.5,1722.0,1607.5,1645.0,1835.0
Alfonso Pedraza,67212046.0,1178.0,1445.0,1628.5,1433.5,1623.0,1502.5,1705.5,1687.5,1672.5,1944.5
Manu Morlanes,67228802.0,1202.5,1489.5,1756.0,1454.5,1679.0,1471.5,1723.0,1660.5,1683.0,1902.0
Iván Muñoz,67295020.0,1023.5,1272.0,1459.0,1233.0,1382.0,1251.0,1410.0,1402.0,1389.5,1636.0
Francisco Conceição,83261140.0,1061.0,1250.5,1345.5,1266.5,1438.5,1381.0,1566.5,1536.0,1547.5,1757.5
Wanderson Bastos,2000410491.0,1053.0,1240.5,1389.5,1203.5,1295.5,1203.5,1325.0,1362.5,1318.0,1496.5
Yesinguer Vinasco,2000415655.0,1023.0,1269.0,1393.5,1279.5,1460.0,1383.5,1607.5,1522.0,1580.0,1773.0
José Vicente Muñoz,2000509912.0,1100.5,1173.5,1375.0,1116.5,1287.0,1118.5,1324.0,1260.5,1280.0,1346.5
Álex,2000509919.0,1023.0,1207.0,1294.0,1204.5,1339.0,1290.0,1441.5,1462.0,1442.5,1593.5
Andrés Torres,2000628761.0,842.0,1085.0,1226.0,1093.0,1239.0,1155.0,1337.0,1298.0,1318.0,1499.0
