Player,UID,WM,W,DW,IW,IF,WG
Carles,2000192884.0,9.95,10.0,11.6,12.1,11.55,10.17
Odilon Kossounou,93127195.0,13.35,15.8,14.95,14.45,13.25,15.67
Oriol Busquets,67225653.0,14.9,15.1,16.35,16.3,15.85,14.83
Didier,2000509916.0,12.7,12.5,13.7,12.9,12.5,12.5
Dmytro Smalyukh,2000461897.0,12.3,11.2,13.7,12.9,12.75,11.25
Óliver Pueyo,2000569557.0,16.8,17.05,18.55,19.0,18.65,15.71
John Córdoba,2000416582.0,18.3,19.8,17.1,19.3,18.65,18.58
Luis Vicente,2000438000.0,13.9,13.1,14.1,15.0,14.4,12.0
Samuel Chukwueze,67269484.0,13.8,14.9,13.15,14.8,14.6,14.0
Javi Ontiveros,67211745.0,13.0,14.5,11.8,13.8,13.8,12.92
Mohamed Cisse,2000509917.0,16.7,17.4,14.05,18.45,18.9,15.92
Emrah Ağın,2000244749.0,12.05,11.5,14.7,13.25,11.4,11.54
Gianfranco Giuffrè,2000272929.0,16.85,17.55,13.65,17.5,16.85,16.46
Faustino,2000438001.0,12.6,14.3,10.5,14.5,15.0,13.17
Fernando Niño,67258829.0,15.15,15.1,15.85,15.1,15.6,15.33
Abdul Mumin,27128916.0,11.6,12.0,13.4,12.2,11.4,12.5
Maxence Caqueret,48044737.0,17.2,17.6,18.8,19.4,18.95,16.08
Alfonso Pedraza,67212046.0,18.2,19.15,17.55,18.95,19.0,17.88
Manu Morlanes,67228802.0,16.2,17.45,17.6,17.95,18.2,16.54
Iván Muñoz,67295020.0,15.05,15.35,15.85,13.5,13.35,15.21
Francisco Conceição,83261140.0,16.55,17.7,13.95,18.7,18.65,15.75
Wanderson Bastos,2000410491.0,13.55,14.2,14.75,13.35,12.35,13.83
Yesinguer Vinasco,2000415655.0,16.65,18.2,13.5,18.65,17.7,17.17
José Vicente Muñoz,2000509912.0,11.55,12.25,13.25,12.4,10.85,11.83
Álex,2000509919.0,16.15,17.45,13.15,16.5,15.45,15.96
Andrés Torres,2000628761.0,13.3,13.4,11.3,14.9,14.2,12.92
