Player,UID,DM,AM,BWM,HB,SV,RGA
Arijanet Murić,28108492.0,12.55,11.95,11.95,14.1,13.2,13.55
José María Noguera,2000438352.0,13.9,13.5,13.5,14.3,13.7,13.2
Dario Maresic,16170605.0,13.4,13.3,13.3,12.7,13.3,12.5
Emmanuel,2000569770.0,17.95,17.7,17.7,17.85,16.4,16.95
Rubén,2000510866.0,18.9,18.3,18.3,18.05,17.15,17.55
Federico Real,2000193194.0,18.85,17.5,17.5,16.85,17.6,16.6
Joan Jordán,67187249.0,17.0,16.4,16.4,16.1,17.35,17.75
Martín Zubimendi,67246385.0,15.95,15.8,15.8,14.9,16.45,15.35
Isaac Lihadji,49048366.0,15.95,16.05,16.05,15.35,15.85,18.6
Raphinha,19242277.0,11.25,10.85,10.85,11.4,12.75,14.0
Alvaro,2000510252.0,17.5,17.05,17.05,16.6,17.65,20.2
0,29126231.0,17.35,17.35,17.35,17.8,17.45,17.7
Valeri Gavazov,2000215456.0,11.75,10.65,10.65,12.3,13.5,16.95
Munir,67174735.0,13.15,12.9,12.9,13.9,14.4,19.05
Rogelinho,2000439844.0,8.45,8.85,8.85,8.5,8.95,10.9
Andri Fannar Sigurgeirsson,2000439839.0,18.1,18.8,18.8,17.2,16.3,15.95
Lucas Ocampos,14031132.0,14.0,13.85,13.85,16.15,14.3,17.3
Mads Pedersen,27088224.0,16.8,16.8,16.8,15.95,16.7,17.75
Jordan Henderson,28005568.0,13.9,14.1,14.1,14.1,14.4,14.2
Koke,67047092.0,19.4,19.55,19.55,19.1,19.5,20.35
Óliver,67169689.0,14.0,13.55,13.55,13.9,16.05,19.2
José Marsà,67279755.0,13.7,13.6,13.6,13.8,13.6,12.9
Gonçalo Ramos,83209468.0,14.2,14.1,14.1,14.8,15.3,18.6
Rasmus Højlund,27160181.0,9.75,9.75,9.75,10.75,9.65,10.85
Agustín,2000440745.0,15.6,15.85,15.85,15.85,15.75,16.8
