Player,UID,AF,CF,DLF,F9,P,PF,TM
Arijanet Murić,28108492.0,12.75,13.1,16.25,13.3,12.75,14.35,13.7
José María Noguera,2000438352.0,11.8,12.0,13.3,12.4,11.8,12.3,12.1
Dario Maresic,16170605.0,12.3,12.6,12.8,12.3,12.3,12.0,12.9
Emmanuel,2000569770.0,16.45,13.6,16.65,15.6,16.45,15.4,14.4
Rubén,2000510866.0,19.65,17.4,18.8,19.3,19.65,18.7,16.1
Federico Real,2000193194.0,16.25,12.7,15.95,15.25,16.25,14.9,12.5
Joan Jordán,67187249.0,14.85,15.3,17.2,16.65,14.85,14.55,14.95
Martín Zubimendi,67246385.0,13.75,13.9,15.4,14.25,13.75,13.3,13.7
Isaac Lihadji,49048366.0,19.0,16.8,18.3,18.85,19.0,16.45,15.2
Raphinha,19242277.0,13.8,13.1,13.6,14.2,13.8,12.6,11.4
Alvaro,2000510252.0,19.75,17.4,19.9,20.1,19.75,16.45,16.5
0,29126231.0,18.15,16.4,17.3,17.95,18.15,18.15,15.0
Valeri Gavazov,2000215456.0,17.4,14.3,17.45,18.05,17.4,14.3,12.5
Munir,67174735.0,17.35,17.7,19.15,19.75,17.35,15.25,16.0
Rogelinho,2000439844.0,13.1,10.2,10.9,11.6,13.1,11.5,10.5
Andri Fannar Sigurgeirsson,2000439839.0,16.65,14.2,16.3,14.9,16.65,16.65,15.6
Lucas Ocampos,14031132.0,16.6,17.25,17.0,17.65,16.6,17.25,16.1
Mads Pedersen,27088224.0,18.3,15.2,17.15,18.25,18.3,17.05,13.8
Jordan Henderson,28005568.0,9.6,12.9,13.9,13.5,9.6,11.2,12.8
Koke,67047092.0,15.45,18.05,19.0,19.85,15.45,16.1,17.15
Óliver,67169689.0,14.25,15.8,18.6,19.1,14.25,12.35,13.3
José Marsà,67279755.0,13.1,12.7,13.1,12.5,13.1,13.3,12.7
Gonçalo Ramos,83209468.0,18.8,17.35,19.7,18.95,18.8,16.4,17.3
Rasmus Højlund,27160181.0,12.7,12.0,12.0,11.4,12.7,12.6,12.6
Agustín,2000440745.0,17.95,15.7,18.0,17.9,17.95,16.75,15.55
