Player,UID,AML,AMR,IW_AML,IW_AMR,W_AML,W_AMR,IF_AML,IF_AMR,WG_AML,WG_AMR
Arijanet Murić,28108492.0,14.35,14.35,14.35,14.35,11.65,11.65,12.7,12.7,12.38,12.38
José María Noguera,2000438352.0,12.6,12.6,12.6,12.6,11.9,11.9,12.0,12.0,12.17,12.17
Dario Maresic,16170605.0,12.7,12.7,12.7,12.7,11.6,11.6,12.4,12.4,12.0,12.0
Emmanuel,2000569770.0,16.05,16.05,16.05,16.05,15.75,15.75,14.55,14.55,15.38,15.38
Rubén,2000510866.0,20.75,20.75,20.75,20.75,19.3,19.3,20.35,20.35,17.83,17.83
Federico Real,2000193194.0,15.1,15.1,15.1,15.1,14.05,14.05,14.6,14.6,12.88,12.88
Joan Jordán,67187249.0,17.0,17.0,17.0,17.0,14.8,14.8,16.85,16.85,14.62,14.62
Martín Zubimendi,67246385.0,14.75,14.75,14.75,14.75,12.3,12.3,14.15,14.15,12.42,12.42
Isaac Lihadji,49048366.0,19.35,19.35,19.35,19.35,18.1,18.1,18.45,18.45,16.33,16.33
Raphinha,19242277.0,14.4,14.4,14.4,14.4,13.6,13.6,14.3,14.3,12.58,12.58
Alvaro,2000510252.0,20.0,20.0,20.0,20.0,19.4,19.4,18.65,18.65,18.25,18.25
0,29126231.0,18.75,18.75,18.75,18.75,19.35,19.35,18.55,18.55,17.29,17.29
Valeri Gavazov,2000215456.0,17.7,17.7,17.7,17.7,15.2,15.2,17.1,17.1,13.67,13.67
Munir,67174735.0,18.8,18.8,18.8,18.8,17.05,17.05,18.75,18.75,15.46,15.46
Rogelinho,2000439844.0,12.0,12.0,12.0,12.0,13.8,13.8,11.9,11.9,13.0,13.0
Andri Fannar Sigurgeirsson,2000439839.0,15.85,15.85,15.85,15.85,16.8,16.8,14.8,14.8,16.0,16.0
Lucas Ocampos,14031132.0,18.05,18.05,18.05,18.05,18.05,18.05,19.0,19.0,17.04,17.04
Mads Pedersen,27088224.0,18.8,18.8,18.8,18.8,19.15,19.15,18.1,18.1,16.79,16.79
Jordan Henderson,28005568.0,13.1,13.1,13.1,13.1,11.0,11.0,12.6,12.6,10.92,10.92
Koke,67047092.0,19.5,19.5,19.5,19.5,16.1,16.1,19.6,19.6,15.33,15.33
Óliver,67169689.0,18.6,18.6,18.6,18.6,15.25,15.25,17.75,17.75,13.54,13.54
José Marsà,67279755.0,12.8,12.8,12.8,12.8,12.8,12.8,12.4,12.4,12.83,12.83
Gonçalo Ramos,83209468.0,18.6,18.6,18.6,18.6,16.6,16.6,18.15,18.15,16.17,16.17
Rasmus Højlund,27160181.0,11.9,11.9,11.9,11.9,11.8,11.8,12.1,12.1,12.25,12.25
Agustín,2000440745.0,18.15,18.15,18.15,18.15,17.85,17.85,16.95,16.95,16.46,16.46
