Player,UID,FB,WB,IWB,CWB,NNFB
Arijanet Murić,28108492.0,12.9,10.25,13.2,11.96,13.2
José María Noguera,2000438352.0,13.9,12.1,13.6,12.62,14.4
Dario Maresic,16170605.0,13.3,11.9,13.6,12.38,12.9
Emmanuel,2000569770.0,17.95,14.45,16.55,13.96,17.15
Rubén,2000510866.0,18.1,17.6,17.4,17.5,17.45
Federico Real,2000193194.0,18.9,16.35,17.2,15.5,17.95
Joan Jordán,67187249.0,15.85,14.8,16.6,15.23,16.05
Martín Zubimendi,67246385.0,15.4,12.9,15.9,13.46,15.2
Isaac Lihadji,49048366.0,15.9,15.85,16.3,16.12,14.45
Raphinha,19242277.0,12.05,12.75,12.65,13.42,11.55
Alvaro,2000510252.0,17.15,16.25,18.0,16.42,16.1
0,29126231.0,18.0,17.4,17.5,17.62,17.15
Valeri Gavazov,2000215456.0,11.85,13.7,13.15,14.92,12.0
Munir,67174735.0,12.6,12.85,14.6,14.38,12.55
Rogelinho,2000439844.0,9.95,10.25,8.65,10.65,7.05
Andri Fannar Sigurgeirsson,2000439839.0,18.4,14.6,16.45,14.19,15.7
Lucas Ocampos,14031132.0,13.35,13.85,13.8,14.85,14.65
Mads Pedersen,27088224.0,17.5,17.15,16.35,17.15,15.2
Jordan Henderson,28005568.0,12.5,11.2,14.1,12.0,13.8
Koke,67047092.0,17.6,16.2,18.95,16.65,18.7
Óliver,67169689.0,13.1,13.0,15.85,15.08,13.3
José Marsà,67279755.0,14.1,13.1,13.8,13.08,14.0
Gonçalo Ramos,83209468.0,13.55,13.0,14.75,14.12,13.6
Rasmus Højlund,27160181.0,10.05,10.05,9.35,10.42,9.95
Agustín,2000440745.0,15.85,15.45,16.15,15.58,14.8
