Player,UID,Acc,Agi,Pac,Wor,Jum,Fir,Dri,Cmp,Sta,Pos,Cnt,Fre,Cor,Fin,OtB,Pas,Tec,Ant,Dec,Lon,Fla,Tck,Hea,Agg,Bra,Bal,Str,Det,Mar,Vis,Tea,Cro,Ldr,Nat,L Th,Pen,Aer,Cmd,Com,Ecc,Han,Kic,Pun,1v1,Ref,TRO,Thr,Age
Arijanet Murić,28108492.0,16.5,12.0,23.5,16.0,26.5,17.5,4.5,19.0,14.5,11.0,12.0,10.0,7.0,2.5,4.5,19.5,16.0,13.0,19.0,2.0,4.0,5.5,5.5,22.5,16.0,17.5,17.5,23.5,4.0,19.0,13.0,2.5,10.5,13.5,2.5,4.5,19.0,12.0,10.0,5.0,12.0,13.0,6.0,13.0,16.0,14.0,13.0,29.0
José María Noguera,2000438352.0,14.0,14.0,14.0,15.0,14.0,13.0,7.0,12.0,13.0,16.0,14.0,5.0,7.0,5.0,7.0,13.0,17.0,14.0,16.0,5.0,11.0,14.0,13.0,17.0,16.0,18.0,12.0,12.0,13.0,11.0,12.0,8.0,14.0,12.0,6.0,8.0,2.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,2.0,1.0,1.0,22.0
Dario Maresic,16170605.0,13.0,15.0,14.0,12.0,15.0,13.0,11.0,10.0,15.0,13.0,13.0,8.5,4.5,10.0,6.0,16.0,13.0,15.0,13.0,6.0,10.0,12.0,13.0,8.0,12.0,14.0,15.0,16.0,14.0,13.0,12.0,9.0,10.0,16.0,8.5,8.5,2.5,5.5,2.0,3.0,4.5,4.0,2.5,3.0,4.0,4.0,2.5,29.0
Emmanuel,2000569770.0,13.0,20.5,21.5,16.5,15.0,9.0,11.5,17.0,18.0,18.0,23.0,12.5,11.0,3.5,13.0,13.0,15.0,23.5,22.5,7.5,14.0,13.0,12.0,13.0,21.5,23.0,12.0,15.0,13.0,18.5,20.0,7.0,13.0,10.0,6.5,13.0,6.5,3.0,2.0,3.0,3.0,3.5,4.0,3.5,3.0,8.0,3.0,20.0
Rubén,2000510866.0,16.5,24.0,16.5,27.0,12.0,14.0,22.5,14.0,25.5,12.0,21.5,9.5,15.5,12.5,19.5,13.5,24.0,21.0,24.0,9.0,9.5,11.0,9.0,13.5,14.0,24.5,17.0,16.0,12.0,16.5,18.0,13.5,15.0,19.5,18.5,9.0,3.0,4.5,2.0,3.5,2.0,3.0,2.5,3.5,5.0,2.0,2.5,21.0
Federico Real,2000193194.0,19.5,19.0,20.5,13.0,5.0,12.0,11.5,16.0,15.0,25.0,22.5,11.5,9.0,7.0,11.5,12.0,14.0,23.5,26.5,12.0,7.0,13.0,9.0,13.0,17.5,19.0,13.0,17.5,24.0,12.0,13.0,10.5,7.0,19.5,7.0,10.0,2.0,2.5,2.0,2.0,3.0,1.0,4.0,2.5,5.5,4.0,4.0,22.0
Joan Jordán,67187249.0,12.5,13.5,8.0,20.0,18.0,15.0,10.5,22.5,15.5,18.0,22.5,22.5,22.5,13.5,19.5,15.0,20.0,16.5,23.0,17.0,13.0,12.0,9.5,14.0,16.5,16.5,9.0,18.0,16.5,15.0,17.0,15.5,15.5,18.5,2.0,16.5,2.5,3.5,2.0,3.0,3.5,2.5,5.0,3.0,3.0,2.0,2.5,34.0
Martín Zubimendi,67246385.0,13.0,14.0,12.0,13.0,12.0,15.0,13.0,20.5,14.0,14.0,22.0,10.5,13.0,9.0,10.0,16.0,15.0,19.0,17.5,12.0,10.0,12.0,14.0,14.0,12.0,13.0,13.0,14.0,19.0,15.0,16.0,9.0,13.0,16.0,10.0,17.5,2.5,2.5,5.5,2.5,2.0,2.5,1.0,4.0,2.0,2.5,2.5,29.0
Isaac Lihadji,49048366.0,15.0,26.0,15.0,17.0,6.0,14.0,21.5,18.0,20.0,15.0,16.5,7.5,12.0,13.5,21.5,17.0,20.0,21.5,18.5,17.0,19.5,9.0,9.0,9.5,13.5,18.0,12.0,19.5,10.5,22.5,19.5,14.0,11.0,17.0,3.0,14.0,3.0,3.0,3.0,2.5,2.5,3.0,2.5,4.5,2.5,3.0,3.0,26.0
Raphinha,19242277.0,14.0,15.0,14.0,14.0,6.0,16.0,14.0,15.0,13.0,8.0,12.0,15.0,15.0,13.0,15.0,14.0,17.0,13.0,14.0,13.0,17.0,11.0,9.0,14.0,13.0,12.0,6.0,15.0,11.5,14.0,10.0,13.0,7.0,12.0,5.0,14.0,2.5,2.0,2.5,4.0,3.0,2.5,2.5,2.0,2.5,5.5,2.0,31.0
Alvaro,2000510252.0,15.0,24.0,15.0,18.5,10.0,15.0,19.5,21.0,23.0,16.5,21.0,18.0,16.5,11.0,18.0,16.0,20.0,24.0,21.5,23.0,25.5,9.5,15.0,11.0,13.5,27.0,12.0,18.0,12.0,24.5,17.0,15.5,20.0,18.5,7.5,18.0,2.5,3.0,2.5,4.5,3.5,2.0,3.0,4.5,2.5,2.0,1.0,21.0
0,29126231.0,20.0,19.5,17.0,23.0,5.0,18.0,15.0,15.0,24.5,13.0,21.0,7.5,15.0,13.5,18.0,17.0,20.0,18.0,18.5,11.0,18.0,13.0,9.0,17.0,18.0,21.0,12.0,14.0,12.0,15.5,18.5,18.5,12.5,26.0,4.5,9.0,2.0,3.5,2.5,6.0,3.0,2.5,3.5,4.5,3.0,3.0,2.5,31.0
Valeri Gavazov,2000215456.0,14.0,21.5,16.0,8.0,7.0,13.0,23.0,21.5,17.0,12.0,9.0,21.0,13.5,12.0,17.0,21.0,23.0,17.0,20.0,14.0,19.5,10.5,5.0,24.0,7.5,15.0,9.0,21.5,6.0,18.0,9.0,13.5,19.5,15.0,9.5,8.0,2.5,3.0,6.5,3.0,6.0,3.5,2.0,2.0,2.0,2.5,5.0,23.0
Munir,67174735.0,12.0,16.5,10.0,18.0,7.0,16.0,16.5,21.0,13.5,12.0,15.5,22.5,17.0,22.5,19.5,20.0,22.5,19.5,19.5,16.5,23.0,5.0,8.0,12.5,18.0,22.5,8.0,18.0,3.5,23.0,17.0,18.5,12.5,20.0,10.5,15.0,3.0,3.0,4.5,3.0,3.0,1.0,3.0,3.0,3.0,3.0,2.5,33.0
Rogelinho,2000439844.0,16.0,17.0,16.0,13.0,10.0,14.0,16.0,14.0,11.0,5.0,5.0,13.0,9.0,10.0,10.0,11.0,11.0,10.0,13.0,9.0,19.0,4.0,8.0,8.0,8.0,11.0,4.0,10.0,2.5,11.0,17.0,9.0,11.0,8.0,3.0,9.0,2.5,2.5,4.0,2.0,2.5,2.5,2.0,2.5,3.0,3.0,2.5,22.0
Andri Fannar Sigurgeirsson,2000439839.0,20.0,18.5,18.0,18.5,12.0,13.5,12.5,16.5,18.5,16.0,21.0,13.5,15.0,7.5,12.5,14.0,11.0,20.0,20.0,12.5,13.5,13.0,12.0,9.5,13.5,22.5,15.0,14.0,12.0,18.0,27.0,5.0,18.5,20.0,13.5,6.5,6.0,3.5,3.0,4.5,3.0,3.5,5.0,3.0,1.0,3.0,3.0,21.0
Lucas Ocampos,14031132.0,11.0,14.0,12.0,24.0,12.0,14.0,15.5,18.5,18.0,9.5,16.5,14.0,13.5,23.0,20.0,18.0,22.5,15.5,19.5,21.0,24.0,6.0,12.0,21.0,23.0,18.5,10.0,23.0,3.0,13.5,18.0,19.5,12.0,22.5,15.5,20.0,2.5,3.0,3.5,2.0,2.5,2.0,6.0,3.0,3.0,2.0,3.5,34.0
Mads Pedersen,27088224.0,18.0,24.0,19.5,21.0,5.0,15.5,19.5,17.0,19.5,11.0,18.5,5.0,17.0,6.5,19.5,16.5,19.5,24.0,19.5,7.5,20.0,12.0,5.0,12.0,11.0,15.5,11.0,12.0,12.0,13.5,19.5,19.5,18.0,15.0,8.0,9.0,2.0,2.5,2.5,5.0,2.5,6.0,3.0,5.0,3.5,3.0,3.0,32.0
Jordan Henderson,28005568.0,6.0,6.0,5.0,17.0,12.0,16.0,8.0,16.0,6.0,15.0,16.0,8.0,10.0,8.0,13.0,15.0,13.0,15.0,15.0,10.0,11.0,14.0,9.0,15.0,16.0,13.0,10.0,19.0,14.0,13.0,17.0,14.0,19.0,18.0,6.0,11.0,2.0,3.0,2.0,4.0,3.0,3.0,1.0,3.0,3.0,1.0,2.0,38.0
Koke,67047092.0,6.0,10.5,4.5,25.5,12.5,16.0,16.5,21.5,9.0,21.5,26.0,18.5,24.5,17.0,25.5,16.0,22.5,25.5,22.5,19.5,12.0,14.0,10.5,18.0,21.5,18.5,6.0,21.5,20.0,16.0,24.0,19.5,19.5,19.5,5.0,16.5,2.5,4.5,3.5,5.0,1.0,4.5,2.5,3.5,2.5,2.5,3.0,36.0
Óliver,67169689.0,9.0,12.5,7.0,19.5,6.0,15.0,15.5,23.0,12.0,15.5,16.5,20.0,15.0,12.5,15.5,24.0,27.0,15.5,21.0,13.5,21.0,9.0,4.0,12.0,18.5,20.0,4.0,20.0,10.5,21.0,16.5,16.5,12.0,18.0,3.5,12.5,1.0,6.0,3.0,2.5,4.5,3.0,7.5,2.0,5.0,1.0,3.0,33.0
José Marsà,67279755.0,15.0,14.0,16.0,13.0,13.0,13.0,10.0,12.0,15.0,13.0,14.0,6.0,6.0,10.0,10.0,13.0,13.0,14.0,13.0,9.0,12.0,15.0,13.0,14.0,14.0,15.0,14.0,15.0,14.0,14.0,12.0,10.0,8.0,16.0,9.0,10.0,2.5,2.0,3.0,2.5,2.0,4.0,2.5,2.5,2.5,4.0,2.5,26.0
Gonçalo Ramos,83209468.0,11.0,19.5,14.0,12.0,14.0,13.0,19.5,27.0,16.5,9.5,17.0,6.5,8.0,17.0,21.0,21.0,19.5,22.5,19.5,12.0,21.5,8.0,14.0,19.5,12.5,20.0,12.0,24.0,6.5,21.5,18.5,12.0,16.5,21.0,9.0,15.0,6.5,2.5,3.0,3.5,2.0,2.5,1.0,2.5,3.0,5.0,3.0,27.0
Rasmus Højlund,27160181.0,15.0,12.0,13.0,12.0,16.0,13.0,13.0,13.0,12.0,8.5,9.0,5.0,7.0,12.0,13.0,10.0,12.0,12.0,12.0,10.0,9.0,3.0,13.0,12.0,14.0,12.0,13.0,15.0,4.0,10.0,12.0,7.0,6.0,14.0,5.5,9.0,5.5,2.0,2.5,4.0,3.0,3.0,4.0,2.0,4.0,5.5,2.0,25.0
