Player,UID,GK,DRL,DC,WBRL,DM,MRL,MC,AMRL,AMC,SC
Arijanet Murić,28108492.0,1005.0,1177.5,1370.0,1148.5,1289.5,1172.0,1397.0,1335.0,1365.5,1519.5
José María Noguera,2000438352.0,943.0,1122.0,1360.0,1069.0,1247.0,1073.0,1263.0,1197.0,1207.0,1374.0
Dario Maresic,16170605.0,863.0,1091.0,1315.0,1055.0,1220.0,1066.0,1247.0,1197.0,1201.0,1404.0
Emmanuel,2000569770.0,1248.0,1393.0,1654.0,1324.0,1532.5,1324.0,1551.5,1491.0,1505.5,1673.5
Rubén,2000510866.0,1241.5,1500.5,1678.5,1488.5,1679.5,1542.5,1768.0,1738.0,1725.0,1957.0
Federico Real,2000193194.0,1261.0,1432.0,1745.5,1358.5,1590.5,1343.5,1566.0,1517.5,1512.5,1682.5
Joan Jordán,67187249.0,1087.5,1299.5,1560.5,1243.5,1478.0,1294.5,1541.5,1403.5,1454.5,1692.5
Martín Zubimendi,67246385.0,992.0,1212.5,1470.0,1160.5,1373.0,1183.0,1406.0,1310.0,1339.5,1556.5
Isaac Lihadji,49048366.0,1123.0,1367.0,1508.0,1368.5,1569.5,1448.0,1670.5,1618.0,1646.0,1841.0
Raphinha,19242277.0,800.0,1039.5,1155.0,1040.0,1189.5,1114.5,1276.5,1254.5,1255.5,1431.5
Alvaro,2000510252.0,1232.5,1489.0,1690.0,1466.5,1694.0,1540.5,1783.5,1714.5,1746.0,1962.0
0,29126231.0,1144.0,1429.5,1545.5,1432.0,1590.0,1486.5,1684.0,1674.5,1649.5,1839.5
Valeri Gavazov,2000215456.0,958.0,1201.5,1323.0,1227.5,1395.0,1316.0,1488.5,1480.0,1495.0,1672.5
Munir,67174735.0,1018.5,1208.0,1307.0,1216.0,1418.0,1342.5,1552.0,1462.5,1521.5,1735.5
Rogelinho,2000439844.0,729.0,904.5,972.0,919.0,1003.5,1004.5,1105.5,1157.5,1127.5,1299.5
Andri Fannar Sigurgeirsson,2000439839.0,1188.0,1392.0,1611.5,1345.5,1554.0,1354.0,1591.0,1527.5,1551.5,1730.5
Lucas Ocampos,14031132.0,1016.0,1221.5,1333.5,1223.0,1395.5,1337.5,1525.5,1470.5,1488.5,1762.5
Mads Pedersen,27088224.0,1125.0,1382.5,1516.0,1396.5,1550.5,1465.0,1631.0,1656.0,1600.0,1774.0
Jordan Henderson,28005568.0,801.0,967.0,1203.0,915.0,1144.0,954.0,1175.0,1015.0,1059.0,1223.0
Koke,67047092.0,1114.5,1307.5,1608.0,1245.5,1558.0,1322.5,1609.0,1403.5,1472.5,1720.5
Óliver,67169689.0,967.5,1156.0,1288.5,1148.0,1379.0,1245.5,1498.5,1337.5,1414.5,1512.5
José Marsà,67279755.0,886.0,1128.0,1337.0,1094.0,1260.0,1109.0,1287.0,1253.0,1251.0,1455.0
Gonçalo Ramos,83209468.0,1060.5,1281.5,1457.0,1276.0,1466.0,1365.5,1575.5,1507.5,1556.0,1849.5
Rasmus Højlund,27160181.0,774.5,935.0,1082.0,926.5,1024.5,977.5,1103.5,1112.5,1110.0,1380.0
Agustín,2000440745.0,1089.0,1347.0,1488.0,1341.5,1529.0,1405.0,1640.0,1561.5,1598.5,1759.0
