Player,UID,WM,W,DW,IW,IF,WG
Arijanet Murić,28108492.0,11.65,11.65,11.1,14.35,12.7,12.38
José María Noguera,2000438352.0,11.8,11.9,13.2,12.6,12.0,12.17
Dario Maresic,16170605.0,11.9,11.6,13.1,12.7,12.4,12.0
Emmanuel,2000569770.0,14.35,15.75,16.5,16.05,14.55,15.38
Rubén,2000510866.0,18.85,19.3,17.5,20.75,20.35,17.83
Federico Real,2000193194.0,13.8,14.05,17.15,15.1,14.6,12.88
Joan Jordán,67187249.0,16.3,14.8,16.85,17.0,16.85,14.62
Martín Zubimendi,67246385.0,13.55,12.3,15.4,14.75,14.15,12.42
Isaac Lihadji,49048366.0,17.2,18.1,16.0,19.35,18.45,16.33
Raphinha,19242277.0,13.4,13.6,11.95,14.4,14.3,12.58
Alvaro,2000510252.0,17.35,19.4,17.3,20.0,18.65,18.25
0,29126231.0,18.4,19.35,17.85,18.75,18.55,17.29
Valeri Gavazov,2000215456.0,15.2,15.2,12.3,17.7,17.1,13.67
Munir,67174735.0,16.35,17.05,14.25,18.8,18.75,15.46
Rogelinho,2000439844.0,11.8,13.8,8.75,12.0,11.9,13.0
Andri Fannar Sigurgeirsson,2000439839.0,15.45,16.8,16.5,15.85,14.8,16.0
Lucas Ocampos,14031132.0,17.25,18.05,14.8,18.05,19.0,17.04
Mads Pedersen,27088224.0,18.2,19.15,17.35,18.8,18.1,16.79
Jordan Henderson,28005568.0,13.5,11.0,14.3,13.1,12.6,10.92
Koke,67047092.0,18.85,16.1,20.1,19.5,19.6,15.33
Óliver,67169689.0,16.45,15.25,15.55,18.6,17.75,13.54
José Marsà,67279755.0,12.4,12.8,13.3,12.8,12.4,12.83
Gonçalo Ramos,83209468.0,16.1,16.6,14.35,18.6,18.15,16.17
Rasmus Højlund,27160181.0,10.7,11.8,8.95,11.9,12.1,12.25
Agustín,2000440745.0,17.3,17.85,16.05,18.15,16.95,16.46
